ID # Star Spectral Type d(pc) VISM(km/s) θ (deg) M_dot(M_sun) log Lx(erg/s) Radius
1 Prox Cen M5.5 V 1.30 25 79 <0.2 27.22 0.14 
2 GJ 699a M4 V 1.83 121 43 <0.2 25.85 0.19 
3 GJ 411a M2 V 2.55 110 36 <0.1 26.89 0.36 
4 GJ 729 M3.5 V 2.98 11 178 L 27.06 0.20 
5 GJ 887a M2 V 3.29 85 99 0.5 27.03 0.47 
6 GJ 15ABa M2 V+M3.5 V 3.56 28 95 10 27.37 0.37 + 0.17 
7 GJ 273a M3.5 V 3.80 75 89 <0.2 26.54 0.31 
8 GJ 860ABa M3 V+M4 V 4.01 47 55 0.15 27.72 0.29 + 0.26 
9 AD Leo M4 V 4.97 13 114 L 28.80 0.39 
10 EV Lac M3.5 V 5.05 45 84 1 28.99 0.32 
11 GJ 205a M1.5 V 5.70 70 79 0.3 27.66 0.59 
12 GJ 588a M2.5 V 5.92 47 139 <5 27.00 0.43 
13 YZ CMia M4 V 5.99 20 114 30 28.57 0.33 
14 GJ 644ABa M3+M4+M4 V 6.20 53 136 <5 29.04 0.3 + 0.3 + 0.3 
15 GJ 338ABa M0 V+M0 V 6.33 29 88 0.5 27.92 0.60 + 0.60 
16 GJ 436b M3 V 9.75 79 97 0.059 26.76 0.40 
17 GJ 173 M1 V 11.2 38 43 0.75 26.84 0.42
18 α Cen AB G2 V+K0 V 1.35 25 79 0.46 + 1.54 26.99 + 27.32 1.22 + 0.86 
19 ò Eri K2 V 3.22 27 76 30 28.31 0.74 
20 61 Cyg A K5 V 3.48 86 46 0.5 27.03 0.67 
21 ò Ind K5 V 3.63 68 64 0.5 27.39 0.73 
22 τ Cet G8 V 3.65 56 59 <0.1 26.69 0.77 
23 70 Oph AB K0 V+K5 V 5.09 37 120 55.7 + 44.3 28.09 + 27.97 0.83 + 0.67 
24 36 Oph AB K1 V+K1 V 5.99 40 134 8.5 + 6.5 28.02 + 27.89 0.69 + 0.59 
25 δ Pav G8 IV 6.11 29 72 10 27.29 1.22 
26 GJ 892 K3 V 6.55 49 60 0.5 26.85 0.78 
27 ξ Boo AB G8 V+K4 V 6.70 32 131 0.5 + 4.5 28.91 + 28.08 0.86 + 0.61 
28 61 Vir G5 V 8.53 51 98 0.3 26.87 0.99 
29 δ Eri K0 IV 9.04 37 41 4 27.05 2.58 
30 π1 UMa G1.5 V 14.4 43 34 0.5 28.99 0.97 
31 λ And G8 IV–III 25.8 53 89 5 30.82 7.40 
32 DK UMa G4 III—IV 32.4 43 32 0.15 30.36 4.40
33 V374 Peg M3.5 V 9.1 9 85 200 28.45 0.34 
34 AB Dor K0 V 15.3 31 157 350 29.87 0.93 
35 HK Aqr M0 V 24.9 14 110 50 29.01 0.59 
36 Speedy Mic K3 V 66.7 25 109 130 31.06 1.06 
37 LQ Lup G8 IV 146.7 24 165 4500 30.90 1.30
