           t           p         gam
   2.0000E+02  1.0000E-02  1.3458E+00
   4.0000E+02  1.0000E-02  1.2519E+00
   6.0000E+02  1.0000E-02  1.2131E+00
   8.0000E+02  1.0000E-02  1.1928E+00
   1.0000E+03  1.0000E-02  1.1808E+00
   1.2000E+03  1.0000E-02  1.1726E+00
   1.4000E+03  1.0000E-02  1.1636E+00
   1.6000E+03  1.0000E-02  1.1451E+00
   1.8000E+03  1.0000E-02  1.1166E+00
   2.0000E+03  1.0000E-02  1.0943E+00
   2.2000E+03  1.0000E-02  1.0855E+00
   2.4000E+03  1.0000E-02  1.0864E+00
   2.6000E+03  1.0000E-02  1.0930E+00
   2.8000E+03  1.0000E-02  1.1032E+00
   3.0000E+03  1.0000E-02  1.1177E+00
   3.2000E+03  1.0000E-02  1.1444E+00
   3.4000E+03  1.0000E-02  1.1962E+00
   3.6000E+03  1.0000E-02  1.2687E+00
   3.8000E+03  1.0000E-02  1.3294E+00
   4.0000E+03  1.0000E-02  1.3617E+00
   2.0000E+02  3.0000E-02  1.3458E+00
   4.0000E+02  3.0000E-02  1.2519E+00
   6.0000E+02  3.0000E-02  1.2131E+00
   8.0000E+02  3.0000E-02  1.1928E+00
   1.0000E+03  3.0000E-02  1.1808E+00
   1.2000E+03  3.0000E-02  1.1728E+00
   1.4000E+03  3.0000E-02  1.1649E+00
   1.6000E+03  3.0000E-02  1.1503E+00
   1.8000E+03  3.0000E-02  1.1258E+00
   2.0000E+03  3.0000E-02  1.1026E+00
   2.2000E+03  3.0000E-02  1.0906E+00
   2.4000E+03  3.0000E-02  1.0885E+00
   2.6000E+03  3.0000E-02  1.0929E+00
   2.8000E+03  3.0000E-02  1.1012E+00
   3.0000E+03  3.0000E-02  1.1123E+00
   3.2000E+03  3.0000E-02  1.1281E+00
   3.4000E+03  3.0000E-02  1.1554E+00
   3.6000E+03  3.0000E-02  1.2034E+00
   3.8000E+03  3.0000E-02  1.2666E+00
   4.0000E+03  3.0000E-02  1.3215E+00
   2.0000E+02  1.0000E-01  1.3458E+00
   4.0000E+02  1.0000E-01  1.2519E+00
   6.0000E+02  1.0000E-01  1.2131E+00
   8.0000E+02  1.0000E-01  1.1928E+00
   1.0000E+03  1.0000E-01  1.1808E+00
   1.2000E+03  1.0000E-01  1.1729E+00
   1.4000E+03  1.0000E-01  1.1659E+00
   1.6000E+03  1.0000E-01  1.1546E+00
   1.8000E+03  1.0000E-01  1.1347E+00
   2.0000E+03  1.0000E-01  1.1124E+00
   2.2000E+03  1.0000E-01  1.0976E+00
   2.4000E+03  1.0000E-01  1.0924E+00
   2.6000E+03  1.0000E-01  1.0941E+00
   2.8000E+03  1.0000E-01  1.1003E+00
   3.0000E+03  1.0000E-01  1.1094E+00
   3.2000E+03  1.0000E-01  1.1208E+00
   3.4000E+03  1.0000E-01  1.1362E+00
   3.6000E+03  1.0000E-01  1.1607E+00
   3.8000E+03  1.0000E-01  1.2003E+00
   4.0000E+03  1.0000E-01  1.2529E+00
   2.0000E+02  3.0000E-01  1.3458E+00
   4.0000E+02  3.0000E-01  1.2519E+00
   6.0000E+02  3.0000E-01  1.2131E+00
   8.0000E+02  3.0000E-01  1.1928E+00
   1.0000E+03  3.0000E-01  1.1808E+00
   1.2000E+03  3.0000E-01  1.1729E+00
   1.4000E+03  3.0000E-01  1.1666E+00
   1.6000E+03  3.0000E-01  1.1574E+00
   1.8000E+03  3.0000E-01  1.1414E+00
   2.0000E+03  3.0000E-01  1.1212E+00
   2.2000E+03  3.0000E-01  1.1051E+00
   2.4000E+03  3.0000E-01  1.0972E+00
   2.6000E+03  3.0000E-01  1.0964E+00
   2.8000E+03  3.0000E-01  1.1005E+00
   3.0000E+03  3.0000E-01  1.1079E+00
   3.2000E+03  3.0000E-01  1.1175E+00
   3.4000E+03  3.0000E-01  1.1290E+00
   3.6000E+03  3.0000E-01  1.1439E+00
   3.8000E+03  3.0000E-01  1.1658E+00
   4.0000E+03  3.0000E-01  1.1988E+00
   2.0000E+02  1.0000E+00  1.3458E+00
   4.0000E+02  1.0000E+00  1.2519E+00
   6.0000E+02  1.0000E+00  1.2131E+00
   8.0000E+02  1.0000E+00  1.1928E+00
   1.0000E+03  1.0000E+00  1.1808E+00
   1.2000E+03  1.0000E+00  1.1731E+00
   1.4000E+03  1.0000E+00  1.1670E+00
   1.6000E+03  1.0000E+00  1.1597E+00
   1.8000E+03  1.0000E+00  1.1473E+00
   2.0000E+03  1.0000E+00  1.1301E+00
   2.2000E+03  1.0000E+00  1.1140E+00
   2.4000E+03  1.0000E+00  1.1039E+00
   2.6000E+03  1.0000E+00  1.1004E+00
   2.8000E+03  1.0000E+00  1.1021E+00
   3.0000E+03  1.0000E+00  1.1075E+00
   3.2000E+03  1.0000E+00  1.1154E+00
   3.4000E+03  1.0000E+00  1.1250E+00
   3.6000E+03  1.0000E+00  1.1360E+00
   3.8000E+03  1.0000E+00  1.1494E+00
   4.0000E+03  1.0000E+00  1.1674E+00
   2.0000E+02  3.0000E+00  1.3458E+00
   4.0000E+02  3.0000E+00  1.2519E+00
   6.0000E+02  3.0000E+00  1.2131E+00
   8.0000E+02  3.0000E+00  1.1928E+00
   1.0000E+03  3.0000E+00  1.1808E+00
   1.2000E+03  3.0000E+00  1.1730E+00
   1.4000E+03  3.0000E+00  1.1673E+00
   1.6000E+03  3.0000E+00  1.1611E+00
   1.8000E+03  3.0000E+00  1.1513E+00
   2.0000E+03  3.0000E+00  1.1371E+00
   2.2000E+03  3.0000E+00  1.1221E+00
   2.4000E+03  3.0000E+00  1.1109E+00
   2.6000E+03  3.0000E+00  1.1054E+00
   2.8000E+03  3.0000E+00  1.1049E+00
