,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,10.0,0.22129593545197826,126.65956723219944,0.04288811159349855,12.669831546538406,0.36225196484878935,909230679.0591464,65247722.27432271,Selsis,-0.3738541417852702,-0.6253466409896645,GP,0.18874298816579144,494198498709143.7,0.12606796163967005,0.18874298816579144
1,10.0,0.22262994015783455,488.97409141064276,9.526389154200238,2813.6722812024645,0.024435507913500135,1009691706.9355831,2537822.4707894255,Selsis,-0.3975474703050224,-0.616438982863742,log,0.1291068543605194,2.3616686143711293e+22,0.597294698969743,0.1291068543605194
2,10.0,0.2284824616648066,172.4684235862199,0.1474427085038091,2.423765928748428,0.2049930369101532,7837973093.086028,14805578.545133922,Jackson,-0.360081005376365,-0.6074099383211495,GP,0.11481027953032383,4580895395760881.0,0.4874651850057897,0.11481027953032383
3,10.0,0.22871665110635822,1715.2465208877063,1442.4179338709073,127585.66351609935,0.0020366168584582994,1678177636.350391,1000664.4893338887,Jackson,-0.4662303167434176,-0.7085964364472188,linear,0.22928967392323157,6.899679196463767e+22,0.41005108394741097,0.22928967392323157
4,10.0,0.22551508881444238,567.2754326646436,17.256822334692284,5094.286690462595,0.018358132950331677,1050989904.4209307,24181346.075363006,Selsis,-0.29831416949779266,-0.7765916065385223,GP,0.26569464909644575,5.49748975727367e+22,0.5924983350364132,0.26569464909644575
5,10.0,0.22200326558066263,1509.2908377161184,864.7223170447872,19629.299043702544,0.0025893617633902183,6041842101.750465,3797506.4096166217,Jackson,-0.41837231213923803,-0.6157469991739357,linear,0.22348517456016587,2.4839698720383487e+23,0.437514974729005,0.22348517456016587
6,10.0,0.22035770230730023,195.38826915581924,0.2428727934081273,10.979263742773377,0.15233593338142934,3185447118.9144053,7478923.686794455,Jackson,-0.31965472765770997,-0.7528484079076637,linear,0.25992237917043637,1860875386642800.8,0.08880766785596916,0.25992237917043637
7,10.0,0.22847532242540902,590.8707902016475,20.312108577369663,1485.3227518605822,0.017227568030829365,3756268487.6285367,21221992.318555653,Selsis,-0.36828860442413697,-0.6557122584606919,linear,0.10820639691384518,1.0963859024621628e+23,0.6712003949484039,0.10820639691384518
8,10.0,0.2283800868244912,2909.7992749647356,11946.399951702404,420850.76369288575,0.0007102013031596926,3819096450.379314,4728524.895685322,Jackson,-0.4418913604916693,-0.6617404429027891,linear,0.3272045843439429,6.189166775332205e+22,0.03863579760967395,0.3272045843439429
9,10.0,0.2201412846782646,490.07554130754454,9.612515169001433,596.0568567341697,0.024170434940095607,2396963037.4251847,13964605.04178578,Jackson,-0.44199473674120593,-0.6897935790524696,GP,0.49602389925424173,1.2180724707063455e+22,0.07887746107381932,0.49602389925424173
