,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,2.0,0.10245493500331805,3780.3168417482184,34032.803759995826,7142711.128060701,0.00016637040424384803,5685407767.449332,13926290.463174056,Selsis,-0.4842887716738949,-0.76324928303438,log,0.1302049399792772,1.1235944233813164e+25,0.8973831053780165,0.1302049399792772
1,2.0,0.1567240795138184,969.2961618877883,147.09939864383438,9247.640356006734,0.004427995608354873,3926438123.594684,43409037.22564295,Jackson,-0.32015505538416755,-0.7072603999332341,linear,0.08714203229468774,1.5593367761204564e+24,0.8573621097473134,0.08714203229468774
2,2.0,0.1205003204924128,441.94971703447357,6.357353568784175,1314.683795333578,0.015419799654384525,2272301453.9524345,4972654.044296467,Jackson,-0.48384570907195196,-0.7527103104080926,linear,0.2537493729871119,7.727197135406175e+22,0.7667182356177594,0.2537493729871119
3,2.0,0.1973925354607739,3528.7866330239012,25839.643865948845,589846.4172719135,0.00043106821155942216,10208035941.45633,2875414.5224037287,Selsis,-0.3430785201753781,-0.6847800505013977,GP,0.09488927039330194,2.346817285984524e+25,0.32246906403200704,0.09488927039330194
4,2.0,0.15413376175042026,182.29599222434686,0.18403202639934407,18.332669780677048,0.12296881069264393,2679534667.7217293,1891063.5572971008,Jackson,-0.305192477492515,-0.6147145003238357,log,0.22390922300228852,1.5488996058262992e+20,0.4344162860253131,0.22390922300228852
5,2.0,0.14376676267397642,135.4839811999672,0.05614831460850879,16.84370744529022,0.20502054765250452,2557156414.79371,14491791.15004676,Selsis,-0.33179904401859417,-0.7250480260951294,linear,0.3473466656397993,2.3113480129057027e+20,0.9414133077608694,0.3473466656397993
6,2.0,0.15738128175282887,2084.2288608573567,3144.6082290306044,1051249.0527706225,0.0009620573536624435,935134113.5034803,12653488.35215408,Jackson,-0.3838363672476716,-0.7169605002812177,log,0.11064362848489495,5.5765314336015926e+23,0.5031918212136955,0.11064362848489495
7,2.0,0.18621270023896713,604.8328792922279,22.301110634036903,635.1530919866992,0.013638659201533473,6220129515.842267,57433816.26135306,Jackson,-0.4487051873742442,-0.6519269868341184,log,0.08671454370465172,1.0715211510744493e+22,0.3138634814932758,0.08671454370465172
8,2.0,0.16939129671388986,307.2310654382723,1.4847229880095898,445.248332832135,0.04810514913011248,1217939085.1330676,1209231.2502005654,Selsis,-0.44130662150241695,-0.6628094916576843,log,0.08952053054097699,4.784592981423639e+20,0.41190456753698124,0.08952053054097699
9,2.0,0.10149789556426007,186.82256807136787,0.20300291561483416,56.76529565734757,0.06707713778898357,4630547101.094895,73270620.47248562,Selsis,-0.4353724585997,-0.6595534355455253,linear,0.0529120835643678,2.660378108639947e+21,0.3955923870346102,0.0529120835643678
10,2.0,0.10119022881773249,3726.390590479173,32132.049196772557,5103607.079834925,0.000167765548732254,6993801777.693115,54480320.97406487,Selsis,-0.4253987960592344,-0.6910186584001312,linear,0.053615850256449105,3.278296587263547e+26,0.011339471513503008,0.053615850256449105
