,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.2,931.6458046059435,125.54177229482984,30.324805859929732,0.006172289162299679,2225342454.0884385,2341185.0407995014,Jackson,-0.3065666592961488,-0.6491575400723679,linear,0.05043173777527702,1.0890753434102252e+24,0.449928440288199,0.05043173777527702
1,0.2,538.0044469761983,13.961381249118796,30.324805859929732,0.018508712020351068,4194810720.610759,5667868.2946913885,Jackson,-0.48155173686800257,-0.726555537539447,GP,0.10549974854029047,1.4510923737640303e+23,0.9140444527962653,0.10549974854029047
2,0.2,1084.6818114097232,230.67172101442623,30.324805859929732,0.004553477696154423,3213318547.5519743,17896275.790488474,Jackson,-0.34677664564401445,-0.6502120864480156,GP,0.4144597555042828,1.4088236070810638e+25,0.8275743479646113,0.4144597555042828
3,0.2,1406.3440970709883,651.8554539828253,30.324805859929732,0.0027087239007192693,4605983918.319199,2908293.7855000896,Selsis,-0.33096577330006705,-0.7149781508600904,log,0.07082433762357616,1.1080426032421402e+25,0.613156992273361,0.07082433762357616
4,0.2,220.62279374335432,0.3948084543804719,30.324805859929732,0.11054539165191062,5974054007.838752,1278679.0060666895,Jackson,-0.35627530394849755,-0.6820420832622186,linear,0.11791062883425264,7.456455640077836e+21,0.4454052071285607,0.11791062883425264
5,0.2,431.21140203696507,5.761636676222492,30.324805859929732,0.028811605346281473,3962894429.7863817,14943711.724596566,Selsis,-0.2918211807954618,-0.7610679757111231,GP,0.33077167522193895,5.560107178033551e+23,0.13599108134838,0.33077167522193895
6,0.2,164.65493168745553,0.12248527944099738,30.324805859929732,0.19760523367483637,626616645.1473311,8134757.248342176,Jackson,-0.4340112350495874,-0.6286944942440895,GP,0.08845763441751019,6.082786372069265e+20,0.08896593402353103,0.08845763441751019
7,0.2,226.41160093104605,0.4379047209997691,30.324805859929732,0.10450825058606676,3236101952.219186,3818136.4654390416,Selsis,-0.31004533585559446,-0.6987148449887618,linear,0.08790909483396994,9.422043072198562e+21,0.19237435580820494,0.08790909483396994
8,0.2,783.6780405940016,62.854392816102255,30.324805859929732,0.008723134601933616,3673259217.744017,4774636.244780396,Selsis,-0.4903155742846835,-0.7885164189160478,log,0.22867275280653526,1.8330983616358504e+24,0.2629132159064427,0.22867275280653526
9,0.2,165.70993875754127,0.12565481996491626,30.324805859929732,0.195097100691248,3980861871.864472,3176826.931989615,Jackson,-0.3124608719584296,-0.7796389601141297,log,0.06668078382786383,1.51987673566882e+21,0.351833264730812,0.06668078382786383
10,0.2,4158.339212409418,49826.98158965142,30.324805859929732,0.0003098190385716169,1615430417.550363,1229537.5976644682,Selsis,-0.3141148366453046,-0.7174255631045421,log,0.06549996652874619,5.2259194372842104e+26,0.21609553154889705,0.06549996652874619
