pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,2244.1962562195686,0.01583,catalog,6054138472.009145,16116323.250300653,Selsis,-0.3500980022236468,-0.6487385771058093,GP,0.303253315876415,0.001289944456322134,1.0517891550971654e+23,1.0517891550971654e+23
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,3899.6237044936092,0.01583,catalog,3287667875.4508996,69065859.57587731,Selsis,-0.438823711261595,-0.7357198639715047,GP,0.3599237599883558,0.5282924896043568,1.3619640830685934e+23,1.3619640830685934e+23
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,3416.5945845524993,0.01583,catalog,7163366719.711688,5689878.166219488,Jackson,-0.28900386562240316,-0.6822025418862767,linear,0.28776553292500073,0.07361189381638022,1.4005903314636304e+23,1.4005903314636304e+23
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,4002.88674216253,0.01583,catalog,4984617672.060452,29372782.726467513,Jackson,-0.34440121727702505,-0.6968539638082465,log,0.2524697797894022,0.9765430134530636,3.941297458128736e+23,3.941297458128736e+23
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,9276.09138572031,0.01583,catalog,1527195944.0005789,14838971.456516942,Selsis,-0.2826534356392666,-0.6245145841567222,log,0.05118085933369726,0.005501174039798773,2.634439926134423e+22,2.634439926134423e+22
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,1511.8849092211954,0.01583,catalog,10524014734.393517,44666665.53211114,Selsis,-0.286322510420849,-0.7755970136274324,linear,0.21138409948173686,0.7181496364986464,4.5220780894346146e+23,4.5220780894346146e+23
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,2257.6246248800876,0.01583,catalog,6004569048.034594,42021023.42744177,Selsis,-0.2978398609817803,-0.777147398349308,log,0.06598600087777803,0.24338469578622068,1.6444111556523362e+23,1.6444111556523362e+23
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,3649.902682423474,0.01583,catalog,6145030073.851337,52665767.034196734,Jackson,-0.3338182609304324,-0.7399360661753969,log,0.05723176462066929,0.9675520052720562,4.300156967082881e+23,4.300156967082881e+23
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,7089.869725022011,0.01583,catalog,1913927318.1155202,28683996.58115049,Selsis,-0.3659255389306672,-0.713757006374833,linear,0.07167738563171866,0.38154165062789613,7.4120228800677125e+22,7.4120228800677125e+22
9.37594,1.897,catalog,0.91,1958.0,2596.5410277835267,5281.708892948314,0.01583,catalog,3288733687.4634905,4172315.348439542,Jackson,-0.46212245398975665,-0.7402915502495722,log,0.3328604268546741,0.02728342626386515,5.721519307695493e+22,5.721519307695493e+22
