,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.0,1.0,1.0,2.2794495664387586,1.0,3089673527.802082,13276632.075600503,Jackson,-0.36080165446003004,-0.6423984806853242,linear,0.279970789015604,1.5200199622659463e+21,0.23397174405504795,0.279970789015604
1,1.0,1.0,1.0,2.498016170444865,1.0,2659502508.9596424,9017050.645566959,Jackson,-0.30841724557992634,-0.6698197836717217,GP,0.06470976130121026,4.370542731354779e+20,0.05579695811650154,0.06470976130121026
2,1.0,1.0,1.0,0.7019140644515451,1.0,5519457704.20959,71215578.3190392,Selsis,-0.37917405802570775,-0.7277821262322867,GP,0.07755004423991459,3.500835054948505e+20,0.5033614263732962,0.07755004423991459
3,1.0,1.0,1.0,2.9077296589147923,1.0,2112946493.6338098,89916928.01348469,Jackson,-0.4452872435569029,-0.7098215961120936,log,0.1532038129211485,3.7368432506390413e+20,0.3217963720309064,0.1532038129211485
4,1.0,1.0,1.0,0.596910092271852,1.0,8771304799.883158,94329781.51450951,Selsis,-0.3658976282637221,-0.6497859186315059,GP,0.08182214722874884,4.4892074729134254e+20,0.2773235897028452,0.08182214722874884
5,1.0,1.0,1.0,2.243219438215795,1.0,3172469414.141986,64435731.09080739,Jackson,-0.44065689972147815,-0.635970656433047,linear,0.2436184066000534,9.217487824520131e+20,0.30768414014567513,0.2436184066000534
6,1.0,1.0,1.0,0.6512089964291102,1.0,6786681971.288706,69042011.4836632,Selsis,-0.4648042480863755,-0.6367881104865805,linear,0.2826599168901938,1.3357720386554443e+21,0.4299179810694095,0.2826599168901938
7,1.0,1.0,1.0,0.5898488805480702,1.0,9097073884.54824,78657476.92724055,Selsis,-0.41200006766844366,-0.6279492049234231,log,0.14506352393076788,8.058363431762893e+20,0.9328186420140655,0.14506352393076788
8,1.0,1.0,1.0,3.150641151530492,1.0,1880090747.141266,6159672.051794468,Jackson,-0.37132189038327484,-0.6772147964363638,GP,0.054588943299798826,2.2629106464770723e+20,0.9787407435014112,0.054588943299798826
9,1.0,1.0,1.0,1.7361710459182356,1.0,6453805502.23517,45061266.865238614,Jackson,-0.48884757744174817,-0.6191181453058077,log,0.05311769919113807,2.9115067078054563e+20,0.9488813721414168,0.05311769919113807
10,1.0,1.0,1.0,1.8953704031695007,1.0,4396178523.582222,17337190.039975278,Jackson,-0.2971686444466025,-0.6116879013266211,linear,0.1258670978452832,1.2180816380222964e+21,0.8088819789255748,0.1258670978452832
11,1.0,1.0,1.0,1.780216878251982,1.0,5175679270.177536,89236068.27627861,Jackson,-0.45823363441753795,-0.6902009394389225,linear,0.10491460976152536,3.724382285329624e+20,0.6051479732528089,0.10491460976152536
12,1.0,1.0,1.0,2.3980227143641746,1.0,2842777922.8271217,67641387.1021571,Jackson,-0.4704751218888454,-0.6470698015847298,GP,0.14848237289023639,4.860657604189105e+20,0.9430812539073997,0.14848237289023639
13,1.0,1.0,1.0,2.200489009922008,1.0,3275069441.7862153,29113382.23258266,Jackson,-0.4216922597267516,-0.655192885973888,log,0.09272308356073675,3.8721033958387496e+20,0.13082359975600333,0.09272308356073675
14,1.0,1.0,1.0,1.7719182271405516,1.0,5392526894.14098,65924585.04222738,Jackson,-0.4667393331730541,-0.6639393044997747,GP,0.06723740362505992,2.74278297852373e+20,0.1663456059372589,0.06723740362505992
15,1.0,1.0,1.0,0.6626375783357791,1.0,6462878046.206645,42394864.9382449,Selsis,-0.37641849807771716,-0.7732029707480627,GP,0.0561796024997108,3.0774751256270445e+20,0.10326903002002019,0.0561796024997108
16,1.0,1.0,1.0,1.747543848345457,1.0,6092075572.557039,5923865.61997198,Jackson,-0.46594371939188794,-0.6258962617679202,log,0.11867508632046174,6.788684508012886e+20,0.6738717026133264,0.11867508632046174
17,1.0,1.0,1.0,0.672292380010344,1.0,6208179224.761915,98208057.70502853,Selsis,-0.33236345290288966,-0.6675118353787557,linear,0.1694516622223089,9.362087418191346e+20,0.6354848418995469,0.1694516622223089
18,1.0,1.0,1.0,3.2581124874715703,1.0,1791088321.5150013,11493318.075175442,Jackson,-0.32564765094663684,-0.6233043697238378,GP,0.35464637751928757,1.9956223503555006e+21,0.27390201478105514,0.35464637751928757
19,1.0,1.0,1.0,5.337596018939241,1.0,741405577.4349917,20486217.27104434,Selsis,-0.28787989911926004,-0.6901676867480009,GP,0.05798794195453465,4.711177483611122e+20,0.07020431150541806,0.05798794195453465
20,1.0,1.0,1.0,1.7726153598473746,1.0,5373916869.132834,77277389.13551922,Jackson,-0.30450852814172436,-0.6997624091674545,GP,0.11309202353268022,8.414439084430047e+20,0.5148583243967083,0.11309202353268022
21,1.0,1.0,1.0,0.6781469222691936,1.0,6061477365.772092,80505331.56329772,Selsis,-0.33169960473463517,-0.644503242467354,log,0.2281109222254045,1.4342282897934044e+21,0.7452290930498586,0.2281109222254045
22,1.0,1.0,1.0,1.0573322400160452,1.0,3130998085.863039,7883630.120352751,Selsis,-0.442620394536082,-0.7444835761717857,linear,0.34475434664618587,1.8004247127286575e+21,0.13588945258660345,0.34475434664618587
23,1.0,1.0,1.0,2.113999599285588,1.0,3500833324.4934716,5917591.053665433,Jackson,-0.454235907103429,-0.7924054160119763,linear,0.42521275133968855,1.4668803664331095e+21,0.5370259843451154,0.42521275133968855
24,1.0,1.0,1.0,0.6508954640337414,1.0,6795929253.262878,7012055.423760902,Selsis,-0.4428491039873809,-0.6045852105101304,log,0.13228860893667613,9.959483620634789e+20,0.9416011550265877,0.13228860893667613
25,1.0,1.0,1.0,0.6418086818709273,1.0,7073153855.890009,79486878.928413,Selsis,-0.3164221171257169,-0.6531065195658011,linear,0.08125531700420073,5.734387800519272e+20,0.7541762862542124,0.08125531700420073
26,1.0,1.0,1.0,1.7357889987748765,1.0,6466380513.606594,63717818.37499256,Jackson,-0.4164263104699553,-0.7578237320378685,GP,0.24696557814844827,1.0206239314087367e+21,0.9570676436890434,0.24696557814844827
27,1.0,1.0,1.0,1.8287357583191672,1.0,4743753916.885668,21938027.611616213,Jackson,-0.4863875914578551,-0.6788183449213492,GP,0.08368387030094585,3.3925319428287594e+20,0.7055547222832967,0.08368387030094585
28,1.0,1.0,1.0,2.2129203548896057,1.0,3244646288.0848117,88289974.31858157,Jackson,-0.42079801669971734,-0.6257329408131808,linear,0.41916249872728467,1.631581994260347e+21,0.5441926951947577,0.41916249872728467
29,1.0,1.0,1.0,0.7137669963276667,1.0,5277663009.199561,32539894.00475352,Selsis,-0.4538943458851422,-0.6523751703764646,linear,0.45086413597778935,2.4559328666057625e+21,0.5319140128015847,0.45086413597778935
30,1.0,1.0,1.0,3.1785449137240827,1.0,1856240854.3343925,89665743.73832957,Jackson,-0.4636258166128311,-0.7221595301225286,GP,0.3880573444125045,8.532721351032175e+20,0.5543640270163015,0.3880573444125045
31,1.0,1.0,1.0,0.990734667670891,1.0,3361423265.7017756,66667722.51225582,Selsis,-0.4913180692176598,-0.6855546680884211,GP,0.08398344909269756,2.9853718754761454e+20,0.6961021509517145,0.08398344909269756
32,1.0,1.0,1.0,5.133648442159164,1.0,764323633.7577199,41996803.62609883,Selsis,-0.45262385059269816,-0.6576014800458306,GP,0.21471548101280982,7.997094801287869e+20,0.45720161296480877,0.21471548101280982
33,1.0,1.0,1.0,18.14436633217403,1.0,244787267.8398188,54410982.49815207,Jackson,-0.3504625586378226,-0.6798090395197072,linear,0.12520641751787634,1.8140320691630385e+20,0.3699731502087782,0.12520641751787634
34,1.0,1.0,1.0,0.7231817381113257,1.0,5097518230.355491,90592571.98999505,Selsis,-0.4121563219804652,-0.7129147728140102,log,0.2281177110183268,8.146790985583261e+20,0.4946335895850743,0.2281177110183268
35,1.0,1.0,1.0,2.1834699107777973,1.0,3317511773.919308,79741399.52986063,Jackson,-0.46554217079616045,-0.7391351857774503,GP,0.40494294345740994,1.1117749945313779e+21,0.48194324966933644,0.40494294345740994
36,1.0,1.0,1.0,1.6967319657554047,1.0,7947592372.986008,31175717.857138894,Jackson,-0.4719887516244058,-0.7332263428366655,linear,0.2891309003043984,1.2680152082423517e+21,0.7471155369313849,0.2891309003043984
37,1.0,1.0,1.0,2.2847844962826658,1.0,3077791411.0699096,25873406.613067564,Jackson,-0.45540015929964706,-0.7221322761946504,log,0.06127689868446266,2.0605019213436758e+20,0.4160824817769718,0.06127689868446266
38,1.0,1.0,1.0,0.7310480522326392,1.0,4965362102.153327,87299509.73332615,Selsis,-0.31146226749407385,-0.7753462410835438,linear,0.31322471144018954,1.7953746698677783e+21,0.9817202196735556,0.31322471144018954
39,1.0,1.0,1.0,2.2167928764534457,1.0,3235266848.4527397,9330222.614218224,Jackson,-0.3142048194217054,-0.6345360536697169,GP,0.05812644158398163,4.276541371566224e+20,0.7081753731942925,0.05812644158398163
40,1.0,1.0,1.0,1.781195025762228,1.0,5150781121.472626,75006993.88861756,Jackson,-0.3563184269178452,-0.6704571901059264,GP,0.08358572828880764,4.585213332613406e+20,0.6708222321727295,0.08358572828880764
41,1.0,1.0,1.0,0.7222687297944896,1.0,5114551359.483441,1122422.615605359,Selsis,-0.4825790965231189,-0.7292249945712039,linear,0.40860069076165045,2.2566179662876477e+21,0.19715379792932297,0.40860069076165045
42,1.0,1.0,1.0,0.6798544615630959,1.0,6019735927.702236,7830982.728483593,Selsis,-0.30196377063558966,-0.7830250117807644,GP,0.10092957404885096,9.959212382051623e+20,0.5153988636861242,0.10092957404885096
43,1.0,1.0,1.0,1.0948023683745904,1.0,3015221230.84584,31924916.970155425,Selsis,-0.30270200492916405,-0.6767165952493219,log,0.05445650234302814,4.612228302485534e+20,0.4592986090462027,0.05445650234302814
44,1.0,1.0,1.0,1.8885526196380777,1.0,4429867653.9594145,31706859.937753446,Jackson,-0.30860845598992415,-0.7071141627753118,GP,0.0952540852935278,7.02385199541869e+20,0.8441884180041149,0.0952540852935278
45,1.0,1.0,1.0,0.8166705109284791,1.0,4282590994.976127,99688386.96372487,Selsis,-0.43111322460740603,-0.6272662036840757,log,0.27358827926252566,1.0610527594311941e+21,0.6424764444331345,0.27358827926252566
