,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.86,0.36,251.92689217619528,0.6712480570375451,23811.939968926785,0.15027612831688936,1863771942.755707,72381820.13778688,Selsis,-0.41219502760133125,-0.7022674575140002,linear,0.05875508058626335,499967517585282.25,0.38025142217921837,0.05875508058626335
1,1.86,0.36,1089.2224506320156,234.55854668457678,23811.939968926785,0.008085646690584859,3497551478.2512107,87686978.78854373,Jackson,-0.36182498167460597,-0.7934775960257421,log,0.15395987141950138,3.058511798232023e+23,0.9997186653022536,0.15395987141950138
2,1.86,0.36,198.12285389053562,0.2567575517262004,23811.939968926785,0.2443873817829804,3403449658.3659325,51643247.99005109,Selsis,-0.3352596693482752,-0.7439240996564175,linear,0.10706216686674627,935471458318121.8,0.9702395647751819,0.10706216686674627
3,1.86,0.36,137.23074223978676,0.059100420959376725,23811.939968926785,0.5116007417477373,4936840436.784706,98869771.36428735,Jackson,-0.3238387347856522,-0.7711309470334844,GP,0.052884137687134805,1350252049065566.2,0.8291904131557334,0.052884137687134805
4,1.86,0.36,1122.0719871827375,264.16045619930526,23811.939968926785,0.0077429506025009365,9248472501.196514,81579357.88336487,Jackson,-0.4868626373740739,-0.6902876869596005,GP,0.2009659154645136,3.3618020388500785e+23,0.8519611635121878,0.2009659154645136
5,1.86,0.36,235.73404383487056,0.514605175880497,23811.939968926785,0.17542977912421076,8068671250.279656,61742095.36646072,Selsis,-0.4378411786127694,-0.6373631618803691,linear,0.25370191529833064,2234691618826683.2,0.8612763556753928,0.25370191529833064
6,1.86,0.36,111.97079573618677,0.026194130291425276,23811.939968926785,0.7563719435996861,1318961292.1416903,28889452.21810195,Jackson,-0.3309097451310229,-0.7111027146453001,linear,0.08643057243219324,360052233832062.2,0.1833188344481923,0.08643057243219324
7,1.86,0.36,2004.7720264361924,2691.8130861042764,23811.939968926785,0.002389804510827395,4250505601.6062446,73849746.99129796,Selsis,-0.46837625967800733,-0.7567097044018212,GP,0.05732092464999944,1.3198429830402934e+23,0.26526923279415393,0.05732092464999944
8,1.86,0.36,505.2657859625422,10.860866840595097,23811.939968926785,0.0379741884865273,6372508065.55033,6452829.305536287,Jackson,-0.4875935471758809,-0.6074529368899093,log,0.0898673503113191,1.273095528704699e+22,0.732925618926229,0.0898673503113191
9,1.86,0.36,1399.5928459251327,639.4281927242072,23811.939968926785,0.0048971623426222,3513231866.1446686,9550118.36807816,Selsis,-0.48603283802212766,-0.7479208873886661,GP,0.08834408234871298,1.1748991042603979e+23,0.29105157895302625,0.08834408234871298
