pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,19073.420689810268,0.00709,catalog,2461797760.954209,64108830.05374491,Selsis,-0.44640765476976685,-0.6102675895295907,linear,0.14047861974035086,0.04453886624433423,2.3990681433398108e+23,2.3990681433398108e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,16081.1581775157,0.00709,catalog,2801535688.1643534,22971606.7964623,Selsis,-0.3900336962422308,-0.7344244641237846,GP,0.19004423173345866,0.5482084614784916,8.866245614718938e+23,8.866245614718938e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,28101.940894359042,0.00709,catalog,1843606967.1997144,13538164.536836239,Selsis,-0.3583794150587622,-0.6468869297049962,linear,0.34971427553781254,0.9584446525484623,1.501837518254746e+24,1.501837518254746e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,59373.6774030614,0.00709,catalog,1073119344.7358702,17521824.720591538,Selsis,-0.4667282474026993,-0.7460242493710617,linear,0.0512645024985632,0.8852397646204373,7.318953790279853e+23,7.318953790279853e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,11651.941214078004,0.00709,catalog,3596843795.6504707,11566983.442570634,Selsis,-0.39299670763352557,-0.7249908765604451,GP,0.1182712382384451,0.5770163600014871,1.2225029946111632e+24,1.2225029946111632e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,2882.834039677489,0.00709,catalog,8193212862.194823,63566672.0962024,Jackson,-0.347739927776107,-0.6428930697560307,GP,0.05186402076593767,0.44438030930120676,2.0425036142874874e+24,2.0425036142874874e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,4706.44795150953,0.00709,catalog,4801438195.324263,57861820.56167873,Jackson,-0.39032506467468653,-0.6079306112795045,log,0.053462707544691054,0.2864162469985502,8.283865210119742e+23,8.283865210119742e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,7754.273080938264,0.00709,catalog,2882491694.9392376,31383639.048270747,Jackson,-0.30423565391310403,-0.7093905158372387,log,0.10155867285807497,0.18616994999106362,3.9527059412138656e+23,3.9527059412138656e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,9811.849492584528,0.00709,catalog,4135553251.88525,25757273.05059045,Selsis,-0.34617980947606664,-0.7198504411350278,GP,0.10062859560290259,0.6922319933999036,1.8271034412825755e+24,1.8271034412825755e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,10228.198341984431,0.00709,catalog,2199955491.3360267,49483042.84279033,Jackson,-0.3049167981839855,-0.7729571238174512,log,0.46666997817308975,0.8922681535037353,1.51534986851093e+24,1.51534986851093e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,6678.755136791666,0.00709,catalog,5694635114.7332735,38056295.48915778,Selsis,-0.4501491722551165,-0.7299783317483858,linear,0.1458641030871898,0.5308140568921801,1.734118531054743e+24,1.734118531054743e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,11249.417435289577,0.00709,catalog,3700284848.3502707,80885203.9273978,Selsis,-0.4788183414644574,-0.6355278775486334,GP,0.05361699468719775,0.8673805844813901,2.4083965875111754e+24,2.4083965875111754e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,5823.895866790559,0.00709,catalog,3846363134.160854,86293992.83441609,Jackson,-0.40724389541580563,-0.6845270402646548,GP,0.3109651645082597,0.04716299669484303,3.785033319627413e+23,3.785033319627413e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,4535.525811947853,0.00709,catalog,7953892472.820168,78038838.32238545,Selsis,-0.2800766461855556,-0.645083170104861,linear,0.06394417072860424,0.1251962780678728,9.488658007070463e+23,9.488658007070463e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,21129.685425691016,0.00709,catalog,1120319734.2298558,11955960.82644634,Jackson,-0.36996356338284075,-0.7853108060201583,linear,0.173066002164677,0.2149420638067311,1.6418567608687253e+23,1.6418567608687253e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,3070.372246780185,0.00709,catalog,7632457223.450846,58540132.68835289,Jackson,-0.39675459023097953,-0.7107999120036981,log,0.17494821351412457,0.27263423143637366,1.2813437576384906e+24,1.2813437576384906e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,3427.039560266382,0.00709,catalog,10241557658.505156,79385178.30512182,Selsis,-0.3376070147103426,-0.7542394414280167,GP,0.061929511315255883,0.20672352120424098,1.4771376314193188e+24,1.4771376314193188e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,10691.113245757897,0.00709,catalog,3856023398.5502024,91047828.2394153,Selsis,-0.40865708939577405,-0.7629998730474367,GP,0.0646446176493633,0.6556171499285242,1.5384741086059275e+24,1.5384741086059275e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,5847.627691795196,0.00709,catalog,6375666845.19899,72548615.25304936,Selsis,-0.4686737493827475,-0.6899058339716062,log,0.05962005265453351,0.3696348364760539,1.3332180021414572e+24,1.3332180021414572e+24
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,16628.14525522454,0.00709,catalog,2731063481.531395,99524021.77174905,Selsis,-0.3948387057103398,-0.6762492676234941,GP,0.12017444900450397,0.0028961847686546083,2.3923072184341165e+23,2.3923072184341165e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,10329.77839936442,0.00709,catalog,3965376555.408433,11606889.612963445,Selsis,-0.3475694044696206,-0.6963298419131541,linear,0.4097969944733798,0.016504850056526577,3.708746030058889e+23,3.708746030058889e+23
0.633,0.699,catalog,0.46,1363.6861724522514,579.0,5549.776199606532,0.00709,catalog,4042214740.2122626,94121025.83012314,Jackson,-0.3752631890332356,-0.6935938160837268,linear,0.05207304493702924,0.7596449168777883,2.0499499084607842e+24,2.0499499084607842e+24
