pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
2.77,1.289,catalog,0.31,695.6107943416796,39.2,438.7531681713386,0.01714,catalog,7235254574.956399,19887324.953713767,Jackson,-0.28972101798761224,-0.6122887297966977,GP,0.05771780130956344,0.3688910447744317,1.582817769762754e+22,5.803665155796765e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,712.8433303507267,0.01714,catalog,7872235431.622731,38477322.24231474,Selsis,-0.46282793840128905,-0.7454118907108765,linear,0.0896851823839632,0.707256353832462,9.045837103934774e+22,3.316806938109417e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,1292.2355079513097,0.01714,catalog,4833921923.104889,96660435.47858073,Selsis,-0.3152025142660161,-0.6442855298893374,linear,0.43318088533610744,0.2561035364928086,1.4479011924179945e+23,5.3089710388659794e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,4621.153728638668,0.01714,catalog,1855884741.6897302,8334104.021869107,Selsis,-0.4518756827344657,-0.7658636879729294,log,0.26969162253863493,0.9032239637137262,6.470390868525601e+21,2.3724766517927206e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,1603.3728590466949,0.01714,catalog,4075020323.304492,27916302.295677498,Selsis,-0.48698920543147306,-0.6958739385441163,linear,0.38222678122227666,0.054669838463687115,7.860312127336874e+22,2.882114446690187e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,2506.3424059176896,0.01714,catalog,2900549933.1258917,1577774.1750092455,Selsis,-0.31433799116369654,-0.6029898461098109,log,0.10572188016611896,0.6396839449191594,1.4916681657701267e+22,5.469449941157131e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,9000.621220843137,0.01714,catalog,1164268285.8644803,50098847.089548744,Selsis,-0.4318089286396612,-0.6909045440084692,log,0.4118383265575783,0.3335876103392058,4.687618225018311e+21,1.7187933491733805e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,422.01237050076054,0.01714,catalog,12443529315.266586,95267864.85486764,Selsis,-0.31936511320096134,-0.7203136293158344,GP,0.25495454203614903,0.3404628058510144,2.196677219233411e+22,8.054483137189174e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,2429.498631773795,0.01714,catalog,1402747122.621382,91630604.34495008,Jackson,-0.30395745304943245,-0.7448951343756417,linear,0.056998717488237066,0.70687964163818,4.716962701739043e+22,1.729552990637649e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,3184.3806114502368,0.01714,catalog,2432109393.3091245,63521176.84477794,Selsis,-0.36315817300505204,-0.7648325153615634,log,0.20950612333375898,0.1772986720360622,8.571065955547407e+21,3.1427241837007156e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,2993.267602463195,0.01714,catalog,2544966963.9623656,1712722.1789803011,Selsis,-0.42295649156646076,-0.6101884556533459,GP,0.05391803259585254,0.3822222414068793,1.2118721347493067e+22,4.443531160747458e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,2850.8543256229627,0.01714,catalog,2637580654.646827,8048026.720470301,Selsis,-0.4686212124424943,-0.7150627871843626,GP,0.15720342522402447,0.052093492547050646,9.167961967955111e+21,3.361586054916874e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,1445.4958058814295,0.01714,catalog,2239525763.35046,31193686.52313332,Jackson,-0.46152583799812913,-0.6601654769937013,linear,0.06055691633847367,0.9723324038882367,3.7229223554201508e+22,1.3650715303207219e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,1589.1184681196326,0.01714,catalog,4103664302.914719,79612103.36980279,Selsis,-0.36190465809955613,-0.7386776509923528,GP,0.05177320744158311,0.5981956127286727,1.276309963489691e+22,4.6798031994622e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,946.975222818784,0.01714,catalog,6214266326.562222,49369129.99727153,Selsis,-0.39186544526672284,-0.6095135383557819,linear,0.3870334848480214,0.1496122451272599,1.2512251019858739e+23,4.587825373948204e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,3777.1609605130066,0.01714,catalog,2146856946.6360168,64665006.00589012,Selsis,-0.3523904199892946,-0.7396014111255502,linear,0.27697808863812107,0.9223203106035257,8.009849248052964e+22,2.9369447242860864e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,972.8000994543168,0.01714,catalog,6078813875.391629,85152069.09528066,Selsis,-0.484157989853352,-0.6731120727562991,GP,0.08668003947827409,0.4201353804174224,1.0936473251655161e+22,4.010040192273559e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,1557.7560476466408,0.01714,catalog,4168412065.4789114,7228525.7038854165,Selsis,-0.4426719264976474,-0.7535964214053006,linear,0.2779715741826649,0.74966762742581,8.303232882870185e+22,3.044518723719067e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,415.0225119942846,0.01714,catalog,12632976265.413467,39079320.43779943,Selsis,-0.4585104036205721,-0.6151179259579305,log,0.050994793840251566,0.23180632517431188,1.4649182153795426e+22,5.371366789724989e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,1659.9908919659454,0.01714,catalog,3965796190.3490515,52469158.50822113,Selsis,-0.2966620248320554,-0.7276865843678483,log,0.4621256328243263,0.6452939779565303,1.565944110787723e+22,5.741795072888318e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,799.4892042989743,0.01714,catalog,7148887018.912781,89430888.96377017,Selsis,-0.44536504851128617,-0.7601795782268906,log,0.11405859558358593,0.9383386112117874,9.511139544606307e+21,3.4874178330223125e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,2437.229491869018,0.01714,catalog,2961369452.554696,66124040.53461624,Selsis,-0.4890265262374895,-0.7621349318932953,linear,0.24771908362077072,0.22830381565469016,6.477311639628423e+22,2.3750142678637548e+23
2.77,1.289,catalog,0.31,695.6107943416796,39.2,592.7206326037676,0.01714,catalog,5297077620.244905,97133804.18164235,Jackson,-0.47739737533451715,-0.6662312178620834,log,0.1185898201479491,0.023148355416326982,4.918685508873343e+21,1.8035180199202255e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,3897.052367635791,0.01714,catalog,2098700794.510591,38897256.45289848,Selsis,-0.38443890010218573,-0.647322579863071,GP,0.1741609654960034,0.7606396470852014,1.0298890512663317e+22,3.776259854643216e+22
2.77,1.289,catalog,0.31,695.6107943416796,39.2,3126.3298375256713,0.01714,catalog,1124974725.274928,33721439.231447466,Jackson,-0.4950885069413646,-0.7414625545740313,log,0.08295967849604995,0.5831843603908254,2.6560236530567663e+21,9.738753394541475e+21
2.77,1.289,catalog,0.31,695.6107943416796,39.2,556.3228966910033,0.01714,catalog,5651098535.536389,14090568.460449615,Jackson,-0.4401040291418904,-0.6056975007268249,GP,0.41362451540742484,0.6736726888343731,8.114163381759069e+21,2.9751932399783254e+22
