,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,4.28,0.62,1173.9553407126762,318.0,11761.13867189855,0.0189,828486907.5302709,51538063.255008735,Jackson,-0.4235749023630347,-0.7563240155974272,linear,0.10748656148500484,5.827133442913061e+22,0.7703653859878331,0.10748656148500484
1,4.28,0.62,1173.9553407126762,318.0,1690.6402968700554,0.0189,4106279850.8486013,70124531.09695467,Selsis,-0.49638433613864474,-0.7866230880525128,linear,0.19763917360820205,9.471967906457372e+22,0.6914582740053645,0.19763917360820205
2,4.28,0.62,1173.9553407126762,318.0,1789.8031631823326,0.0189,3916110587.6045046,81040233.87456867,Selsis,-0.34153477071284183,-0.6293272293899083,log,0.07608605891399085,2.0525153853426175e+23,0.929252350084311,0.07608605891399085
3,4.28,0.62,1173.9553407126762,318.0,2798.6518465478375,0.0189,2719001718.037687,65437079.74046452,Selsis,-0.3544513800553301,-0.6916674832786528,linear,0.2797165513661436,1.69287194502232e+23,0.9757861189587365,0.2797165513661436
4,4.28,0.62,1173.9553407126762,318.0,2485.9298908912538,0.0189,5050829045.105819,42221995.122624785,Jackson,-0.3539317698649068,-0.7521171923583735,GP,0.07029053537257553,7.485203907734715e+22,0.0474673332158384,0.07029053537257553
5,4.28,0.62,1173.9553407126762,318.0,2022.2467652011048,0.0189,6697257872.464988,48769803.61634253,Jackson,-0.44660756810572383,-0.6682222282052965,linear,0.10681227483562608,1.2806497223131223e+23,0.29526399126746605,0.10681227483562608
6,4.28,0.62,1173.9553407126762,318.0,4077.0327642772954,0.0189,2772333906.048612,50214762.50408191,Jackson,-0.38909254899667634,-0.726702167484652,linear,0.07284988335543689,8.333330555484729e+22,0.3891228950390314,0.07284988335543689
7,4.28,0.62,1173.9553407126762,318.0,7209.279101710514,0.0189,1430528954.6634793,6695544.168080611,Jackson,-0.4776879773974077,-0.7865317447144918,GP,0.3382569748869969,8.424319207207877e+22,0.7974131378428471,0.3382569748869969
8,4.28,0.62,1173.9553407126762,318.0,6568.6116602449465,0.0189,1407860418.2337303,57299545.420477614,Selsis,-0.44578032519889943,-0.6691047838791202,linear,0.13117672187003881,3.51440908322367e+22,0.2883188071713866,0.13117672187003881
9,4.28,0.62,1173.9553407126762,318.0,3579.7684286002705,0.0189,2235214631.9732833,96947716.41614953,Selsis,-0.42022600968346485,-0.6791407242199745,linear,0.0534518690215583,1.1060752054799055e+23,0.7952746674480182,0.0534518690215583
