,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,3.09,0.44,240.27330568380194,0.5554014622698746,137.5097704542565,0.21422162300460496,9276023278.472832,84497322.29330096,Jackson,-0.45839777999729425,-0.7339206976441307,linear,0.07000036667210859,3773370015320655.0,0.2673799558638853,0.07000036667210859
1,3.09,0.44,99.55744529678195,0.016371176861824443,137.5097704542565,1.2432965705025392,7722056423.398802,94021763.76317237,Selsis,-0.42900234662119663,-0.7118365213446829,linear,0.3940928397950565,3131514549131474.0,0.16806426535850116,0.3940928397950565
2,3.09,0.44,509.11531255230875,11.195656435735138,137.5097704542565,0.04648529701933667,934320150.4290965,65667637.206597716,Jackson,-0.4169594689984005,-0.6269910183383511,linear,0.19434716366132868,6.585040335892589e+21,0.27347531719452145,0.19434716366132868
3,3.09,0.44,2782.4787461741403,9988.777693657816,137.5097704542565,0.0015761541292978268,4236317133.3240724,62749432.41062403,Jackson,-0.4587347353144534,-0.6590581106818695,log,0.4594007098986506,4.2790483896203456e+23,0.7209665855127794,0.4594007098986506
4,3.09,0.44,264.0057720672451,0.8095405612676043,137.5097704542565,0.174872325243844,2061356617.5300226,79680315.44109122,Jackson,-0.3085198462254832,-0.7228404566330784,GP,0.36710502962841834,813531721938580.2,0.8983674065407686,0.36710502962841834
5,3.09,0.44,1185.871831777994,329.5610958273284,137.5097704542565,0.008578844079883583,1080179020.1412218,18227199.14917659,Jackson,-0.4491140576075451,-0.6312678095714706,log,0.13331768823823903,1.8024198389123672e+23,0.9595940554391252,0.13331768823823903
6,3.09,0.44,704.0692547902709,40.94929649986743,137.5097704542565,0.024587658302247982,2008889888.2964728,21326357.985083405,Selsis,-0.49379670441545936,-0.6730375427636891,GP,0.16844793851210724,9.720039408953567e+22,0.8712530368616158,0.16844793851210724
7,3.09,0.44,972.6480889915648,149.1447176906173,137.5097704542565,0.012961312479274938,5503593881.121552,33387051.504987106,Jackson,-0.44326065956716676,-0.7740850941031535,log,0.09907193309420124,7.784763770838701e+22,0.04385955709744194,0.09907193309420124
8,3.09,0.44,150.4513798373802,0.08538264918191388,137.5097704542565,0.5438257877918223,7173796327.882459,12202652.985354003,Selsis,-0.4196558517806966,-0.7575719819822399,linear,0.07605331418207069,2940027908706365.5,0.2704220501609611,0.07605331418207069
9,3.09,0.44,436.87290075147536,6.070232840579391,137.5097704542565,0.06386129434505337,3790700090.3818784,38647107.14059945,Selsis,-0.4028990878449567,-0.6354509497648626,GP,0.0822790767872118,1.2661483339476487e+22,0.007005662654883449,0.0822790767872118
