,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039426154738761945,5287594476.303513,80228246.20579803,Jackson,-0.2857405199678121,-0.6017859465032387,log,0.06359000297528498,3.7596626229561645e+21,0.9301651835738219,0.06359000297528498
1,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03849705021661053,499392450.94793916,50835384.811085925,Selsis,-0.34548978535895725,-0.7198149882839687,GP,0.060139383443183286,2.1037269212294663e+21,0.45571354486565996,0.060139383443183286
2,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03932096704184037,4571385740.736122,89098263.6965455,Jackson,-0.3987733121294677,-0.6436458238528927,GP,0.08506351429850768,2.921765771670754e+21,0.5745729825099574,0.08506351429850768
3,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03945929914022773,5598723314.420736,72935631.97769323,Jackson,-0.3192227767279917,-0.6235672155299297,log,0.10358736381485131,2.953516534370472e+21,0.7268729290233902,0.10358736381485131
4,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039595680147026614,7080156614.592055,51578744.00613665,Selsis,-0.38223321384414805,-0.7953276424830134,linear,0.3240120354765199,2.9574451783451225e+22,0.5890612907752578,0.3240120354765199
5,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039212763816126366,2556295211.5077395,27867627.94612141,Selsis,-0.42548059819836603,-0.7121449510476756,log,0.05905200627610305,3.0840520349876864e+21,0.15967036412512947,0.05905200627610305
6,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03975896292442962,8951853526.532204,66249089.06478169,Selsis,-0.4089558685856975,-0.6550762691489177,GP,0.06656799189254198,6.640868701242838e+21,0.4092957260612631,0.06656799189254198
7,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03989802706936222,10602025104.574238,97948768.31056589,Selsis,-0.3231609819380221,-0.6108131888149416,log,0.12379772728350324,7.155924172822458e+21,0.10483559304891832,0.12379772728350324
8,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039620226359342155,7385084905.60803,87456903.76789476,Jackson,-0.31745974576668323,-0.656703761471402,GP,0.386496324227529,4.6600857115824336e+21,0.6042892412258474,0.386496324227529
9,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03965577308158763,7849733579.54212,46154570.050534725,Jackson,-0.3886937578648552,-0.7603955676845707,linear,0.24857974200259655,1.2262484230905822e+22,0.5647010797968156,0.24857974200259655
10,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03891196915917705,1258016718.6233468,31610365.46705075,Selsis,-0.35871766922974324,-0.7367961348697577,GP,0.05267495857267003,4.0948392100106417e+21,0.6290889110929541,0.05267495857267003
11,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039365336505069536,4828142410.141657,40075659.85669935,Selsis,-0.4801126282259865,-0.7143538318698337,linear,0.2981283669919423,2.355600293357466e+22,0.9999891265676641,0.2981283669919423
12,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039212763816126366,3717494674.7522974,49844178.40277475,Selsis,-0.3652999975993489,-0.6699552018019277,GP,0.09286745971388315,6.089667514643511e+21,0.29243346404623505,0.09286745971388315
13,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03921276381612636,3101335966.9127417,91295108.47141562,Jackson,-0.3279371631854102,-0.7375172738247365,log,0.06395523748760164,1.86857421159321e+21,0.8000640390872663,0.06395523748760164
14,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03911164887372346,1712061304.9038649,92250221.96551666,Selsis,-0.3978214774306598,-0.7284883612661838,GP,0.0633805156019659,3.6364047751946767e+21,0.1785040008404103,0.0633805156019659
15,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.040092408507907365,13417267484.670542,74055995.5581265,Jackson,-0.4671819060494642,-0.7445772598260582,log,0.18728617911981627,1.0909072494420627e+21,0.7476100935943072,0.18728617911981627
16,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039212763816126366,2201749685.368491,18566704.129195124,Jackson,-0.3011510130697657,-0.6519533403529025,GP,0.48671485028817757,3.1118424285679426e+21,0.37305121758381654,0.48671485028817757
17,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03969533847467333,8283438581.910314,82010157.99007346,Selsis,-0.31217230857350053,-0.6769697377402328,log,0.0788319761421874,6.475429972898138e+21,0.6956627826909567,0.0788319761421874
18,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039090717424885554,1657762683.7015975,84046405.15464742,Jackson,-0.3569824094879861,-0.6875690184293921,log,0.15338080382926894,1.2823110620221987e+21,0.8635272436031263,0.15338080382926894
19,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03932035244126082,4567924799.356122,5094176.614935135,Selsis,-0.49987664879582994,-0.6256506262554067,linear,0.07972649438367167,2.9108871715265983e+22,0.9179621211041454,0.07972649438367167
20,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03958267969760697,6923717172.766061,26684468.83591634,Jackson,-0.3898370884535608,-0.6946253571202127,GP,0.14074732221875522,2.5705023244600827e+21,0.41326321199683624,0.14074732221875522
21,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039212763816126366,3549074804.0232677,53039071.24862043,Jackson,-0.4796431330677791,-0.7329894709029473,log,0.244258044018869,1.0992717301698851e+21,0.29898007944465255,0.244258044018869
22,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.0395721094077459,6799035319.019245,8072436.939717597,Selsis,-0.2868650662191314,-0.7586455308504959,linear,0.24429749910483795,5.673863377483735e+22,0.8013410380322484,0.24429749910483795
23,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03912828167928997,1756452469.49754,76046947.52403897,Jackson,-0.4520146599947032,-0.7927752355448899,GP,0.40437604224262946,1.3447668965440168e+21,0.08474257463986734,0.40437604224262946
24,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039212763816126366,2081642077.4108777,23336952.63709414,Jackson,-0.3175790313418638,-0.6950213695872969,linear,0.15490711412739666,1.3804761724478997e+22,0.4381502730482272,0.15490711412739666
25,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03905989548016528,1580876484.277087,13983036.216158153,Selsis,-0.42146428338468994,-0.630310903629494,GP,0.05052776497032766,4.246326484203471e+21,0.27521239322793867,0.05052776497032766
26,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03918941231673178,1929543352.6141331,4575609.7417030735,Jackson,-0.3854226861956981,-0.7827190995965333,GP,0.19852660655162765,1.8052242945868271e+21,0.6343306250966803,0.19852660655162765
27,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03967181272338984,8048875723.774314,72019120.59973529,Jackson,-0.43527846970590267,-0.6878312382960635,log,0.3551146982614402,1.4750106515243307e+21,0.4834961852232318,0.3551146982614402
28,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.03944667626111849,5478160534.534139,19322286.866158295,Jackson,-0.48846101816500165,-0.77213628597736,log,0.15057427651434954,1.0505773454705754e+21,0.2644749517092232,0.15057427651434954
29,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039212763816126366,2437055178.1138186,32752060.716898087,Jackson,-0.28069318024327883,-0.7233991262504774,GP,0.08692504991914296,3.547569211199517e+21,0.1541960549367023,0.08692504991914296
30,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039212763816126366,2337374358.965355,84661036.8144878,Selsis,-0.30049471248828286,-0.6026306124489492,log,0.11205940557387489,5.391848838387906e+21,0.7395617161839526,0.11205940557387489
31,3.09,0.44,557.5197255906253,16.1,476.7710778843387,0.039674977759371094,8080049745.787102,60450877.15903006,Selsis,-0.41190419440096515,-0.7591065048464242,GP,0.4392420978158419,5.318376367013685e+21,0.7891833385418567,0.4392420978158419
