,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,4.97,0.84,1771.8044249632712,1650.0,6412.254242835185,0.01796,1708656621.8722076,5229219.375786154,Selsis,-0.4571238649018705,-0.7503212474073923,linear,0.27761831414643007,6.951865540693514e+22,0.4341369322910711,0.27761831414643007
1,4.97,0.84,1771.8044249632712,1650.0,1271.5941349093123,0.01796,11803158269.587305,72857308.36557859,Jackson,-0.4039869131052006,-0.6204567422151721,GP,0.08893322418799549,2.219673040967847e+23,0.12277007272081786,0.08893322418799549
2,4.97,0.84,1771.8044249632712,1650.0,1686.6104540949043,0.01796,5608731450.722054,38419591.181753054,Selsis,-0.44241389406607734,-0.6564983356097635,log,0.09644715642233345,1.623537556305908e+23,0.4800986089746144,0.09644715642233345
3,4.97,0.84,1771.8044249632712,1650.0,9691.259580488513,0.01796,1236709114.8950224,12665906.775321815,Selsis,-0.416429789627919,-0.6712438675669695,GP,0.10344954523635623,1.155164533668004e+23,0.8144564027414521,0.10344954523635623
4,4.97,0.84,1771.8044249632712,1650.0,1426.0344412147042,0.01796,6725667978.736821,11887612.859562213,Selsis,-0.312447861905503,-0.7871092221104394,linear,0.2513518366405893,2.54784176837995e+23,0.6699684020784701,0.2513518366405893
5,4.97,0.84,1771.8044249632712,1650.0,4181.638670311573,0.01796,2442708203.698768,14751212.624403488,Selsis,-0.32670180460068304,-0.7566776498586335,GP,0.33681245354816786,6.051279297746764e+22,0.20378747409680198,0.33681245354816786
6,4.97,0.84,1771.8044249632712,1650.0,3107.615513189594,0.01796,2934328079.9896016,85643903.15190633,Jackson,-0.36296937273552254,-0.6236991679339978,GP,0.2441692916656904,6.252754372471449e+22,0.14860833044637112,0.2441692916656904
7,4.97,0.84,1771.8044249632712,1650.0,14082.482803231882,0.01796,930409684.484522,9184806.638706699,Selsis,-0.442621530747935,-0.6294121031183552,log,0.10540137373252209,1.622313743451315e+22,0.05295045481220506,0.10540137373252209
8,4.97,0.84,1771.8044249632712,1650.0,2509.0939082693512,0.01796,3814814840.0428004,80193618.520996,Selsis,-0.4881160247628579,-0.7247744472110791,log,0.0638916476285653,9.477181108627669e+22,0.3571126917456323,0.0638916476285653
9,4.97,0.84,1771.8044249632712,1650.0,1200.0118684698923,0.01796,8095048199.394434,49279339.73979411,Selsis,-0.4085595909711641,-0.6032950650834227,linear,0.31856325585458367,2.994190635755739e+23,0.7096138448777184,0.31856325585458367
10,4.97,0.84,1771.8044249632712,1650.0,1192.1719692820936,0.01796,13342453217.057978,51589386.348656006,Jackson,-0.45303463492760354,-0.7606167606106331,GP,0.05802794501503842,7.550721247071138e+22,0.1911171319625341,0.05802794501503842
