pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,2395.6979415204864,0.01796,catalog,4092494170.853982,11028848.977558604,Jackson,-0.45528426382726533,-0.6318474795030876,linear,0.14861229603362017,0.687293042803752,2.3256710794335996e+22,8.527460624589865e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1741.2352731465269,0.01796,catalog,5414781194.769542,12717264.430127943,Selsis,-0.35634053360525436,-0.7342258597581555,GP,0.3808381428298451,0.9194452737849663,5.171673986056397e+22,1.8962804615540123e+23
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,3264.039411978885,0.01796,catalog,2761649582.3626804,76556643.62534617,Jackson,-0.4267089396298211,-0.7614469735171179,log,0.13896750207559924,0.2208134938737898,7.15520108610965e+21,2.623573731573538e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,2915.00688133822,0.01796,catalog,3177488518.3210893,86469852.11033842,Jackson,-0.42564617557691853,-0.7978109364463735,GP,0.15017029426948544,0.01415073757483587,1.2893853583830245e+22,4.7277463140710895e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1916.4633389308167,0.01796,catalog,5668533432.684256,46244657.35276805,Jackson,-0.4076026045930852,-0.6754915030278478,GP,0.21474473362730276,0.8241083412069418,2.168560411543598e+22,7.951388175659859e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,4617.198983011483,0.01796,catalog,2244971666.235977,6897518.034477447,Selsis,-0.3125210856657018,-0.7412379379436411,GP,0.08219992167559396,0.7226983291280551,6.074405250017355e+22,2.2272819250063632e+23
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,2280.6751737286663,0.01796,catalog,4160610928.7889304,7603897.995619176,Selsis,-0.44756391833238035,-0.6272655146242918,linear,0.08247572215298103,0.1602572754219892,4.114634574508571e+22,1.5086993439864758e+23
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,4247.451617745566,0.01796,catalog,2018815743.0332527,60261434.65617995,Jackson,-0.4448258333160046,-0.743296382648092,log,0.1617341939931045,0.48964584548510237,6.513029944669174e+21,2.3881109797120307e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,33513.10957325156,0.01796,catalog,491577651.92326057,91943810.67128204,Selsis,-0.4983852190065585,-0.7696848375630994,linear,0.058557135273346564,0.16043388504493505,1.4186588702702322e+22,5.201749190990851e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,2037.984972100784,0.01796,catalog,5109562171.459854,40558767.85688573,Jackson,-0.465898488837834,-0.6079104975991364,GP,0.08622397766606771,0.6026138618291498,2.4396720928075178e+22,8.945464340294231e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1813.8586128908776,0.01796,catalog,5177309461.324723,65411361.70471643,Selsis,-0.284690556770914,-0.6070445975490981,GP,0.31072926511281856,0.6475699453218741,8.092535910525608e+22,2.9672631671927227e+23
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1222.6827922720947,0.01796,catalog,12713420231.173552,54658769.12672038,Jackson,-0.40454861198857534,-0.662995234329452,linear,0.14544655249352373,0.27668270751400437,3.498635706908798e+22,1.2828330925332259e+23
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,4524.22840375721,0.01796,catalog,1876696049.885466,89086026.6007541,Jackson,-0.45706376769088075,-0.6143228594807457,log,0.053160852635823506,0.7808371269171284,7.527649706260299e+21,2.760138225628776e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1770.4967783433465,0.01796,catalog,5316410203.177851,83406373.5525813,Selsis,-0.28755000163347266,-0.7676332837502435,log,0.05750576995868687,0.4735963489241425,2.8196174511458505e+22,1.0338597320868118e+23
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1444.6635718828836,0.01796,catalog,9318516211.502878,20735507.456770968,Jackson,-0.49403406903187264,-0.7079318280059411,log,0.4154180692404617,0.7063579112955095,1.1975263112668792e+22,4.390929807978557e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1930.4545502775636,0.01796,catalog,4856280548.956365,68076766.75741214,Selsis,-0.3934833949391861,-0.7591682218071444,log,0.45257280388825927,0.6398111814232847,1.6795700586101455e+22,6.1584235482372e+22
4.97,1.67,catalog,0.84,1771.8044249632712,1650.0,1384.3553829626624,0.01796,catalog,10075568529.020357,84902815.39514428,Jackson,-0.3229875301619465,-0.7042433483609942,GP,0.21881336359830011,0.45075893211061435,3.4309354839209343e+22,1.2580096774376758e+23
