,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,2846017411.1195455,9975753.222273368,Selsis,-0.444953559951378,-0.7313075299123055,linear,0.22309392956494198,4.06952771745456e+22,0.4803244970592787,0.22309392956494198
1,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,4911106867.154996,69853184.92397295,Selsis,-0.34404455296875436,-0.6876625812135632,log,0.06106172537843708,4.035519950306248e+21,0.045926191916631165,0.06106172537843708
2,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,2497060174.288497,22171650.391629476,Selsis,-0.4329116978178982,-0.7203837513545283,linear,0.10938327600898255,3.934874506283165e+22,0.3173869845609554,0.10938327600898255
3,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06295756858764247,5310276117.769329,87752500.63885894,Selsis,-0.4749479209352637,-0.762190870331316,GP,0.10028891632502036,1.5374487043131098e+21,0.9820095639381675,0.10028891632502036
4,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,2775049517.7949376,7082721.358704393,Jackson,-0.42921282171700714,-0.7768378805298939,GP,0.2628245037513737,7.656336810204179e+20,0.30961557294457864,0.2628245037513737
5,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,4553157079.432386,25361003.687043343,Jackson,-0.4192989362760073,-0.7661633223697923,linear,0.33983334666139287,1.8543210077871072e+22,0.24071367575288471,0.33983334666139287
6,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.0631878335296886,6163739649.011779,4376118.439038994,Selsis,-0.4882836335136173,-0.6174029480985181,GP,0.28606051052160186,2.3044391718305412e+21,0.22098148555170516,0.28606051052160186
7,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,4284650019.5906787,13035960.931178028,Jackson,-0.4853935953066748,-0.7567261835572437,log,0.2631052589741821,8.662524617372507e+20,0.3448481943889561,0.2631052589741821
8,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,4628433714.570161,80479298.54979788,Selsis,-0.4128655830036771,-0.6430044179112615,GP,0.39926751215180806,2.2178312994275692e+21,0.0008618578900924101,0.39926751215180806
9,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,2873248522.623627,9966868.864486102,Selsis,-0.38369103327737664,-0.7499951420011446,log,0.06366926618293133,3.0639705615663597e+21,0.7362569238832575,0.06366926618293133
10,1.00685,0.4,414.73456561070975,4.9302149667072666,122.55884325226715,0.06286478921508463,2977319183.0530086,98174986.57572688,Jackson,-0.4638267713019379,-0.6783462082179448,GP,0.07126334025182518,7.29832345761223e+20,0.6326700753073129,0.07126334025182518
