pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
1.91,1.272,catalog,0.18,421.8069811790881,5.3,536.5492263232119,0.027,catalog,3989847004.0449963,97985942.64549977,Selsis,-0.30230562461337346,-0.6766058092240513,linear,0.055103482899699914,0.47211619347817013,5.930122298190659e+22,5.930122298190659e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,308.16501764825114,0.027,catalog,6006872722.840376,3079916.1685281163,Selsis,-0.49946336410566355,-0.7969303417777484,log,0.1726175101772283,0.7632985181236548,2.5987807689492815e+22,2.5987807689492815e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,659.8908257023882,0.027,catalog,3441302237.943985,68361421.04287703,Selsis,-0.2811331632316777,-0.6302219398963282,linear,0.11602108841321387,0.9192289439079616,7.00146061866075e+22,7.00146061866075e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,146.8273688291677,0.027,catalog,6697568460.657546,77155144.5202235,Jackson,-0.40414451306026206,-0.7577621125126273,linear,0.054493018137823666,0.7054684866680532,2.0937678823146916e+22,2.0937678823146916e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,243.9007017694627,0.027,catalog,7184350695.851765,16986047.686678696,Selsis,-0.49351680541213105,-0.7554793431610969,GP,0.3653622769258232,0.5586859268890657,2.5720698932010838e+22,2.5720698932010838e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,267.75941819562837,0.027,catalog,6686250167.967995,53424459.26832053,Selsis,-0.3576994434719904,-0.662206573833855,GP,0.06277547196672835,0.11807264208493418,4.468406656424014e+22,4.468406656424014e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,312.62553677467605,0.027,catalog,3307293535.0993514,33355379.20993864,Jackson,-0.4779532279127764,-0.6918111296332822,linear,0.43602480522839804,0.21023067506757687,1.959830964508015e+22,1.959830964508015e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,883.378011798141,0.027,catalog,2803146140.3000455,21973172.431894716,Selsis,-0.4368816483768851,-0.6673927354678619,log,0.23897315031990368,0.753610376536496,2.9072730474013117e+22,2.9072730474013117e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,265.50409209301586,0.027,catalog,3836374628.3627915,38366306.6925768,Jackson,-0.4284674985021429,-0.7687970982594364,GP,0.19714837659459214,0.6054042870767947,2.1095721769581672e+22,2.1095721769581672e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,903.6386350104648,0.027,catalog,2759202493.518655,15664445.475475939,Selsis,-0.30443330813322717,-0.7289657045452085,linear,0.208974015060997,0.014566358907099897,4.555050861895151e+22,4.555050861895151e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,510.366073255418,0.027,catalog,2142973190.9283314,77466794.13221137,Jackson,-0.3503077697947715,-0.7337249877777435,log,0.32176893425514314,0.6273628892221667,2.8333616561304654e+22,2.8333616561304654e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,392.78348942453573,0.027,catalog,2696999899.3488603,2499178.926302519,Jackson,-0.28820844854482075,-0.6059950973480275,log,0.12695904011436912,0.4288059535043116,5.4319700376346306e+22,5.4319700376346306e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,264.7372255770162,0.027,catalog,3846543518.458793,76529723.5939644,Jackson,-0.4948307292674104,-0.6469629627736584,log,0.0530087485834501,0.8331719396447442,1.997702615714536e+22,1.997702615714536e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,219.92976934715196,0.027,catalog,4564144851.020596,8783163.011144338,Jackson,-0.31487293026364654,-0.6090484159127642,GP,0.29919910491133567,0.3956287455235976,4.816837787682887e+22,4.816837787682887e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,138.8989323910359,0.027,catalog,11230523641.89436,44833817.215893425,Selsis,-0.46191186901587833,-0.6816721530422172,log,0.05145421590279103,0.5039531508521606,2.86540717110276e+22,2.86540717110276e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,192.19993266018665,0.027,catalog,5177879156.595883,26898897.36432121,Jackson,-0.4300564669196038,-0.6621607095330909,log,0.06310734195693664,0.6214014075988513,2.4290704722111465e+22,2.4290704722111465e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,862.0867065731331,0.027,catalog,2851271357.749375,64170504.67545647,Selsis,-0.3118756519965053,-0.7504176461870751,linear,0.10095842493493166,0.623439020454907,4.537730411421157e+22,4.537730411421157e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,579.8470508980595,0.027,catalog,1918577802.9629705,96476611.0131403,Jackson,-0.4881216985425765,-0.7774060738065237,log,0.3943186455643333,0.9506173382280559,1.6431517297505143e+22,1.6431517297505143e+22
