,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.91935,0.27,722.8514761080003,45.49683793156852,1.4658613622638896,0.013468466292186872,1800131858.0725431,60992624.079058595,Jackson,-0.49618693093895627,-0.698125647516911,log,0.09887022595438444,2.0464562871723723e+23,0.18704516377099933,0.09887022595438444
1,0.91935,0.27,535.902339491553,13.744455416757717,1.4658613622638896,0.02473299007042556,3841135411.9129114,11466553.54941109,Jackson,-0.37098574339507856,-0.70236562022096,log,0.30931985723583894,3.4255197179748773e+23,0.4519346737573975,0.30931985723583894
2,0.91935,0.27,138.4224016409913,0.061180136990011735,1.4658613622638896,0.37538794365937417,6003145247.144317,9245463.80046575,Jackson,-0.3570011518717868,-0.7008985483328729,log,0.13891765693871297,8.108118579204717e+20,0.6302755683204943,0.13891765693871297
3,0.91935,0.27,182.97112484740506,0.18677345688367347,1.4658613622638896,0.21247354499905022,4161823824.061492,3913931.3382789735,Jackson,-0.46865270353866284,-0.7561768205496183,log,0.1905105058811187,2.0826204017349592e+21,0.1252438957265869,0.1905105058811187
4,0.91935,0.27,298.21020531690635,1.3178771620633114,1.4658613622638896,0.07987353866842929,3658651022.5506206,50727066.46006488,Selsis,-0.47639164526222005,-0.6832134813434255,linear,0.05245199608512841,7.253420726097937e+21,0.9231487898275629,0.05245199608512841
5,0.91935,0.27,542.3151170407767,14.414240611254911,1.4658613622638896,0.024599507739319328,7619727232.3584795,94578373.36285679,Jackson,-0.4435718094844541,-0.6467502870956872,GP,0.10392640308814567,1.1748262658806572e+23,0.9128921256411981,0.10392640308814567
6,0.91935,0.27,306.9648274262389,1.4795831930197354,1.4658613622638896,0.07538252785898991,3210996370.6220493,42031061.77331557,Jackson,-0.2868018082474621,-0.7824444360585064,linear,0.07163518727370574,1.346188170140719e+22,0.08102041771489177,0.07163518727370574
7,0.91935,0.27,384.8958277343634,3.6572760207930566,1.4658613622638896,0.0488946703370808,8973839989.097029,13660543.515541766,Selsis,-0.45149481627828186,-0.7959277038149658,linear,0.17477766023511876,7.870342961180851e+22,0.03827680353194385,0.17477766023511876
8,0.91935,0.27,1768.6617343642224,1630.6623509017304,1.4658613622638896,0.0023119454521952276,7504081971.545546,32695074.531462196,Jackson,-0.4457786763082134,-0.7787103791030556,linear,0.18930850780639047,1.9941641948501886e+25,0.023433129381926432,0.18930850780639047
9,0.91935,0.27,105.30902882365572,0.020494973241657128,1.4658613622638896,0.6337159564471125,1601482677.2728236,81935824.09880409,Jackson,-0.31872788982640887,-0.7080421587847066,linear,0.3601206082119287,5.6448714245048546e+20,0.6825849741501142,0.3601206082119287
