,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.9,0.14,165.2907298430847,0.12438812294632506,264217.75743813766,0.1333370782663927,8221931391.01377,82817291.69895098,Selsis,-0.3442084818182224,-0.6391870959588161,GP,0.07133794784926217,6.467159466726891e+19,0.29434423691853207,0.07133794784926217
1,0.9,0.14,308.1448577747428,1.5024659000470797,264217.75743813766,0.03836525415344688,1538022426.054584,98215241.55691986,Selsis,-0.3010643573163408,-0.7774968078977147,GP,0.2502366788733702,1.1371438340230008e+23,0.9482807930361229,0.2502366788733702
2,0.9,0.14,996.0517258161807,164.0259244755043,264217.75743813766,0.003671843347055792,3918171470.4605236,97967688.32864456,Jackson,-0.44676030076368883,-0.7855801235143768,GP,0.12295530558166051,4.3264601951776933e+24,0.9331355819183723,0.12295530558166051
3,0.9,0.14,95.69973907974652,0.013977449756320552,264217.75743813766,0.3977648676536333,8671875519.347338,78001362.52613981,Selsis,-0.4067522477999715,-0.7209103209831464,GP,0.45050204134381383,1598843114063058.2,0.806484335268137,0.45050204134381383
4,0.9,0.14,2074.0308995511305,3083.5132179381562,264217.75743813766,0.0008468714350373722,1925944875.185421,70020965.12507881,Selsis,-0.3394364444398726,-0.7338909198639556,GP,0.0702335857594941,5.886038169108652e+23,0.37478407496441835,0.0702335857594941
5,0.9,0.14,844.4764686938863,84.74910781473417,264217.75743813766,0.00510825800357033,5279970588.894916,96815192.12007177,Jackson,-0.3946762934637743,-0.642946847370636,GP,0.21674583115290785,1.5565200491382034e+24,0.3510816572144738,0.21674583115290785
6,0.9,0.14,223.99063572620125,0.4194733500452709,264217.75743813766,0.07260862363073278,2737897268.0360775,18076073.681684796,Selsis,-0.3934808933876599,-0.6094033876596746,log,0.27906463022531314,4.452412279759404e+22,0.4324869285219842,0.27906463022531314
7,0.9,0.14,2036.3280520469962,2865.3382759370884,264217.75743813766,0.0008785215941443661,6555370378.873497,32304972.779634845,Selsis,-0.31570254302699985,-0.6653798843466819,GP,0.06392176397479889,4.617576894893839e+24,0.7234835709476614,0.06392176397479889
8,0.9,0.14,773.4858296871745,59.647792046271704,264217.75743813766,0.006088961183304375,4953690029.379398,21399602.228480134,Jackson,-0.494592922917364,-0.6135954682579565,GP,0.14984343554687074,2.5393676913348336e+24,0.6010030521617141,0.14984343554687074
9,0.9,0.14,2117.859544189161,3352.5367159066977,264217.75743813766,0.0008121824861957799,3929956373.7662735,54860996.00897998,Jackson,-0.4658517362974951,-0.6260025091369305,log,0.20853416223276694,1.1175080968621682e+24,0.33348945000216723,0.20853416223276694
