,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,2.73,0.26,948.4242813051675,134.83280875623396,5.78572256361462,0.007725784693139274,9127020502.377308,6789200.201148481,Jackson,-0.49931277300059684,-0.749825136969274,log,0.08681163905237571,2.6288727536409766e+23,0.8590399699453263,0.08681163905237571
1,2.73,0.26,2733.5495598382468,9304.493431283061,5.78572256361462,0.0009154893896610622,4360225435.494592,51662199.179077886,Jackson,-0.39435968067456656,-0.6855771953653604,linear,0.12951321439844493,2.4479249677647176e+23,0.5486453339357229,0.12951321439844493
2,2.73,0.26,2367.0832849324493,5231.654794306055,5.78572256361462,0.0012402831731850436,10096063393.198591,82403700.08333148,Jackson,-0.3622719047842119,-0.7631089552099494,linear,0.1647407831589651,1.4404172559648926e+24,0.952075190770898,0.1647407831589651
3,2.73,0.26,373.35641792670805,3.238019126167735,5.78572256361462,0.04848485001219503,1553070413.824071,87336426.51000649,Selsis,-0.396007952056821,-0.660646167667541,linear,0.21861787647571093,8.873542374504575e+21,0.3763466269373289,0.21861787647571093
4,2.73,0.26,125.98230823809193,0.041978137891705354,5.78572256361462,0.42632034390219536,1744020456.2256763,83267617.10007504,Selsis,-0.37621498789631397,-0.7754787751833861,linear,0.05038816979091347,520921241197349.0,0.22830899255868642,0.05038816979091347
5,2.73,0.26,247.10455682770854,0.6213094254302546,5.78572256361462,0.11121952582784157,2287763938.3283725,11814437.19018969,Selsis,-0.3979663408790052,-0.7158149577209292,log,0.05164698192806873,2.4375744256431026e+19,0.3405858341232295,0.05164698192806873
6,2.73,0.26,1213.9472520329198,361.8963395754845,5.78572256361462,0.004578935573394839,1324467272.5247612,97596871.57540631,Jackson,-0.48205655658467683,-0.752216637890479,GP,0.10777305360117373,6.320332066655364e+22,0.5061209109149233,0.10777305360117373
7,2.73,0.26,679.3398775904776,35.49223591480834,5.78572256361462,0.014783379026573567,3145408867.157423,12295434.882140385,Selsis,-0.39695697163253213,-0.7114018132668332,linear,0.08434871379348943,1.512302528917906e+23,0.8011072214338243,0.08434871379348943
8,2.73,0.26,565.1674125300175,17.001740186580314,5.78572256361462,0.02175673409744166,11154957706.765432,67229637.96531844,Selsis,-0.3323281018379511,-0.7867796765321841,GP,0.44798201106997326,1.057090342225748e+23,0.5344367011442902,0.44798201106997326
9,2.73,0.26,157.08165740710893,0.10145812332620954,5.78572256361462,0.27475009799508343,2066182912.5119011,37154322.528847255,Jackson,-0.48874356788470613,-0.7279227680627212,GP,0.18982710699034186,636436721117020.0,0.15566574900780583,0.18982710699034186
