pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
2.73,1.34,catalog,0.26,429.5497887974894,5.7,148.15157644056086,0.0381,catalog,3945317407.8313065,44893744.055842124,Jackson,-0.4175291189866117,-0.6896474470375477,linear,0.08923398546377231,0.9635705277317416,1.1251952217229737e+22,4.125715812984236e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,142.7692582830814,0.0381,catalog,7073741950.590328,31479518.062869776,Selsis,-0.3364938839301284,-0.7327924052460839,GP,0.1590783482606461,0.6004538797684027,4.03249974016279e+21,1.4785832380596895e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,93.22956413552988,0.0381,catalog,6227036272.133463,80881417.92224507,Jackson,-0.41889536478460565,-0.6684642481476994,GP,0.11261332171497321,0.46882249245520036,1.4881229818812498e+21,5.456450933564583e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,317.217778863279,0.0381,catalog,3773217604.6360917,20464047.545526117,Selsis,-0.47798169161447673,-0.7337007175370341,log,0.4784563399225857,0.04578791337624377,1.748331980864665e+21,6.410550596503771e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,84.00761525878524,0.0381,catalog,6923719030.956232,14268008.713589514,Jackson,-0.3387973233068451,-0.7379849718527886,linear,0.3202135775855431,0.9218178235656357,1.8182324196355418e+22,6.66685220533032e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,137.56780754086404,0.0381,catalog,7292563851.087347,7603394.072127476,Selsis,-0.35632065421882386,-0.6110184728899785,GP,0.1232216883906856,0.39480986052110967,4.677665032748256e+21,1.7151438453410271e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,94.21007284442959,0.0381,catalog,10021704200.698107,81843716.4260721,Selsis,-0.30127803914628737,-0.7121674088904184,log,0.06587367107186662,0.09699766099648055,4.383453587637132e+21,1.6072663154669484e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,693.1094990551583,0.0381,catalog,989972656.5236009,86159533.95241283,Jackson,-0.3467627663761222,-0.7106345073980944,GP,0.08257642061278922,0.7123586637596809,9.065181475466171e+20,3.323899874337596e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,88.89840390580876,0.0381,catalog,6534975503.542883,90213397.77406168,Jackson,-0.4971784047891588,-0.7854704193689379,GP,0.3036202367150216,0.3330160012547344,1.003404568824198e+21,3.6791500856887256e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,204.4368627731722,0.0381,catalog,5298133939.259955,88810122.82282741,Selsis,-0.31762681375701596,-0.615736648541605,GP,0.1431945408635849,0.5438136451627672,4.4459482256361437e+21,1.630181016066586e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,218.60672485563197,0.0381,catalog,5025271445.13641,87518033.20039271,Selsis,-0.3783223933577387,-0.7262955020698085,GP,0.07840164045067048,0.9964584481826154,2.9130848527518914e+21,1.0681311126756935e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,112.92507538703241,0.0381,catalog,8592821498.986238,97511947.9222081,Selsis,-0.4974805607127813,-0.6639588201224536,log,0.21079890642482987,0.6548865659329295,2.100954683634825e+21,7.703500506661024e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,654.4879139653476,0.0381,catalog,1039342393.0554495,40425315.38497192,Jackson,-0.32348250363922576,-0.6657773780934582,linear,0.2179782960337812,0.025015160215038357,1.0252826476244111e+22,3.759369707956174e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,175.83954773301676,0.0381,catalog,5974172635.903614,66153853.68713409,Selsis,-0.33047984230717187,-0.6228312625787669,GP,0.1067139888364801,0.0556705259228687,4.466595341581469e+21,1.6377516252465386e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,190.21853685314755,0.0381,catalog,3113859935.3231945,5151766.849184672,Jackson,-0.28007768532106353,-0.6242399443470324,linear,0.06967420220641175,0.579683329049093,2.5643217222700286e+22,9.402512981656771e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,256.3395590841569,0.0381,catalog,4440624765.975782,86756276.36756778,Selsis,-0.39380265814024074,-0.7692476103639428,log,0.1831395515137045,0.05079419425763432,2.04053281759052e+21,7.481953664498573e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,594.6176850424671,0.0381,catalog,2382461921.6486497,15371541.308139727,Selsis,-0.3286710939249845,-0.7782256927909695,GP,0.18313274423830783,0.0062772176183176764,2.539861034562716e+21,9.312823793396625e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,572.1596968483718,0.0381,catalog,2449309093.8920493,68509737.75486496,Selsis,-0.3430920386792174,-0.6221664216034435,linear,0.14319340485309442,0.3212386338564047,2.1006255940299943e+22,7.702293844776645e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,256.18069626103255,0.0381,catalog,4442748031.988653,33313194.808458235,Selsis,-0.39108441545620276,-0.7452206346742167,GP,0.4664974565917664,0.05672641931458189,2.7290586760746825e+21,1.0006548478940502e+22
2.73,1.34,catalog,0.26,429.5497887974894,5.7,439.73175947423397,0.0381,catalog,2962484700.702336,59193781.94160336,Selsis,-0.4617401494575785,-0.6327015542091506,log,0.10458802104850697,0.8569961000103218,1.8052694286489957e+21,6.619321238379651e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,577.5468728298736,0.0381,catalog,2432851947.907459,79523243.07195063,Selsis,-0.40229716509096397,-0.7185124079677856,GP,0.15913786656203838,0.3730448825186251,1.7993152565973976e+21,6.597489274190457e+21
2.73,1.34,catalog,0.26,429.5497887974894,5.7,575.8315421002211,0.0381,catalog,1159379485.0679023,51377642.83452679,Jackson,-0.4656028357192834,-0.7302845864479053,linear,0.21594708047331163,0.4799212282598475,6.376848381019275e+21,2.3381777397070676e+22
