pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
1.37,1.07,catalog,0.26,514.1516825413346,11.7,172.01196058604037,0.02659,catalog,6942917083.139634,31239849.282875687,Jackson,-0.40634983554205856,-0.7257042574330552,log,0.12136452513156687,0.06147955605591349,7.585472704887277e+22,7.585472704887277e+22
1.37,1.07,catalog,0.26,514.1516825413346,11.7,886.7995710196025,0.02659,catalog,3001419617.1221533,88826499.7674523,Selsis,-0.362280273622368,-0.6844098788161871,GP,0.05250232617657881,0.2148714722703352,1.4828434885822484e+23,1.4828434885822484e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,3136.353478176992,0.02659,catalog,1083354526.1044452,65921241.44479935,Selsis,-0.2828877494548548,-0.6453111420835843,log,0.3600667456929936,0.05429886778702098,4.697557378500348e+22,4.697557378500348e+22
1.37,1.07,catalog,0.26,514.1516825413346,11.7,3127.3827213621685,0.02659,catalog,734080197.562323,55961810.61607289,Selsis,-0.3187416613163662,-0.6492888172181887,linear,0.2322570615106874,0.907772237158411,7.56825118036675e+22,7.56825118036675e+22
1.37,1.07,catalog,0.26,514.1516825413346,11.7,203.55310599649823,0.02659,catalog,5852698170.25781,38404093.59185994,Jackson,-0.34152004363503424,-0.6559154885984543,GP,0.11693415801747024,0.3315078532635162,1.4232969209238196e+23,1.4232969209238196e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,279.8973278471144,0.02659,catalog,4274974689.6622634,48513055.01667599,Jackson,-0.3536842064522433,-0.6320224424812623,linear,0.11232965016329148,0.8789999976639297,1.3603772839449511e+23,1.3603772839449511e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,400.7398364933645,0.02659,catalog,5496316956.689368,1283278.3745785698,Selsis,-0.4455664053275811,-0.7591443076069729,log,0.13328759228591813,0.5289277011213284,1.5559102106545582e+23,1.5559102106545582e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,410.0433084351112,0.02659,catalog,5397075312.191432,68644686.1188923,Selsis,-0.38373215758089957,-0.7643597780322707,linear,0.1562623287661712,0.5326810175430219,1.7528021653341554e+23,1.7528021653341554e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,2483.3047072981826,0.02659,catalog,1447585221.8487852,95181174.24781364,Selsis,-0.4609766870905913,-0.7319247005746178,linear,0.1192304140769607,0.0936745071085936,6.813324012686539e+22,6.813324012686539e+22
1.37,1.07,catalog,0.26,514.1516825413346,11.7,614.9740691055438,0.02659,catalog,3941247835.2436137,97004776.13833447,Selsis,-0.3007800382793488,-0.6213839178546241,linear,0.4807004258482601,0.015429024985680329,1.53015407174599e+23,1.53015407174599e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,239.96708453223908,0.02659,catalog,8348350600.870732,41048894.71870523,Selsis,-0.46317490723068194,-0.7811053791420053,GP,0.05415994332174492,0.5971718971164582,1.4220277156269372e+23,1.4220277156269372e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,315.6061511887159,0.02659,catalog,6659581646.43843,73386717.70760654,Selsis,-0.42846964285143146,-0.780123041809158,log,0.24179764687027183,0.21954806695668694,1.5070323344508766e+23,1.5070323344508766e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,483.1595517761353,0.02659,catalog,2557426415.3335814,46947243.22788936,Jackson,-0.2908337644640875,-0.6704074821865458,GP,0.19500118809691405,0.1875162238059046,1.1341270095606946e+23,1.1341270095606946e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,265.13878827695873,0.02659,catalog,4506054442.951229,45871245.66747765,Jackson,-0.3390577236175906,-0.6645609632545969,linear,0.1219409945497018,0.5363173220065435,1.3926087079624345e+23,1.3926087079624345e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,646.5693582802255,0.02659,catalog,3794056340.065406,28368361.760114342,Selsis,-0.3676186670392106,-0.6752041415798117,GP,0.05318500904476001,0.29967613809836335,1.8173685889671955e+23,1.8173685889671955e+23
1.37,1.07,catalog,0.26,514.1516825413346,11.7,328.6190628813944,0.02659,catalog,6444729643.333563,73336020.75293358,Selsis,-0.4193918046566513,-0.7406396367955811,linear,0.2697966345576953,0.5179289062968332,1.6190473108344785e+23,1.6190473108344785e+23
