,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.026226930217196173,9409411943.97801,88828312.8070643,Jackson,-0.327940859734675,-0.7139256602502246,log,0.27736294744751183,7.483334531157483e+21,0.47624736595898065,0.27736294744751183
1,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.025657296088338447,2437411175.4151073,24712720.49271867,Jackson,-0.3815708551386575,-0.7182500737126909,GP,0.49164147438481076,3.2231929762648115e+21,0.9011747677614593,0.49164147438481076
2,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.02605646764741873,6130270950.307757,22502023.368938006,Jackson,-0.3660511222312428,-0.6687610755618315,log,0.11620234867751512,6.122526791713465e+21,0.620126310558108,0.11620234867751512
3,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.02608606195603059,6421036483.857328,92897893.82399845,Selsis,-0.3929641399807413,-0.696093087197961,log,0.3662458241337552,8.560188055265569e+21,0.3262257487951872,0.3662458241337552
4,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.025730553397640014,2881442297.658099,92186732.99369353,Selsis,-0.38597033047040025,-0.6566735626778331,GP,0.19207701190754564,5.251547434928085e+21,0.24450870541938674,0.19207701190754564
5,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.02574823479246102,3879983149.6452255,62593563.47426565,Jackson,-0.4364059944361182,-0.7107121621886107,log,0.1560568827374478,3.979640640632078e+21,0.5725895794978871,0.1560568827374478
6,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.026069295641792417,6254694344.036931,4476878.025367298,Jackson,-0.4199482637909064,-0.7955752519174115,GP,0.0627042023953935,3.7547541257397967e+21,0.6269407961144501,0.0627042023953935
7,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.02557395918450165,2013699256.7354798,21187155.467949808,Selsis,-0.34974683543606844,-0.7955337889600826,log,0.48591758144783087,6.784071203985937e+21,0.8414103873969354,0.48591758144783087
8,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.026118323059461077,6753332791.376893,27044021.021540005,Selsis,-0.3409040390213599,-0.7294941896364813,log,0.35957890260037884,1.1090777470483888e+22,0.2755773122742635,0.35957890260037884
9,1.37,0.26,514.7545974993973,11.7,412.31695263813896,0.02574823479246102,3276376815.8671613,42870916.074368276,Selsis,-0.3804950557077248,-0.6752407838622644,log,0.11247680014730582,7.727487914696444e+21,0.3472574720147039,0.11247680014730582
