,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,2.46,0.38,90.02514721351135,0.010945617965613049,20.185318006319978,1.2741490907017579,9078640736.022058,47698489.617099956,Jackson,-0.4130584422935926,-0.7450648350098961,linear,0.28245447296258513,2769633400002423.0,0.13759884161358804,0.28245447296258513
1,2.46,0.38,761.555445286545,56.05199003189727,20.185318006319978,0.01744284937104667,1531039367.1702185,86878633.48443784,Selsis,-0.4335171679893699,-0.6337330300334126,linear,0.17761911435076883,9.832523865446464e+22,0.6537796392457151,0.17761911435076883
2,2.46,0.38,2773.9960992344436,9867.526676445435,20.185318006319978,0.0013235374581069914,3893145689.4351845,82722347.47765255,Jackson,-0.4434995025649428,-0.6425053233733823,linear,0.08761494526463293,1.0692979469829968e+23,0.22746665257733012,0.08761494526463293
3,2.46,0.38,173.60330185084203,0.1513619970007495,20.185318006319978,0.3426351918932874,12322247807.417116,59902071.40836362,Selsis,-0.4910624495187864,-0.7604956989172965,GP,0.12885564278274422,3760648821151172.0,0.9864257713346528,0.12885564278274422
4,2.46,0.38,2430.2925038895896,5813.251526978007,20.185318006319978,0.0017243714923720873,3555473448.5946727,62144615.883906506,Jackson,-0.46777069278139766,-0.6957619509777528,linear,0.06824482039825462,1.8736000268033794e+23,0.5087785640396879,0.06824482039825462
5,2.46,0.38,597.5800601890073,21.250507965986134,20.185318006319978,0.02851931080181889,2979745678.0830636,99009537.50755426,Selsis,-0.32158021807713805,-0.626093642872179,linear,0.060747051624849745,9.641288883632478e+22,0.6881204085704954,0.060747051624849745
6,2.46,0.38,167.13145912280547,0.13002227003600259,20.185318006319978,0.36157563275568094,1388499892.1856625,81019209.92963457,Jackson,-0.4694936080024713,-0.642218618304018,log,0.4337193741381898,400981654918211.44,0.4475348721115444,0.4337193741381898
7,2.46,0.38,312.98336592802946,1.5990791187442186,20.185318006319978,0.10375073174929225,2070762737.1819518,19402035.452404372,Selsis,-0.47120008724171797,-0.7375202450548816,linear,0.1397208868081088,1.4350398450642536e+20,0.3619801466588394,0.1397208868081088
8,2.46,0.38,400.3078929069961,4.279189683524096,20.185318006319978,0.0644406070049751,10729457945.482271,63695275.46832253,Selsis,-0.460388580173676,-0.7095561003278024,linear,0.09544844493411934,6.189181749222555e+21,0.4852329531574675,0.09544844493411934
9,2.46,0.38,189.16714335495539,0.2133868965453646,20.185318006319978,0.28305899952465896,1651858219.5195136,65260418.95123002,Selsis,-0.36919260610301796,-0.608906567297123,GP,0.21069277599434133,486582035509482.4,0.5684628176118428,0.21069277599434133
