,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012478974641597293,3005218509.8476853,53541542.18763456,Jackson,-0.28865466497353587,-0.7576820565967699,linear,0.37582191767782325,2.1883744226305552e+23,0.7508526743546412,0.37582191767782325
1,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012393285154591652,1517301766.9577115,37536629.3424498,Jackson,-0.490165317470273,-0.7386211030610202,linear,0.14362454979818357,7.414497435855206e+22,0.8454148312578021,0.14362454979818357
2,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012478974641597293,3015745260.989138,47248869.123286285,Jackson,-0.3977523468959714,-0.6785808792496,GP,0.4452547671884209,1.4120377150798802e+22,0.059871992248160644,0.4452547671884209
3,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012398575259603348,1556791859.2803845,5256819.426149913,Selsis,-0.33542154473879526,-0.6121751667259456,linear,0.39022894600509783,3.233364427511399e+23,0.5111123912806408,0.39022894600509783
4,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012607839910348789,6922992181.7185,59806011.67620125,Jackson,-0.4037730028881159,-0.7029900141268919,GP,0.1432367988384675,1.6405827490982178e+22,0.5683418208972812,0.1432367988384675
5,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012652574471434797,12593498671.53008,28574394.124947723,Selsis,-0.49482113827836993,-0.7141410730213866,GP,0.24698201641079712,3.476364609241076e+22,0.13292019752611994,0.24698201641079712
6,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012478974641597296,3669014188.4368215,97612103.56665644,Selsis,-0.4482565003442444,-0.6746180417193275,log,0.3989677315805123,2.1368065418478414e+22,0.30689077534839304,0.3989677315805123
7,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012478974641597296,3247594873.7274246,65728950.03151321,Selsis,-0.4399225596546703,-0.7134006302076136,linear,0.0951782764497573,2.395560481950702e+23,0.7404210351914183,0.0951782764497573
8,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012482758371779706,4119261250.7113433,53953316.01447761,Selsis,-0.4098355348991631,-0.6294439860862046,linear,0.06328693843980501,3.174280704501901e+23,0.5915001336657061,0.06328693843980501
9,2.46,0.38,903.4092093459734,111.0,7023.325587108745,0.012652574471434797,8175132373.1427555,3485363.869382767,Selsis,-0.30532786575265913,-0.7760333764896549,linear,0.10822587970277647,5.563541510948781e+23,0.3730888533773905,0.10822587970277647
