,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.47,0.31,802.9953025657425,69.28463667042627,33.04265633662385,0.012809197433130215,3401704537.456936,69445254.77937853,Selsis,-0.46595824175136547,-0.614149025157236,log,0.3150767953890018,2.9929554830689336e+24,0.13727198265773788,0.3150767953890018
1,0.47,0.31,812.2743048303224,72.54304574176128,33.04265633662385,0.012724307712161246,6379286397.736408,66397544.34950986,Jackson,-0.4728361070737655,-0.6895452942465877,GP,0.15811111599576988,7.394387941040568e+23,0.6688355684067173,0.15811111599576988
2,0.47,0.31,1005.7990610073922,170.5414017729522,33.04265633662385,0.008164422622330386,3250132157.4799285,59602140.39668484,Jackson,-0.30998116564349665,-0.6513384423933363,log,0.05630997681745034,1.0873396835178764e+24,0.5288244575843195,0.05630997681745034
3,0.47,0.31,723.3985484669333,45.63472702044198,33.04265633662385,0.01641848115120515,142332071.06356615,2669024.105530607,Jackson,-0.3197104014507956,-0.7999559901255942,linear,0.1833653617057776,9.299894354805166e+22,0.4683012429457648,0.1833653617057776
4,0.47,0.31,649.1038231911263,29.582957763706705,33.04265633662385,0.019688390875083017,4393146856.874463,50535989.3891859,Jackson,-0.4989996975906906,-0.6647160719802301,GP,0.05830284794755117,1.0708126332495177e+23,0.7697430948861165,0.05830284794755117
5,0.47,0.31,1926.027066987965,2293.160589744298,33.04265633662385,0.0022757426926239784,12427604097.033873,69933769.1723032,Selsis,-0.40616544609311017,-0.761466862698081,linear,0.1312233396214744,4.791633047721196e+25,0.09751953007562064,0.1312233396214744
6,0.47,0.31,445.4753841432096,6.56265794868394,33.04265633662385,0.04237187220242619,6803873477.930714,25393529.673952043,Selsis,-0.3868645589017085,-0.6583734111069792,GP,0.21823789075945918,2.5658097754689134e+23,0.7931036982404254,0.21823789075945918
7,0.47,0.31,194.1955684073026,0.23699663783444586,33.04265633662385,0.21633256444516438,1778326069.823153,80562317.51430163,Jackson,-0.4226187009090751,-0.7571935858102815,GP,0.3205646419173685,3.568161622130176e+21,0.6327834056993401,0.3205646419173685
8,0.47,0.31,95.83911242671063,0.014059052643697698,33.04265633662385,0.907853041467571,4914747996.728928,2605369.973554057,Selsis,-0.3120079444964513,-0.7208778300735668,log,0.4017867498656429,1.4082925329305963e+21,0.06437306196946735,0.4017867498656429
9,0.47,0.31,256.7504474114087,0.7241520447141355,33.04265633662385,0.12390109612527563,1905180268.465081,15249540.921681212,Jackson,-0.3916900967541611,-0.7287069676518386,log,0.08736101610221784,3.6847310857812627e+21,0.15210921481355988,0.08736101610221784
