,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.47,0.31,116.7727635613345,0.030984975611116128,5871.666691913287,0.6176051525563189,7245452409.292586,83767961.8961443,Selsis,-0.4768815473751415,-0.7950951431264689,log,0.0871203203191226,903879422306733.5,0.4801453151310965,0.0871203203191226
1,0.47,0.31,937.9871815876122,128.99489954481476,5871.666691913287,0.009387590185743236,3563808176.2956676,89113741.09855068,Selsis,-0.480804117254922,-0.6753443508493681,log,0.2857545766824949,3.826663361741939e+24,0.8145968846969216,0.2857545766824949
2,0.47,0.31,1180.9161847907883,324.0867115390628,5871.666691913287,0.006043934733217053,7497575911.958286,30992861.31123785,Jackson,-0.4511239624013901,-0.7667418072702077,GP,0.12512382047542842,2.6797799379208133e+24,0.32704260604350577,0.12512382047542842
3,0.47,0.31,241.92134651096617,0.5707970097449778,5871.666691913287,0.14181753055917787,4445685533.492453,85233682.43785836,Selsis,-0.4987281161098579,-0.6795214169324263,linear,0.257905358444109,5.079402589694088e+22,0.4969223573708782,0.257905358444109
4,0.47,0.31,1626.7233644605064,1166.916398018076,5871.666691913287,0.0031902191686455873,8354187558.898809,14411346.692600079,Selsis,-0.47791580195026767,-0.6370279315078935,linear,0.15705893327287587,2.8071541381069745e+24,0.2991772376363997,0.15705893327287587
5,0.47,0.31,146.5718659042448,0.0769108110864713,5871.666691913287,0.3781692460645372,1383097024.0114534,81630644.53389184,Jackson,-0.4390065976459392,-0.6045078544699056,linear,0.4662471168878666,164258658402838.66,0.23893907414449933,0.4662471168878666
6,0.47,0.31,791.6770778996939,65.46018185887368,5871.666691913287,0.013440319677330696,7321938111.894383,71048612.41765495,Jackson,-0.46040643438902135,-0.6168624824203492,GP,0.3304923074855833,1.8961915466846032e+24,0.21791899704935103,0.3304923074855833
7,0.47,0.31,173.70103034489716,0.1517031166780913,5871.666691913287,0.2793544908572084,7499359999.728022,22890113.44824603,Selsis,-0.3305048410941971,-0.6796944649168267,GP,0.06378177650839485,1.8241411726826017e+22,0.5921834956699099,0.06378177650839485
8,0.47,0.31,659.0314673335911,31.434715337814517,5871.666691913287,0.01901672059581723,3123165683.8699074,85859989.48115033,Jackson,-0.2850653522493673,-0.7500998255874705,linear,0.07172160639274416,2.2058625089256164e+24,0.8137719854232158,0.07172160639274416
9,0.47,0.31,924.289818269253,121.62352909308673,5871.666691913287,0.009667887566331345,3613859787.514362,10190312.396557186,Selsis,-0.39485305250015756,-0.7005027709648941,GP,0.2994804007783529,8.064117577111627e+23,0.12187727488307232,0.2994804007783529
