pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
2.25,1.34,catalog,0.31,525.8323346057657,12.8,169.92146859082038,0.0304,catalog,10084497186.520079,81396636.93292767,Selsis,-0.2923138729388865,-0.6487892390644567,linear,0.14727132636671622,0.005214799407459503,1.4608544766847775e+23,5.3564664145108505e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,2851.910756570469,0.0304,catalog,1166852154.297207,94217582.97486532,Selsis,-0.3102759419693575,-0.7918356828590787,linear,0.3881122225875335,0.19533338911454934,4.527810128092507e+22,1.6601970469672523e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,1279.0895896562708,0.0304,catalog,905347441.3706272,61743198.65324794,Jackson,-0.46997083553403557,-0.698187603162557,linear,0.13218661504574802,0.8095554346512763,1.4784843558194805e+22,5.421109304671428e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,217.1618522902985,0.0304,catalog,8161485590.182068,38853648.17298233,Selsis,-0.3081725264306807,-0.7194117105743739,log,0.30770971654715856,0.9162162016892061,9.708137351999402e+21,3.5596503623997806e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,436.8356665437209,0.0304,catalog,2346561945.0031514,55329729.86111056,Jackson,-0.41942672507130146,-0.7470085319819147,linear,0.4567025020047588,0.6804431992681556,2.4142982563318194e+22,8.852426939883338e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,458.8693231835186,0.0304,catalog,2242387357.9902177,86976785.85788804,Jackson,-0.4154192715244199,-0.736148831931197,linear,0.34911916057291126,0.017583763497173943,2.316494225489943e+22,8.493812160129791e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,165.2492484256653,0.0304,catalog,6059806548.976555,9319206.690468246,Jackson,-0.38910499143768496,-0.6294113211246213,linear,0.35655082628146423,0.5784215373266268,4.7772353573701e+22,1.7516529643690366e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,1713.454788157845,0.0304,catalog,1663213067.5202706,6523348.517840318,Selsis,-0.33099339645229636,-0.7961201641569237,log,0.3148075478713948,0.4201342756623079,4.847607178201206e+21,1.7774559653404422e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,472.2710525911439,0.0304,catalog,4326964870.4931755,83526663.83844507,Selsis,-0.40704524151205346,-0.6604361056149514,linear,0.06509973697514715,0.7812419830683973,6.322469303318451e+22,2.3182387445500987e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,959.8051111715156,0.0304,catalog,1159539771.1857355,17639454.72225129,Jackson,-0.3545665605114951,-0.6979938356799251,GP,0.07410247095499464,0.7526309458041858,2.3953376786290647e+21,8.782904821639903e+21
2.25,1.34,catalog,0.31,525.8323346057657,12.8,228.47512046633966,0.0304,catalog,7817718783.32465,70711142.89102276,Selsis,-0.4625714709236395,-0.7248269916040484,linear,0.09402456589570027,0.19875870241591032,6.127749370104212e+22,2.2468414357048775e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,467.7849070363289,0.0304,catalog,4359700632.64978,91516807.95320314,Selsis,-0.4350792871534669,-0.6211163651354714,log,0.2364564347738877,0.3165773815446047,5.42440779063595e+21,1.9889495232331815e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,656.6916816773359,0.0304,catalog,3350981897.3059106,24845780.94798936,Selsis,-0.29147597990500534,-0.6480985060497353,linear,0.13120887645796675,0.21601884113110004,1.0929324010111874e+23,4.007418803707687e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,343.34188041844584,0.0304,catalog,2940339919.787126,93668883.62985176,Jackson,-0.4075862202357126,-0.6790135642560406,log,0.15905273506979759,0.5283067421853229,2.308910623213849e+21,8.466005618450779e+21
2.25,1.34,catalog,0.31,525.8323346057657,12.8,413.3700793469653,0.0304,catalog,2469799843.922717,81138394.72971638,Jackson,-0.34019584267405495,-0.7164682072807712,log,0.3248575738252311,0.08184635104971927,2.81419311223935e+21,1.031870807821095e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,408.4930405680742,0.0304,catalog,2497253186.4276576,68777765.89403015,Jackson,-0.482504309236552,-0.6171279209501772,linear,0.053942272243394956,0.5940429086618136,2.7593646152009413e+22,1.0117670255736785e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,98.78464894860484,0.0304,catalog,10517029532.431213,53807181.21001035,Jackson,-0.4933320712631009,-0.6122779018655371,log,0.3670011143015059,0.4786656382248661,3.821728411162097e+21,1.4013004174261022e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,897.4060495437551,0.0304,catalog,2656661672.7398076,23051252.235741258,Selsis,-0.4884141296419026,-0.6532832737241654,log,0.18335442219540055,0.5606271688318256,4.1808453311224506e+21,1.5329766214115653e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,454.5825109804324,0.0304,catalog,2261860441.723259,58667741.70547984,Jackson,-0.34568502364662257,-0.7151077581260855,GP,0.19519000665855152,0.8384040010198265,3.085179644261056e+21,1.1312325362290537e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,272.5643009318305,0.0304,catalog,3669377752.4312077,5543866.41618881,Jackson,-0.4875202853816272,-0.6033593601643407,GP,0.09537696153994152,0.4875281120951299,4.0564046526499075e+21,1.4873483726382994e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,370.43318495548726,0.0304,catalog,2736836484.212773,41692143.98457946,Jackson,-0.3675551562382862,-0.791059696100498,linear,0.07308592105333905,0.7870531692642435,3.0829275749733764e+22,1.130406777490238e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,979.3511849127842,0.0304,catalog,2491882438.6574903,64570649.87054115,Selsis,-0.4448480526616554,-0.6301092109918536,log,0.18662033716959361,0.9355018084475489,4.2801682789715825e+21,1.5693950356229135e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,902.5311289947456,0.0304,catalog,2645566896.9943066,88936665.45809396,Selsis,-0.46911967910181224,-0.7406518801525758,linear,0.3477063768741784,0.09102625092957495,4.320337966621583e+22,1.5841239210945805e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,1666.3402528966817,0.0304,catalog,1696308082.7472398,20302697.351477195,Selsis,-0.3475986709095332,-0.7025030682882897,GP,0.28490055600029957,0.07694523283673715,5.111082772867224e+21,1.874063683384649e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,234.41663433834648,0.0304,catalog,7650212896.088131,5137305.78281814,Selsis,-0.3803370303785455,-0.782836161063386,log,0.3152575487603836,0.1844867311106395,6.450734718302861e+21,2.3652693967110492e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,539.962924777079,0.0304,catalog,1932309156.3623958,1354219.2156045318,Jackson,-0.30392725897179645,-0.7067045351110196,log,0.1087396030268871,0.7271432281044746,3.891695652363737e+21,1.42695507253337e+22
2.25,1.34,catalog,0.31,525.8323346057657,12.8,3405.0300146171685,0.0304,catalog,743539027.3907443,81743665.87932439,Selsis,-0.3400106437170996,-0.7541049177968852,GP,0.212689105419764,0.6364239350044613,2.2806691451917485e+21,8.362453532369744e+21
2.25,1.34,catalog,0.31,525.8323346057657,12.8,160.65674123231517,0.0304,catalog,6239307227.372062,36817866.385985956,Jackson,-0.42900082111454385,-0.7368462324134208,log,0.18378742719788063,0.6027807957017356,2.6326334656123686e+21,9.652989373912017e+21
2.25,1.34,catalog,0.31,525.8323346057657,12.8,671.576641816445,0.0304,catalog,3295002712.0894527,12519174.14902671,Selsis,-0.47215602360607717,-0.686770800306487,linear,0.06134507782330587,0.6732795068486253,5.309735654464381e+22,1.9469030733036065e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,358.22053134283794,0.0304,catalog,2824689397.9969625,80624020.83956891,Jackson,-0.3598056051595646,-0.6055715550062735,linear,0.1729714605613884,0.45822530337864253,3.905904587005549e+22,1.4321650152353678e+23
2.25,1.34,catalog,0.31,525.8323346057657,12.8,238.96337687671948,0.0304,catalog,4174769480.9238663,10876549.372421084,Jackson,-0.42356491578804356,-0.7549425172493653,GP,0.05018528950455918,0.2905280772215786,3.265372448721216e+21,1.1973032311977792e+22
