pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
2.14,1.58,catalog,0.31,415.9146589516007,5.01,151.50652250070831,0.0486,catalog,2625279624.1661267,52042885.45238354,Jackson,-0.399148551762407,-0.6021177338230361,linear,0.11472221846130574,0.9024141259300322,2.3048203900322998e+22,8.451008096785099e+22
2.14,1.58,catalog,0.31,415.9146589516007,5.01,59.339081371918795,0.0486,catalog,6625360916.434612,79261672.07917355,Jackson,-0.4618411330806885,-0.7819054167930267,log,0.35089523351838686,0.47285482260090217,1.0834885004671835e+21,3.9727911683796726e+21
2.14,1.58,catalog,0.31,415.9146589516007,5.01,38.830674462606645,0.0486,catalog,10462995867.593704,76593543.9941002,Jackson,-0.29931928099238947,-0.6811895954304523,linear,0.2802725427350139,0.9534821098344043,4.72984589541308e+22,1.7342768283181295e+23
2.14,1.58,catalog,0.31,415.9146589516007,5.01,141.6082798370768,0.0486,catalog,2797430418.413501,32651092.51689065,Jackson,-0.3549767733003529,-0.7670000935797444,log,0.14783484113307152,0.400286595230113,1.7150894282462874e+21,6.288661236903053e+21
2.14,1.58,catalog,0.31,415.9146589516007,5.01,38.07756160417814,0.0486,catalog,10693746734.305143,84087964.27380574,Jackson,-0.29991558525128365,-0.6979898157391373,linear,0.34990439370387205,0.07019044822247211,4.598961334460975e+22,1.6862858226356906e+23
2.14,1.58,catalog,0.31,415.9146589516007,5.01,195.0606429367377,0.0486,catalog,2078125820.3473594,96247565.38142276,Jackson,-0.3641450598852807,-0.6958199708679341,linear,0.0630650652367652,0.1821154888779204,1.8303749677142633e+22,6.7113748816189656e+22
2.14,1.58,catalog,0.31,415.9146589516007,5.01,171.05051039010607,0.0486,catalog,4599925720.959633,47927962.62084084,Selsis,-0.40001419308228026,-0.7087548642546304,GP,0.19057635177012722,0.5582658907532817,4.993855299460895e+21,1.8310802764689947e+22
2.14,1.58,catalog,0.31,415.9146589516007,5.01,54.36303618826788,0.0486,catalog,12056335287.040508,65579214.6646486,Selsis,-0.47035739107967156,-0.6720768970114148,log,0.20142017601370008,0.014587907740918338,3.141808345080963e+21,1.151996393196353e+22
2.14,1.58,catalog,0.31,415.9146589516007,5.01,59.126235777158506,0.0486,catalog,6650305705.870687,37086893.67681977,Jackson,-0.41250494671917326,-0.6051614106867336,log,0.08810308547040616,0.15739414761331982,2.2574055799862922e+21,8.277153793283071e+21
2.14,1.58,catalog,0.31,415.9146589516007,5.01,498.7723081721544,0.0486,catalog,2055666246.2975051,36054200.27269189,Selsis,-0.3685382322142955,-0.6389562595816474,linear,0.05605202807035991,0.37407734895918876,3.760082289473567e+22,1.3786968394736413e+23
