,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.258,0.48,256.91800614849905,0.7260442608354631,12.200164786427147,0.20814157818839982,3011809982.34416,31020337.615630988,Jackson,-0.35868263656772625,-0.6154000666378644,log,0.12827447950649948,3.3580110164423806e+21,0.2483975723064209,0.12827447950649948
1,1.258,0.48,276.26784920158275,0.9707475688396692,12.200164786427147,0.18172741896770037,5323085089.470581,40923811.65921679,Jackson,-0.2972572259601968,-0.7769907283353883,GP,0.10446218907666134,4.969443317306187e+21,0.23071734980683944,0.10446218907666134
2,1.258,0.48,590.6969396236692,20.288213582503438,12.200164786427147,0.039374811479765064,3057661364.7581673,2630147.3765929923,Jackson,-0.4340372345309458,-0.7897630677563683,linear,0.24246870172785853,9.640310806648082e+22,0.3543382936843369,0.24246870172785853
3,1.258,0.48,104.81389670440481,0.020112237732068116,12.200164786427147,1.2840432666304153,11477014393.405037,13932462.17191344,Selsis,-0.3873284002772881,-0.6269224283293467,linear,0.13884579473688816,2.938195653998473e+20,0.8993149278598253,0.13884579473688816
4,1.258,0.48,185.19994949054018,0.1960416642156422,12.200164786427147,0.4027346078966945,4561012325.769238,15197266.486615807,Selsis,-0.3025268553827637,-0.6151384977454045,GP,0.14929900243942834,4.1844086880497015e+21,0.7611262522278472,0.14929900243942834
5,1.258,0.48,888.6027587041735,103.90000149025762,12.200164786427147,0.017399333588207586,3802479841.4894576,54530672.560147166,Selsis,-0.2877627460580557,-0.7656484474765413,linear,0.052138138731083354,7.064675585361163e+23,0.6230582866265627,0.052138138731083354
6,1.258,0.48,174.06008867409648,0.15296135663303712,12.200164786427147,0.4534710099805489,2750882669.276217,22265727.190347906,Selsis,-0.3798039840497366,-0.7596390427358222,linear,0.11075544038372376,1.1897513233336629e+21,0.9326630916954997,0.11075544038372376
7,1.258,0.48,1055.5722471218269,206.88870362320156,12.200164786427147,0.012255221773013926,1384950546.5459292,45426993.54189429,Selsis,-0.499174862426964,-0.7233129082974433,GP,0.405123747403633,3.7813928618359893e+24,0.4793912031724139,0.405123747403633
8,1.258,0.48,266.47346786972815,0.8402351011409812,12.200164786427147,0.1951092911335392,4900031967.554882,19240071.83005991,Selsis,-0.4412555186408762,-0.6194044959127698,GP,0.4873727741069184,3.3377843438647006e+22,0.9091234262850422,0.4873727741069184
9,1.258,0.48,328.1581929309561,1.932493006931473,12.200164786427147,0.12885957668088882,5853372657.0211315,42609825.661340736,Jackson,-0.47585537795267424,-0.7285521151458096,GP,0.08384188543335752,3.5134806044970797e+21,0.8082325522447714,0.08384188543335752
