,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.258,0.48,1673.384222900355,1306.675069511097,17.90723315358539,0.00488537261092866,1545657694.2275357,15901388.169519005,Jackson,-0.3604521960261794,-0.6245848820830009,linear,0.3521669021465017,1.837393759441653e+23,0.27530218082180224,0.3521669021465017
1,1.258,0.48,1448.0156165524486,732.6185446181242,17.90723315358539,0.006552415632131036,2039955696.5526452,94388194.26650392,Selsis,-0.444705497483204,-0.661388353823749,log,0.35254110865628435,2.7524403568649616e+23,0.34639380948175247,0.35254110865628435
2,1.258,0.48,327.6890379890809,1.921465444767554,17.90723315358539,0.13172053978497006,12244224611.356428,57811739.0855486,Jackson,-0.4306905033602329,-0.6464013154295263,linear,0.15646872641576587,2718255285532330.5,0.840375910099715,0.15646872641576587
3,1.258,0.48,1966.0374432584051,2489.7289197520745,17.90723315358539,0.003554384117419324,3366010451.8172736,11243278.726379778,Selsis,-0.4640402566591943,-0.6493613516083436,GP,0.09904871187929577,3.5970703818195144e+23,0.22600874673950588,0.09904871187929577
4,1.258,0.48,841.2211943979823,83.44988633477121,17.90723315358539,0.01959430697747583,5005621736.571323,34744402.114224695,Selsis,-0.2930114867669131,-0.6316862261801861,linear,0.205014921032916,1.0216885269242417e+24,0.6717590875647415,0.205014921032916
5,1.258,0.48,1849.1287034036484,1948.289478806575,17.90723315358539,0.003972040325586085,898077843.5052849,60000047.865101606,Selsis,-0.2826047580531772,-0.7741195504533466,GP,0.05705464530582569,3.043342296460886e+23,0.7557886634167077,0.05705464530582569
6,1.258,0.48,865.4148161785891,93.47214946930282,17.90723315358539,0.018344221119629415,2733441487.4591227,3109487.572561898,Selsis,-0.2862665237106396,-0.7579764442747514,linear,0.22858360816483242,1.1284830669282802e+24,0.9377074624870917,0.22858360816483242
7,1.258,0.48,1047.047132249681,200.28565801488205,17.90723315358539,0.012671676288895534,7346212034.013863,29011238.621167712,Selsis,-0.32460580852252247,-0.7724987371241208,linear,0.05601504263923429,5.5589222602989256e+23,0.07636782367555173,0.05601504263923429
8,1.258,0.48,2336.887865011086,4969.771469297571,17.90723315358539,0.0025157772315089785,3049628940.006514,26402095.855727494,Jackson,-0.4887964587306727,-0.6645355976565681,log,0.10771574460295401,7.880895412943665e+23,0.6118270248543441,0.10771574460295401
9,1.258,0.48,263.1515813451444,0.7991142250269165,17.90723315358539,0.1983973928540733,3158785753.472043,56523716.74783644,Selsis,-0.28981792930477307,-0.6665024130654954,log,0.10187030056170156,9.66089686119674e+21,0.348629435695318,0.10187030056170156
