pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
3.21,1.28,catalog,0.34,680.9581484937235,36.0,1089.881158335597,0.020810561982600086,Kepler,4162690781.280309,86755921.12429367,Selsis,-0.43405014824393606,-0.7185388298639572,GP,0.10209531885721637,0.3482351358768475,6.563121410854113e+22,6.563121410854113e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,2348.8207576067407,0.020810561982600086,Kepler,2335447967.5416408,8917080.21322682,Selsis,-0.43201758681134267,-0.6485238905265962,linear,0.05492289471036198,0.2141700769282774,4.676792954608112e+22,4.676792954608112e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,1051.9059348765593,0.020810561982600086,Kepler,4280178606.3058467,78338860.75884812,Selsis,-0.4647113011340635,-0.686469312426833,linear,0.06249674759453925,0.9689899644551772,7.929236518480217e+22,7.929236518480217e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,2273.453164665876,0.020810561982600086,Kepler,2392058357.721056,94468252.71312143,Selsis,-0.46921371344752827,-0.7729188830696619,linear,0.2601897712575729,0.9187629231863468,6.199341668915176e+22,6.199341668915176e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,209.77711983006674,0.020810561982600086,Kepler,11209105721.25128,11527350.44043701,Jackson,-0.2999620901597782,-0.793413264622356,linear,0.17302395124331496,0.007085887303390215,4.084495444316899e+22,4.084495444316899e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,870.2752520512842,0.020810561982600086,Kepler,2596508726.5620914,43934773.61748916,Jackson,-0.3112964806032419,-0.6131593145499796,GP,0.4517174750441643,0.40188051054096174,5.60100391906303e+22,5.60100391906303e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,602.3791696741961,0.020810561982600086,Kepler,6727009312.243078,58910052.13433945,Selsis,-0.3792408996299437,-0.6267015740056914,log,0.24019015704184254,0.7348429079781095,1.2636513012456143e+23,1.2636513012456143e+23
3.21,1.28,catalog,0.34,680.9581484937235,36.0,229.31500528907435,0.020810561982600086,Kepler,10140671514.326849,99142133.94825867,Jackson,-0.35466433499758815,-0.6032904879844458,GP,0.4587133422544918,0.17746475757783153,5.0399809835293e+22,5.0399809835293e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,584.4159836070296,0.020810561982600086,Kepler,3810496513.039088,86672912.96094067,Jackson,-0.44752860221577284,-0.6651626598970739,GP,0.096403622399717,0.03189964327232264,2.2897273875645566e+22,2.2897273875645566e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,2457.312496911931,0.020810561982600086,Kepler,2259471027.9057,42008660.068745784,Selsis,-0.49497005694664953,-0.6708545358048539,GP,0.19118473896270854,0.03642708074794565,3.139846411279434e+22,3.139846411279434e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,484.4220243230262,0.020810561982600086,Kepler,8089921279.784593,96823790.28273077,Selsis,-0.4028509942130904,-0.7582933336731729,linear,0.18096996473975993,0.5647939103227848,8.483226775886132e+22,8.483226775886132e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,659.6854037372191,0.020810561982600086,Kepler,3384589517.4656296,33795311.57894941,Jackson,-0.35270113219035737,-0.6715400269176156,log,0.16694839234596393,0.23027892323590737,4.154618339107831e+22,4.154618339107831e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,1129.636609608705,0.020810561982600086,Kepler,4047637999.5278506,34659125.34760895,Selsis,-0.3504305568486833,-0.7023188362093878,GP,0.3948046908433798,0.257888263243767,7.1785759545149645e+22,7.1785759545149645e+22
3.21,1.28,catalog,0.34,680.9581484937235,36.0,6123.030458761322,0.020810561982600086,Kepler,1181053821.5179749,51119609.267816916,Selsis,-0.3670610260618587,-0.7245332310889352,linear,0.1685301928685442,0.015150570866140578,1.550500420475531e+22,1.550500420475531e+22
