,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010487844213860995,1375892282.2256224,13408204.832985634,Jackson,-0.3065905101842723,-0.6004671824370209,linear,0.49036134795030883,1.5482844793705123e+23,0.8500647157123119,0.49036134795030883
1,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671427,2715842398.1452737,51743826.049457595,Selsis,-0.2964645702238284,-0.6143928408152135,GP,0.22091418102013677,1.09231971635857e+23,0.6617368750409921,0.22091418102013677
2,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01056028400094438,4105332853.411042,16653711.91368519,Selsis,-0.38166997552299714,-0.7615966245901575,linear,0.08560708446750762,3.111404257149045e+23,0.2820470172561932,0.08560708446750762
3,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2684528896.2936645,53935751.03304868,Selsis,-0.4310855288773748,-0.6776494333221401,linear,0.16780569852982824,2.467274246620274e+23,0.12370630146128414,0.16780569852982824
4,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010570735361358923,4265809776.02774,59760673.30845399,Selsis,-0.4855262082335867,-0.6720622895307353,log,0.2045597551963516,3.1187330281378025e+22,0.33717915354302697,0.2045597551963516
5,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010474320317331936,1273052735.8465245,76132732.85783868,Selsis,-0.48675270980922863,-0.6178808177805448,linear,0.19242795197417983,1.8867504101226035e+23,0.09012666030995342,0.19242795197417983
6,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010642918834173508,6237598815.912048,12380006.957320735,Jackson,-0.29178130640720357,-0.6589855993402686,log,0.12364190354898148,3.376938501545916e+22,0.9175851055317604,0.12364190354898148
7,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3959605172.3537693,56566903.64676739,Selsis,-0.4825103213029073,-0.6889704888318028,GP,0.3651266387994418,5.269344297601671e+22,0.4798748599271446,0.3651266387994418
8,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010720946341225914,9435268292.030094,66164248.66272787,Selsis,-0.3659310711442372,-0.65932608015808,log,0.2231080704168859,5.011159800302666e+22,0.7981925710586557,0.2231080704168859
9,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010684030215575895,8254394123.7347355,44133984.56359619,Selsis,-0.3590474341363996,-0.7939806498954582,linear,0.37031876412785325,3.738246171194523e+23,0.03686368541586138,0.37031876412785325
10,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01057235845799998,4291273914.289187,70998751.66051671,Jackson,-0.3471539939473821,-0.7628213304189368,GP,0.3578740277143742,2.832074206077244e+22,0.7220074271092541,0.3578740277143742
11,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010570476636749957,4261764371.3441334,4189622.859219068,Selsis,-0.33728590342327175,-0.7109010760720467,GP,0.15096519562436747,8.981808760872225e+22,0.41092281649318574,0.15096519562436747
12,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01072973096039757,9739642229.486786,18381737.6371261,Selsis,-0.3049973224316455,-0.7392230150741471,log,0.056428764868800954,6.6466712433697755e+22,0.617138945441163,0.056428764868800954
13,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2938187916.2413864,30859189.88029988,Selsis,-0.29213080766201344,-0.6894234653614222,log,0.33870432741559603,5.457789489424022e+22,0.01474352530681966,0.33870432741559603
14,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010768566138082055,11203805451.071636,32247263.582726162,Jackson,-0.37900379785151034,-0.7637236206184009,linear,0.13502239055731338,1.649623949693317e+23,0.7584288512687131,0.13502239055731338
15,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010492879616542246,1416234373.4341092,9116982.427586252,Jackson,-0.49152293656718626,-0.7971511414718313,linear,0.44946904258022746,6.244865643541992e+22,0.37669850825107076,0.44946904258022746
16,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3609776852.7284126,44712480.282674186,Jackson,-0.3247941740921265,-0.6043226866666317,log,0.45273665825050513,2.516357593682199e+22,0.9237626648254817,0.45273665825050513
17,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3116942557.577666,75881051.74612367,Selsis,-0.43044465070496707,-0.7418919150032389,GP,0.4541895909355832,5.059383037037705e+22,0.7776059200089469,0.4541895909355832
18,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010473570792382281,1267579719.7637272,66859465.60314308,Jackson,-0.3157362610397437,-0.6702800467943846,GP,0.0901499422988326,2.4451197114618992e+22,0.769713055724458,0.0901499422988326
19,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3358820798.514895,90263737.0628979,Selsis,-0.33942396178742945,-0.7752485809452335,linear,0.4075710957561503,3.30892563763187e+23,0.6005578080585229,0.4075710957561503
20,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010466653916114368,1218152570.9554064,65586198.13526404,Selsis,-0.3443339902295026,-0.6417646755731309,log,0.1895590651909755,2.7773379578541935e+22,0.3328700382663432,0.1895590651909755
21,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010616714959196387,5100417130.82827,20991835.98033458,Jackson,-0.4986980716634418,-0.794207096845576,log,0.06707498876090102,1.170353454477048e+22,0.9177542544865529,0.06707498876090102
22,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010703339159864293,8852850832.021889,74294417.7550271,Jackson,-0.28833535963523166,-0.6030903700670441,linear,0.19192473474621813,3.455005875418628e+23,0.8399192457592388,0.19192473474621813
23,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010643990115751184,6289070659.370798,18664564.298271943,Jackson,-0.49921631073427974,-0.7112598101912296,GP,0.3719312961249195,2.035157490328081e+22,0.36265313094655893,0.3719312961249195
24,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010766059244552567,11103143708.807945,69629299.08948919,Jackson,-0.42935896366654003,-0.7393763752332142,linear,0.05594512746544084,1.3784600058910271e+23,0.7619527868690944,0.05594512746544084
25,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3579529470.6820273,41282239.53087395,Jackson,-0.3829402647485887,-0.763844716763876,log,0.2143105869903063,1.4526175475073141e+22,0.6973065160220068,0.2143105869903063
26,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010506516151926824,1531418384.1378565,59581197.374206014,Jackson,-0.33026069311592604,-0.6851746444922748,linear,0.051145412205922315,1.1476217149675722e+23,0.43076145705754554,0.051145412205922315
27,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01071305487397891,9169756425.383018,96732089.72157697,Selsis,-0.456864175393821,-0.6956606547026771,linear,0.08764942548020284,2.9400245174684495e+23,0.20053165856440514,0.08764942548020284
28,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01055320537767143,3191243495.388133,26353709.51124557,Jackson,-0.48349858103097243,-0.7596956773959144,log,0.06705006930046464,1.0745463491023367e+22,0.20032059437085337,0.06705006930046464
29,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.011445931168889503,83253789.17070416,82253789.17070416,Jackson,-0.4823875505979233,-0.7052437379924954,GP,0.20980697927683037,1.2306489401878383e+19,0.4494073459171697,0.20980697927683037
30,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2916150484.308796,68745516.02493024,Selsis,-0.462238172368764,-0.6987889008574317,linear,0.1917625174924615,2.309009132478845e+23,0.6038121108795597,0.1917625174924615
31,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3871946393.1366906,85890411.42730756,Selsis,-0.29764361078156343,-0.7584392142427412,linear,0.16613075187430132,4.586138348234302e+23,0.14197204553014053,0.16613075187430132
32,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01064598354333045,6385967961.303588,91701094.88469316,Selsis,-0.2892870852531081,-0.7892901782142492,log,0.15888395566763394,6.3295961827869714e+22,0.07343116591102383,0.15888395566763394
33,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010634950060381192,5867562657.177918,45942357.92900879,Selsis,-0.3976782936086535,-0.6105751392600216,log,0.45558152477658054,4.604887213424572e+22,0.7101532936285522,0.45558152477658054
34,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010770912076760036,11298809152.008917,53781898.63510493,Selsis,-0.37692651375294345,-0.6559102252424791,log,0.10817986773710064,5.0847065319726215e+22,0.8860523430158971,0.10817986773710064
35,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010709714710564883,9059580595.41214,12710271.964176856,Jackson,-0.309996363872887,-0.68798328124369,GP,0.05271627197463738,5.026458491043188e+22,0.5889895021634947,0.05271627197463738
36,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2157047509.5979204,83411995.92059822,Jackson,-0.45167398192376096,-0.6833761762850705,log,0.187309710409769,1.033870663608967e+22,0.7774834490560024,0.187309710409769
37,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01055320537767143,3122309928.77786,3894804.220660234,Jackson,-0.4727373085326714,-0.6128649928707773,GP,0.08266570253358783,2.503640007886491e+22,0.696415601339244,0.08266570253358783
38,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010557658717820634,4065956056.215714,8179705.781182409,Jackson,-0.3686829899393433,-0.7188670999756845,linear,0.35076000572918714,1.393372037460674e+23,0.24864964177815185,0.35076000572918714
39,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.0106632233825855,7287895731.427562,48469735.181659885,Jackson,-0.2864121376881088,-0.6310954888183987,GP,0.12857966608735205,6.217358658431146e+22,0.6086154973924184,0.12857966608735205
40,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671427,2527944298.7105436,85116456.5492332,Selsis,-0.30499754141132474,-0.6615189152325052,log,0.08940682037784822,4.572438211823608e+22,0.35636691090832484,0.08940682037784822
41,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010518772166856498,1642771345.0005834,46546090.59594469,Jackson,-0.462535889494373,-0.7114658011470258,GP,0.1898261963538238,1.407520619264204e+22,0.9810009776378581,0.1898261963538238
42,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01070844662230849,9018091145.925138,39291942.83439379,Selsis,-0.370864290758488,-0.6585566256714941,GP,0.2676816376154753,8.552982618083824e+22,0.039296619880450745,0.2676816376154753
43,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010658113684367913,7008198404.705532,27791765.816349175,Selsis,-0.32825173631109383,-0.7415757187558059,GP,0.247548288874661,9.58235893905786e+22,0.5562793470209965,0.247548288874661
44,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01051553756846761,1612632656.0009027,5471133.249143,Jackson,-0.38497110126998335,-0.7401588765405708,log,0.12900921001151977,1.0967106542186516e+22,0.4577238984248154,0.12900921001151977
45,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3491128146.217581,53023599.279351704,Selsis,-0.43695892442722284,-0.600163545859481,GP,0.3942544929220565,6.8732173957481026e+22,0.3925742453366272,0.3942544929220565
46,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010709795667617834,9062235662.589277,54138500.271261506,Selsis,-0.441717179628789,-0.7912418838363195,GP,0.07542999295921027,5.722548154271638e+22,0.7883644376791465,0.07542999295921027
47,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2761665433.1431017,74600389.86278355,Jackson,-0.4476754880482437,-0.6145635467194411,linear,0.07975817502362277,1.1706248717888999e+23,0.2460462022273372,0.07975817502362277
48,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3229420974.6659365,34323667.026519254,Selsis,-0.35659982084341935,-0.6155874692777517,GP,0.16392920337801808,8.206448905861699e+22,0.8368117948384495,0.16392920337801808
49,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010570250364006505,4258229446.1933208,32260349.474093907,Jackson,-0.3277622905696841,-0.7966864860841502,linear,0.16957048014916176,1.6593467986312008e+23,0.3150699622596612,0.16957048014916176
50,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010789053017157886,12060441580.530497,60519369.12276491,Jackson,-0.4000322169786359,-0.7111231018624466,GP,0.3194696824836496,2.9794386764383893e+22,0.048572677907921524,0.3194696824836496
51,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671427,2282397032.7151895,57087916.966100045,Jackson,-0.4158423363734355,-0.6522380000545712,linear,0.09488075335758882,1.0194781272871867e+23,0.2870356334837211,0.09488075335758882
52,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010523964304406002,1692311623.8646996,36618694.20712862,Jackson,-0.49584206477113824,-0.6381889942551029,log,0.3545505826174777,1.0256658537192589e+22,0.008350080979290131,0.3545505826174777
53,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671427,2246410246.282485,53947620.320209585,Jackson,-0.43678380106857756,-0.6602286995543949,log,0.32869164365550635,1.1724879742112968e+22,0.17970734932474197,0.32869164365550635
54,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010770770046566862,11293035090.796423,10894619.498252215,Selsis,-0.301348261792714,-0.6654065264038549,GP,0.4467747085552008,1.361622743982175e+23,0.10930698245290982,0.4467747085552008
55,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671427,2254676015.828555,15206574.384680837,Jackson,-0.4268765566138354,-0.6805255130180563,log,0.07514259077000959,1.1876904662540013e+22,0.9367588934426893,0.07514259077000959
56,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2910453064.743423,80598992.36658692,Jackson,-0.32550555372098655,-0.6380134154686666,linear,0.09617069755682879,1.6708935823576824e+23,0.503441181198241,0.09617069755682879
57,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010787253608669532,11982714694.307983,35156400.53914787,Jackson,-0.3702279417004661,-0.6266235693672727,GP,0.42639314895431724,4.492460922034527e+22,0.629991705925558,0.42639314895431724
58,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010638167711828446,6014291505.944426,36473367.300930575,Jackson,-0.4667256534324686,-0.7641774617185625,GP,0.1704942217553913,1.9094830867031416e+22,0.041987744602732024,0.1704942217553913
59,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01046939738480999,1237526045.8290656,75055229.10911612,Jackson,-0.3877824007889292,-0.60035473547753,linear,0.1672429521156094,9.476537371101991e+22,0.4493722961658738,0.1672429521156094
60,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.01060051028562485,4757233673.678912,7497355.622323474,Selsis,-0.2978946011708299,-0.676605323051438,linear,0.06845826941435297,5.463533348144894e+23,0.07976713133297664,0.06845826941435297
61,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2875776197.4408045,77332213.1989718,Selsis,-0.3893225964059439,-0.6987585612099558,log,0.11256223701854337,3.1453768789865162e+22,0.458874414125249,0.11256223701854337
62,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,3871337851.046822,74652114.36547562,Selsis,-0.32235435924279043,-0.7173685231290672,log,0.3030285886738494,4.6190174808667526e+22,0.33953503727308953,0.3030285886738494
63,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010665591478564145,7421233492.615731,59380880.4107486,Selsis,-0.35675750642779436,-0.6780614092907561,log,0.14446966064519276,4.796407467572174e+22,0.4753893883389836,0.14446966064519276
64,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010639078522620091,6056479756.2760725,65254611.22439889,Selsis,-0.3480922835230073,-0.7868567626502709,GP,0.08910057854483598,7.785047352377552e+22,0.14090234097697796,0.08910057854483598
65,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010796425958524748,12384082901.783167,83925524.53466494,Jackson,-0.30542803461916124,-0.6718729418811926,log,0.08436095754626356,3.61417506559491e+22,0.14836973330512215,0.08436095754626356
66,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010665494261069762,7415712445.280835,99000574.35230017,Jackson,-0.4624081310997787,-0.6584292147607114,log,0.08727132621784038,1.76461023288314e+22,0.8827499323186935,0.08727132621784038
67,3.03,0.45,1090.892031646882,236.0,2376.116051693698,0.010553205377671425,2432404008.791917,66343778.1776629,Selsis,-0.35509797539694676,-0.7094750030515171,log,0.13511564932461653,3.3742113507579255e+22,0.22864740906112968,0.13511564932461653
