,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,4.77,0.65,563.9278339462228,16.85307090110091,12.456061944413038,0.0759671554982508,1569167068.6871722,46997029.215673454,Selsis,-0.3952940624423757,-0.7191272405749868,log,0.05117227080879753,2.2647883919301433e+22,0.9696925608224191,0.05117227080879753
1,4.77,0.65,2324.531585056383,4865.491649434343,12.456061944413038,0.004702770881042228,8260448178.291551,37135594.47218012,Selsis,-0.4165446976438576,-0.679982238679377,GP,0.07825523415600082,1.1968264124606073e+25,0.7697331393246784,0.07825523415600082
2,4.77,0.65,411.7209979223105,4.788472437726778,12.456061944413038,0.1456953632772538,5231523106.372615,68629695.19231163,Jackson,-0.4333870669593553,-0.6987837247542343,GP,0.062249306048294886,8.217409773712675e+21,0.8597720669726666,0.062249306048294886
3,4.77,0.65,120.30515233265362,0.03490774818584486,12.456061944413038,1.7870288174294133,10379550963.8062,23329096.493334167,Selsis,-0.34443617528423276,-0.7497926996080878,log,0.09089784147166474,1.2497808301099603e+20,0.7912704828577561,0.09089784147166474
4,4.77,0.65,173.55681314161396,0.15119993100726625,12.456061944413038,0.8129514220555313,3889388835.081112,63556409.83400499,Selsis,-0.4490853090809891,-0.6767994175484652,log,0.08251476531001037,3.381795984916353e+20,0.406311040230529,0.08251476531001037
5,4.77,0.65,603.2430616698832,22.067557502823135,12.456061944413038,0.06729197239872704,3361256045.7321763,51377523.66258153,Jackson,-0.4641162425599947,-0.711667683110688,log,0.0884794423803994,4.536202111479746e+22,0.7298917332094045,0.0884794423803994
6,4.77,0.65,582.7026370228473,19.21201243217339,12.456061944413038,0.0727734396797146,5274007381.651997,39234797.88075048,Selsis,-0.4001010399174831,-0.746405166436476,log,0.25110978071178386,1.4569233532327005e+23,0.15645596395588068,0.25110978071178386
7,4.77,0.65,143.544593095409,0.07075095057016587,12.456061944413038,1.1857279072799163,2768745206.4084463,36934621.851004295,Jackson,-0.3288642916359261,-0.6154231830053718,log,0.08589327175906906,2.5536142623287443e+20,0.6100375122553322,0.08589327175906906
8,4.77,0.65,1608.8309285649668,1116.4172844160926,12.456061944413038,0.009562497261875153,5419809987.833104,55803050.05053034,Selsis,-0.47483772050061535,-0.769475175366322,GP,0.41657346026076136,1.142498140535414e+25,0.17387649774753888,0.41657346026076136
9,4.77,0.65,333.02680018276885,2.049753625697328,12.456061944413038,0.22092180707200967,4089905524.039346,34479282.55754766,Selsis,-0.4800511547999413,-0.7718505004593231,linear,0.20670495077539394,1.0600430035021328e+22,0.31048626337790897,0.20670495077539394
