,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.42,0.74,1614.6573038187862,1138.0,7216.627836003042,0.01189,3213831006.973444,25059739.987495963,Jackson,-0.43844862702614207,-0.692852725684409,log,0.1061504506688999,8.298923142014039e+23,0.9291554775305321,0.1061504506688999
1,1.42,0.74,1614.6573038187862,1138.0,3843.083487826515,0.01189,5048587054.731726,84534282.80015597,Selsis,-0.39543664846791926,-0.7729720921602696,GP,0.17619718985366925,5.2365226162687044e+23,0.43254321065633916,0.17619718985366925
2,1.42,0.74,1614.6573038187862,1138.0,7129.399548798674,0.01189,3259455586.650567,55482701.986517064,Jackson,-0.43441466038220655,-0.7673189698126422,log,0.12377382487874872,6.194163753293813e+23,0.7507894286225492,0.12377382487874872
3,1.42,0.74,1614.6573038187862,1138.0,4340.9095433697785,0.01189,4532127292.911429,40625195.86988249,Selsis,-0.4330310478595409,-0.753909140142841,linear,0.13631170367722034,6.655047388045913e+23,0.662053272240922,0.13631170367722034
4,1.42,0.74,1614.6573038187862,1138.0,7059.228941812185,0.01189,3297089727.6543717,43197055.75089503,Jackson,-0.3692887063189751,-0.6542576191830507,linear,0.11960504108392002,1.0207450951788366e+24,0.9333835636756964,0.11960504108392002
5,1.42,0.74,1614.6573038187862,1138.0,12593.398980398732,0.01189,1881114057.9107873,8521132.88045999,Selsis,-0.3821434128087547,-0.6163692175352428,GP,0.07372692391260896,1.1550267677402078e+23,0.17099701405270595,0.07372692391260896
6,1.42,0.74,1614.6573038187862,1138.0,6039.017097415884,0.01189,3968031773.362538,68100011.97200231,Jackson,-0.2840883049060102,-0.7024321731250711,GP,0.05652701807545657,5.4371754452917825e+23,0.5251646819985124,0.05652701807545657
7,1.42,0.74,1614.6573038187862,1138.0,4712.170442609066,0.01189,4221465190.6121955,91422333.11173032,Selsis,-0.48243279556488233,-0.6172900758093867,linear,0.16661678273020375,2.1490580951056827e+23,0.09714194064729387,0.16661678273020375
8,1.42,0.74,1614.6573038187862,1138.0,6129.811034307043,0.01189,3380660732.5422626,43456032.075445615,Selsis,-0.4782624798472476,-0.6490961503555739,GP,0.4333925932642661,1.5813282139245537e+23,0.05648751618145165,0.4333925932642661
9,1.42,0.74,1614.6573038187862,1138.0,2176.1980996157413,0.01189,8712949273.483757,46026446.06661968,Selsis,-0.32150728883608637,-0.7821340030744841,GP,0.12119222515099287,7.89322993018526e+23,0.368451701135422,0.12119222515099287
10,1.42,0.74,1614.6573038187862,1138.0,5229.2763868888715,0.01189,4727621117.7003355,89473189.81854579,Jackson,-0.4993436513619452,-0.6691657471757836,GP,0.057785159488709714,2.8247918127795027e+23,0.16549019317382507,0.057785159488709714
11,1.42,0.74,1614.6573038187862,1138.0,5208.029053777241,0.01189,4751320132.549688,57090543.738431975,Jackson,-0.3649189378439194,-0.7671909160079895,log,0.2597749884932215,3.0279782900161676e+23,0.19043677361285738,0.2597749884932215
12,1.42,0.74,1614.6573038187862,1138.0,3902.717162091518,0.01189,7079642985.12867,92955550.40675016,Jackson,-0.4346644469439763,-0.7703004683470199,GP,0.2309768272232462,3.687791205764556e+23,0.10334335293323749,0.2309768272232462
