,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.374,0.09,443.4904062093361,6.446468170237615,1216.1004105558175,0.00933640043669173,3617867522.886389,90577552.07456109,Selsis,-0.37937737842089386,-0.779188277264357,GP,0.1401450936928967,1.8822324675843887e+23,0.2019242154049955,0.1401450936928967
1,1.374,0.09,754.6353502790267,54.042260563129624,1216.1004105558175,0.003224583579098645,7235322037.361759,97278967.24442744,Jackson,-0.428281355299843,-0.6157247585338665,GP,0.11521086048174169,1.672745168632173e+24,0.733978172437539,0.11521086048174169
2,1.374,0.09,628.5657788734594,26.012845218212988,1216.1004105558175,0.004647789635904503,7975683926.43292,15736876.330725783,Jackson,-0.40522395311246306,-0.7347708223993101,linear,0.30687499519752415,3.743188471276693e+23,0.030947011272333347,0.30687499519752415
3,1.374,0.09,2249.202183617337,4264.802370310818,1216.1004105558175,0.00036298688685345047,5862174228.109478,13328969.163265511,Jackson,-0.43500955466726443,-0.7470859092042067,GP,0.2728768482715349,1.6958864300086506e+24,0.8209421290530312,0.2728768482715349
4,1.374,0.09,624.3784047123908,25.326572519705138,1216.1004105558175,0.004712652965954731,990526812.5404476,32600848.952965662,Selsis,-0.4900164762702467,-0.6610661259239682,GP,0.07580037266463306,8.674194353535827e+22,0.3155126996626816,0.07580037266463306
5,1.374,0.09,330.14417051574696,1.9797003401277926,1216.1004105558175,0.016847701634215343,4575929203.569421,21050568.59246397,Jackson,-0.2865919495253545,-0.7987203484347994,linear,0.18474923186262368,3.892204435352421e+23,0.9741237648928428,0.18474923186262368
6,1.374,0.09,1159.095929050602,300.7893443721399,1216.1004105558175,0.0013668132116488583,1532444563.0285022,14716261.168748556,Jackson,-0.34793998245868407,-0.6274261320486274,linear,0.0872326947039353,4.993173645780547e+23,0.8757981323835737,0.0872326947039353
7,1.374,0.09,978.9822754970772,153.06794119356044,1216.1004105558175,0.0019160122047666554,3130339246.127125,58167301.15716535,Jackson,-0.3365335843520451,-0.6510065783883124,log,0.18904750623790384,2.0470947928910343e+23,0.18230793020823322,0.18904750623790384
8,1.374,0.09,1452.0080828982968,740.7319216364746,1216.1004105558175,0.0008709833664111213,1366786581.8585596,95022068.09530881,Jackson,-0.4466241343114074,-0.6196156697536773,log,0.48895425942134313,1.7217568333398997e+23,0.4901806081453557,0.48895425942134313
9,1.374,0.09,387.1345671981859,3.7431112029076123,1216.1004105558175,0.01573775877553736,293120715.2124099,98325422.80354898,Selsis,-0.37064283723365093,-0.7442352123844339,log,0.11010523499741402,8.377690401910606e+21,0.5873769612148809,0.11010523499741402
