pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
1.308,1.097,catalog,0.09,338.95563973295435,2.21,673.9230533485055,0.0158,catalog,4558397129.744165,81258203.48443753,Selsis,-0.3276531706047726,-0.7197767823150606,GP,0.07590447976520777,0.010784487104396723,1.43018257589232e+23,1.43018257589232e+23
1.308,1.097,catalog,0.09,338.95563973295435,2.21,758.7279684311478,0.0158,catalog,2214684070.216208,42452841.36151501,Selsis,-0.3386740029930161,-0.6815646913343639,linear,0.11128665172259934,0.6493853573721107,7.941797403142112e+22,7.941797403142112e+22
1.308,1.097,catalog,0.09,338.95563973295435,2.21,200.09800836882783,0.0158,catalog,7676603037.579324,63231972.30454524,Jackson,-0.3970669818379359,-0.7693343065918685,log,0.25778842492102017,0.9275959687820998,2.5307177534641572e+23,2.5307177534641572e+23
1.308,1.097,catalog,0.09,338.95563973295435,2.21,758.7279684311478,0.0158,catalog,3087429863.538864,98995537.78406616,Selsis,-0.4612004889069895,-0.6743889117579744,log,0.191556125118847,0.14648270753272108,6.354123374193425e+22,6.354123374193425e+22
1.308,1.097,catalog,0.09,338.95563973295435,2.21,893.8946140393664,0.0158,catalog,500481106.92400527,12945932.545623718,Selsis,-0.464635232799916,-0.7097700936484357,GP,0.2738554225158385,0.45929221610495674,2.203514286596581e+22,2.203514286596581e+22
1.308,1.097,catalog,0.09,338.95563973295435,2.21,758.7279684311478,0.0158,catalog,1818680105.3452752,60478300.232091375,Selsis,-0.47870388431691385,-0.7890038304194261,GP,0.056395626571940624,0.30356892372034483,3.693523381053205e+22,3.693523381053205e+22
1.308,1.097,catalog,0.09,338.95563973295435,2.21,703.35241752462,0.0158,catalog,4408254247.87335,15305455.688965669,Selsis,-0.3814322580962333,-0.7215858468167448,linear,0.09488515287776929,0.055555614189344515,1.0837437407363105e+23,1.0837437407363105e+23
1.308,1.097,catalog,0.09,338.95563973295435,2.21,1181.33682056406,0.0158,catalog,1633237315.7996593,85806857.27430642,Jackson,-0.4381600940450338,-0.7362881814768085,GP,0.4906860389203572,0.0051460109611044524,7.311066408796662e+22,7.311066408796662e+22
1.308,1.097,catalog,0.09,338.95563973295435,2.21,758.7279684311478,0.0158,catalog,1369289760.0267606,65009961.02421501,Selsis,-0.3611496180417774,-0.7441221869048891,log,0.19949345763331525,0.11757340890858159,4.129601844231453e+22,4.129601844231453e+22
1.308,1.097,catalog,0.09,338.95563973295435,2.21,2928.8376918546383,0.0158,catalog,800989775.431697,26444495.901941672,Jackson,-0.39640917302657,-0.7387502082654048,log,0.11505195988534409,0.3691156782318259,9.005312819348024e+22,9.005312819348024e+22
