,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.308,0.09,977.6160679631782,152.215279285865,30880.52517463841,0.001921371157994909,2382156586.1304574,64073975.45446328,Jackson,-0.3595481877436303,-0.7701096082208384,GP,0.4347386888952843,1.2138946692394516e+23,0.00606309612377498,0.4347386888952843
1,1.308,0.09,1076.1596389256044,223.50730640707437,30880.52517463841,0.0015856032570210929,3112826303.129343,82967977.47512832,Selsis,-0.35830683967398347,-0.6590309904443099,linear,0.06539059162554946,3.304253621544575e+23,0.32466205399587,0.06539059162554946
2,1.308,0.09,100.27788228505281,0.01685021862396458,30880.52517463841,0.18261549363205762,2148985093.0751686,93371744.54387642,Selsis,-0.39053450828975994,-0.634461509427057,GP,0.43257246776828473,432127744420066.56,0.5547993898161893,0.43257246776828473
3,1.308,0.09,1009.266506735752,172.9053253596693,30880.52517463841,0.0018027529166160876,4846088448.411157,66057426.089584485,Selsis,-0.49679643426391157,-0.7332975000200033,linear,0.057997982901122416,1.2041879252536596e+24,0.6882745538662006,0.057997982901122416
4,1.308,0.09,115.73696857374308,0.02990014792433713,30880.52517463841,0.1370893518545525,3921956074.7890553,65784514.03427553,Jackson,-0.3051571564564842,-0.6992961858862625,log,0.0661142368988023,810638206760216.6,0.357636977258627,0.0661142368988023
5,1.308,0.09,142.88611674720784,0.06946164415797636,30880.52517463841,0.08994310210661852,9466356137.161488,27666265.324375756,Jackson,-0.41517506935537135,-0.7043225737846197,GP,0.19833048909290218,7.825479887293307e+20,0.48356129877328613,0.19833048909290218
6,1.308,0.09,177.2268526264494,0.1644004585899045,30880.52517463841,0.058464047598739535,3657224199.7750483,58641710.23418401,Selsis,-0.3787706792946583,-0.7526177768887339,log,0.11681490197910413,9.309725626073815e+19,0.5929539282617421,0.11681490197910413
7,1.308,0.09,302.54985552684303,1.3962806662511515,30880.52517463841,0.02006106704273934,3938932925.1939187,43310357.16428615,Selsis,-0.31617878554586565,-0.7720185251621837,linear,0.051713767560502756,8.806595839286455e+22,0.18035714734536745,0.051713767560502756
8,1.308,0.09,272.51746927577517,0.9190990430372201,30880.52517463841,0.024726305719802614,5251971989.05787,79148162.00959603,Jackson,-0.4805160125504077,-0.6938634107042688,linear,0.06355541370496211,9.720861499523382e+22,0.6686401588935356,0.06355541370496211
9,1.308,0.09,1166.53019057821,308.5807693187675,30880.52517463841,0.001349447406121478,10387584080.391857,12549996.867061608,Selsis,-0.4917336530055091,-0.6000376151484972,GP,0.07069410129839884,1.4026343931476852e+24,0.4179659526137188,0.07069410129839884
