,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,2166941511.514634,41222268.57252634,Selsis,-0.46630603364140955,-0.6122737076227109,GP,0.1618167183037751,1.9877908679153017e+21,0.5290822733988553,0.1618167183037751
1,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,8263822073.837913,70598587.1748642,Jackson,-0.32478213536915196,-0.6071037885997002,GP,0.093433624482945,1.5120196284339995e+22,0.569048143692608,0.093433624482945
2,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,7458909059.77284,67793777.0281495,Selsis,-0.44939850789317026,-0.7750124696298887,linear,0.29036626686275335,7.546090046418041e+22,0.13925898241904322,0.29036626686275335
3,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,4456570016.763065,73666005.87584846,Jackson,-0.31709262847865244,-0.7846304728965509,log,0.07939997708863374,1.408926702949263e+22,0.041663321331234626,0.07939997708863374
4,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,1903088603.2573268,3787411.2269959133,Selsis,-0.4547046135990079,-0.7418989115002556,log,0.11725887753237328,2.0113480227414257e+21,0.34991874478387497,0.11725887753237328
5,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,4844353654.266962,58087254.52589702,Jackson,-0.46440585830794423,-0.6307423748631494,linear,0.45374809514676995,1.7668817744554165e+23,0.09006515170324225,0.45374809514676995
6,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,3988059184.189914,17372141.44157234,Jackson,-0.46098022700213115,-0.6808693267372725,GP,0.2767939318964637,7.989852364613323e+21,0.9962389794688178,0.2767939318964637
7,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,4643448313.955233,8059556.225340508,Jackson,-0.4624248614938369,-0.7127878119148623,linear,0.08789047922828981,1.677109318522443e+23,0.3338988178737694,0.08789047922828981
8,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052759,8617474670.138155,52861286.4539427,Jackson,-0.4214151630605071,-0.71850518140205,linear,0.2565932953039075,1.9333531843148612e+23,0.1396044455696669,0.2565932953039075
9,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,1634638699.8589404,1566146.4235099838,Jackson,-0.28378654102919304,-0.7238789371732309,GP,0.46976389109988975,1.1819090294598864e+22,0.23384365704993104,0.46976389109988975
10,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,9659762983.65307,26039335.7839175,Selsis,-0.4927711902487614,-0.7053808535692349,linear,0.05273634185062187,8.741221157764134e+22,0.3780795547974005,0.05273634185062187
11,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,7403646402.99109,98198584.025218,Jackson,-0.31838623997164084,-0.7471002735895962,GP,0.25856198717490414,1.3498121392087483e+22,0.6554103909414895,0.25856198717490414
12,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,5104056599.050198,18766269.124724325,Selsis,-0.3638643447511063,-0.7557977407595018,GP,0.1218230322382952,4.565856802477084e+21,0.36156770024871543,0.1218230322382952
13,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,11746344453.85666,41846818.253657155,Selsis,-0.38886686715985674,-0.710422122901643,GP,0.11967957633091572,7.58257503797324e+21,0.018362309406064425,0.11967957633091572
14,1.308,0.09,339.35311275940563,2.21,191.1014238600737,0.01594572444052758,2536908552.1544776,85015159.63425547,Selsis,-0.30461438083593145,-0.7388592349767866,GP,0.05596383993051626,2.703147767555425e+21,0.5262341370237859,0.05596383993051626
