,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.388,0.09,922.4310010267877,120.64809979126672,50392.016575111564,0.002158142654940274,4480196035.782694,24833901.603357747,Jackson,-0.34948115344884945,-0.6620617725983391,log,0.29938161067024105,4.979167775697501e+25,0.7408529425329693,0.29938161067024105
1,0.388,0.09,258.7690642163672,0.7471956694720021,50392.016575111564,0.027423521246138415,1727169969.4412043,13357472.392557481,Jackson,-0.32926661460099704,-0.797165285374897,log,0.3948627461195009,3.347561972338854e+23,0.13413702022059515,0.3948627461195009
2,0.388,0.09,681.6505882096831,35.97759927652778,50392.016575111564,0.0039520670256518765,3347256849.802869,91420170.60140727,Jackson,-0.32988153260843744,-0.6213949762904247,log,0.05105152654070455,2.538428519290369e+24,0.34481370256683375,0.05105152654070455
3,0.388,0.09,681.4338313700791,35.93185929217363,50392.016575111564,0.003954581646331333,1518336066.0336993,50436439.56464879,Selsis,-0.2875805685420816,-0.7059458213445419,linear,0.30654463133647464,3.375470727499256e+24,0.20072295655646377,0.30654463133647464
4,0.388,0.09,101.90755425680882,0.017972580613533122,50392.016575111564,0.17682154113367304,2938761349.715123,35670846.35928939,Selsis,-0.3223569024377432,-0.7418807133680894,log,0.13476746053567723,9.736070277132804e+20,0.015259284721843125,0.13476746053567723
5,0.388,0.09,275.8465720337608,0.9648399784206345,50392.016575111564,0.024133079659904886,5476952472.847488,40507939.29852674,Jackson,-0.30430043978056165,-0.6075738745273987,linear,0.08301291653562243,1.5778937283775223e+23,0.6312523615138863,0.08301291653562243
6,0.388,0.09,369.61385495339863,3.1101253594965157,50392.016575111564,0.013441614763299194,4311024490.693303,51917732.26174993,Jackson,-0.34100229368383694,-0.739980341147038,linear,0.18443652902918786,7.656555997959704e+23,0.9919532339411494,0.18443652902918786
7,0.388,0.09,577.6735028378409,18.55729684470145,50392.016575111564,0.0055027912010165575,4980140956.779563,47397047.708448716,Jackson,-0.3338096720445151,-0.6205547497000705,GP,0.10939924952418877,3.189035195129661e+24,0.33656778354585803,0.10939924952418877
8,0.388,0.09,717.8891997063016,44.26032550523954,50392.016575111564,0.003563141666948781,7657219758.130972,26940353.920874942,Selsis,-0.3040267940852809,-0.7505562646674501,GP,0.05818006623261929,2.4222217319893307e+24,0.3621807407706764,0.05818006623261929
9,0.388,0.09,1175.2600433274688,317.9221668550913,50392.016575111564,0.0013294744232623605,7294241414.460514,91524622.58745334,Selsis,-0.45588231632930576,-0.6627409966391318,log,0.3806981629686383,5.770783968244915e+25,0.14333456091543806,0.3806981629686383
