pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
0.388,0.788,catalog,0.09,285.34846497492697,1.11,240.32853502780227,0.02227,catalog,3515715119.8853574,19150123.044183288,Jackson,-0.34979587621273067,-0.7611084088167562,linear,0.05631488007191596,0.8456350875518802,9.807123908772887e+23,9.807123908772887e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,165.66539671802437,0.02227,catalog,4879548562.483725,99722303.89464888,Jackson,-0.4898329487164174,-0.6923595287427541,GP,0.24371524879060946,0.4117172848074454,5.723528256940581e+23,5.723528256940581e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,163.92839870807154,0.02227,catalog,4925708675.723245,29852109.588071615,Jackson,-0.4981946108851293,-0.6899051509764424,GP,0.1467819543407229,0.9742008385914565,8.617219662751377e+23,8.617219662751377e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,382.96259774779793,0.02227,catalog,1150105627.9225504,5171707.953699537,Selsis,-0.2858659526804328,-0.7474041880044243,log,0.0632354551370402,0.27751473091915213,2.310392577138266e+23,2.310392577138266e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,339.60376226071867,0.02227,catalog,4554685713.296597,30786726.627090685,Selsis,-0.4050246651210935,-0.6045675333199751,GP,0.3824824335242674,0.10350004108586575,4.6186216199435765e+23,4.6186216199435765e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,110.43864656552913,0.02227,catalog,7049128898.905346,67126466.55682425,Jackson,-0.4625676156352363,-0.63424924551461,log,0.11284297213482272,0.03206570137918496,5.1574418606856206e+23,5.1574418606856206e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,337.769599973483,0.02227,catalog,4572587005.891291,52682682.63834497,Selsis,-0.46271991865415524,-0.7236249510188356,linear,0.29343672539002497,0.34391833161094876,3.182860520492681e+23,3.182860520492681e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,229.82026575055096,0.02227,catalog,3655348753.8379993,55015882.786359966,Jackson,-0.4378732868401622,-0.6629148420403405,log,0.09732066095637698,0.7620810863127889,7.744219395398277e+23,7.744219395398277e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,111.64115245799904,0.02227,catalog,6979118165.466807,28454438.837904982,Jackson,-0.44418438887500156,-0.7313444073888798,linear,0.46827083394576136,0.387838565182818,6.44152492870934e+23,6.44152492870934e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,381.65320739055704,0.02227,catalog,3948077266.2971373,71198405.61927573,Selsis,-0.3225493830194537,-0.7522516279548195,GP,0.2501770274266878,0.566193972054412,4.8088163338725724e+23,4.8088163338725724e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,381.908947481004,0.02227,catalog,2803098611.4806223,72511228.11255713,Selsis,-0.420290186366251,-0.7177128752995566,GP,0.2810846208137873,0.07874115233944867,2.1946988732961145e+23,2.1946988732961145e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,476.13888294653043,0.02227,catalog,1964020220.4899347,39541444.40999368,Jackson,-0.31057539954836144,-0.6086429944119467,linear,0.10920263738011696,0.9160657155479538,1.0931185738327952e+24,1.0931185738327952e+24
0.388,0.788,catalog,0.09,285.34846497492697,1.11,381.908947481004,0.02227,catalog,2629274509.8330054,71286094.4778483,Selsis,-0.4425889317912589,-0.7004832532299907,log,0.12589205874016715,0.2613459060560631,2.036048183553902e+23,2.036048183553902e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,314.1344739135892,0.02227,catalog,2790701927.6128125,83959274.6475221,Jackson,-0.38189248326858627,-0.6136774505001243,GP,0.07629366045374074,0.4106218986454033,6.09634908848904e+23,6.09634908848904e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,381.908947481004,0.02227,catalog,3294544530.3014565,35825863.0830398,Selsis,-0.3760066507254563,-0.6491046308586337,log,0.05391694078032332,0.9169276273077367,3.5192072581926396e+23,3.5192072581926396e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,339.49394205625646,0.02227,catalog,2611866187.1881404,87602995.78342769,Jackson,-0.332550425003891,-0.6016085564459237,linear,0.23335303600899973,0.24044997230611231,5.578335468325497e+23,5.578335468325497e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,149.77658109404456,0.02227,catalog,5341062693.733679,42615024.5939515,Jackson,-0.33910518062987577,-0.6536215653545367,GP,0.05655991722493034,0.08343520848007002,6.131874337342083e+23,6.131874337342083e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,395.7433384591591,0.02227,catalog,2293723480.086479,59723920.44275952,Jackson,-0.3799418678566858,-0.7740142337794925,log,0.37265419779353615,0.15134957186210418,3.905005036998801e+23,3.905005036998801e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,259.6959774088585,0.02227,catalog,5540320058.850893,10499689.264547769,Selsis,-0.4004935488243445,-0.7508524865780726,GP,0.07389408887699948,0.7889575006330148,4.481353736404311e+23,4.481353736404311e+23
0.388,0.788,catalog,0.09,285.34846497492697,1.11,400.59148498509154,0.02227,catalog,2270295217.6941047,60610467.29844661,Jackson,-0.49589352107435986,-0.6596667503808654,GP,0.4425185833567489,0.34167028022953017,4.546780453478903e+23,4.546780453478903e+23
