,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.388,0.09,305.44431479928113,1.4504845569013014,131007.55613317448,0.019682662104539343,5047838591.021766,1386066.7858741307,Jackson,-0.3010809248907402,-0.7326741891294272,linear,0.09561100843385753,2.0370656614976017e+24,0.8653687548123251,0.09561100843385753
1,0.388,0.09,383.8660208482929,3.61829196970997,131007.55613317448,0.012462024118042807,7485693205.195849,5070226.075425659,Selsis,-0.336187739535471,-0.7039237877566517,log,0.09073353853275756,1.666268493802517e+24,0.15695009778530777,0.09073353853275756
2,0.388,0.09,349.9357761585247,2.4988391800974594,131007.55613317448,0.014995855199213603,4208671182.313994,17563964.09179386,Selsis,-0.42592364143842776,-0.6604245710487233,linear,0.14068929108568118,7.493696529758922e+23,0.2426153974823736,0.14068929108568118
3,0.388,0.09,183.02419663106042,0.1869902498679918,131007.55613317448,0.05481897496585018,1621928520.1687326,27350112.531466227,Selsis,-0.4467846557003108,-0.798468392206264,log,0.35698784734733896,2.342658685384376e+22,0.7654557979210085,0.35698784734733896
4,0.388,0.09,135.90440641480276,0.0568485088080748,131007.55613317448,0.09942162403388076,4870323466.026554,81802398.39366513,Jackson,-0.31348129280964443,-0.6673574511372008,linear,0.38802635371639,7.962307352775786e+22,0.20342213663169095,0.38802635371639
5,0.388,0.09,1319.035807825969,504.4420325909269,131007.55613317448,0.00105544293737021,4944470765.928166,99159869.71166253,Selsis,-0.36547428788215564,-0.6369034584410107,GP,0.17276794081439625,3.121969359526788e+24,0.5954737288402454,0.17276794081439625
6,0.388,0.09,2231.7129868509837,4133.693650793703,131007.55613317448,0.00036869839553015056,4533816869.157985,84342405.57054487,Selsis,-0.453865876805311,-0.6724257878158936,linear,0.06828308488794733,7.158842920988177e+24,0.9929008556065433,0.06828308488794733
7,0.388,0.09,691.0792250288823,38.009860462241846,131007.55613317448,0.003844963787927489,8253066498.764422,18595786.34992745,Jackson,-0.2841663541916832,-0.6790605597784546,log,0.41755813040292233,4.3646369550613633e+24,0.5106791772191249,0.41755813040292233
8,0.388,0.09,104.23748157357012,0.019673451785835287,131007.55613317448,0.16900521619385164,4403874065.414084,34036395.38757798,Selsis,-0.4751519191051497,-0.6948642625160235,log,0.12579840681229745,4.619485214298848e+20,0.1376822782473831,0.12579840681229745
9,0.388,0.09,1235.7994113332513,388.66627766662424,131007.55613317448,0.001202408287880131,3445612371.435336,15737889.046305368,Selsis,-0.3307806400713433,-0.6427510839903948,GP,0.06314883138771768,4.1766061519416587e+24,0.8719120376506163,0.06314883138771768
