pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,3617475227.31305,71898767.99789692,Selsis,-0.3107295008633987,-0.7547424088282182,linear,0.22056135462842494,0.3608460550615411,1.8054924225681026e+23,1.8054924225681026e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,121.79332568547048,0.02925,catalog,3953830043.622501,35705990.81306129,Jackson,-0.2849843506434335,-0.7196141655443962,linear,0.1274618776704868,0.7943805553471708,6.081352343838913e+23,6.081352343838913e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,176.15675882661827,0.02925,catalog,4937737800.956368,63349829.54045606,Selsis,-0.4914499841068033,-0.6560652458373437,log,0.07219192956151668,0.7854336332793139,1.3413447820742802e+23,1.3413447820742802e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,152.96006015381337,0.02925,catalog,3242053022.9665527,11552476.186539533,Jackson,-0.43084278334697923,-0.7578497741848282,log,0.4490889597599086,0.5957237032376332,3.192089595640378e+23,3.192089595640378e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,397.2557185047144,0.02925,catalog,1453363360.4366446,89297504.91980274,Jackson,-0.4231129970899728,-0.6091551340856406,linear,0.16482546404671597,0.6059201777217587,2.5461359402362313e+23,2.5461359402362313e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,217.2658763007242,0.02925,catalog,4054261970.692486,72597372.6770935,Selsis,-0.31482688083620736,-0.6041428250845733,linear,0.3303998144831438,0.8812581498217958,2.3120267735675065e+23,2.3120267735675065e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,266.97677506773596,0.02925,catalog,2019383587.235144,72542399.44352113,Jackson,-0.34326382729341864,-0.7136632116277609,linear,0.14219970117697,0.08720985458779607,2.17063455532217e+23,2.17063455532217e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,100.15799742669097,0.02925,catalog,4699975523.899936,53041218.77560833,Jackson,-0.29927451629751406,-0.6466331188172142,GP,0.057302071268526496,0.1357136160179987,3.820710529827203e+23,3.820710529827203e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,185.38198123581213,0.02925,catalog,2748392960.8340907,48727484.644740224,Jackson,-0.31215980622807854,-0.7722973798705213,GP,0.2851434119165275,0.7335834690346178,4.461554909109162e+23,4.461554909109162e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,76.29373500207626,0.02925,catalog,9249846517.033253,33000848.68234626,Selsis,-0.3800428224838267,-0.7735626201418817,linear,0.0716856905937,0.9542260339101752,2.2281155381968472e+23,2.2281155381968472e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,350.8681203077516,0.02925,catalog,1609505079.5191433,7330211.319712908,Jackson,-0.3302092411470035,-0.7680764810748029,GP,0.09026608077020994,0.48525153188377845,3.305057103757415e+23,3.305057103757415e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,107.06878041009047,0.02925,catalog,7141339505.304424,37958303.235793695,Selsis,-0.4490018229654812,-0.6014742522921579,GP,0.47703731634825947,0.259756321045464,2.222740682928236e+23,2.222740682928236e+23
