,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,6920567274.832543,70527444.45880888,Jackson,-0.3511551441244389,-0.6617098610634868,linear,0.3743660474705164,1.1000588187473979e+23,0.17118055763842877,0.3743660474705164
1,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,10034899936.670782,2425107.3111512503,Jackson,-0.3683204989320707,-0.6506856334517104,log,0.18854746421815877,9.016479939231302e+21,0.14709400701898334,0.18854746421815877
2,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,10149238952.77278,48897024.047544725,Jackson,-0.3131691229444946,-0.6027872895697491,linear,0.33419028963589986,1.6277059898331243e+23,0.7730923237655213,0.33419028963589986
3,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637176,4279378479.132159,42632445.635605276,Jackson,-0.4596643370048153,-0.720459714184868,log,0.18504342626874,5.765206242201273e+21,0.45192998029534914,0.18504342626874
4,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,4930485694.623689,99028304.47997494,Selsis,-0.41479323473019514,-0.745705288692528,GP,0.12113613452242578,7.741202554943634e+20,0.9502751917917581,0.12113613452242578
5,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,6356236128.249836,92521255.80412272,Selsis,-0.3607806908568777,-0.7584197370465033,log,0.050752681094492685,3.3415492792906044e+21,0.3207160464056682,0.050752681094492685
6,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,3768766532.9817305,2978668.7032439867,Jackson,-0.31972770997038935,-0.6049523572909163,GP,0.4132266979521706,5.483302958156131e+21,0.8936482588853912,0.4132266979521706
7,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,7623305260.680255,88979517.94569291,Jackson,-0.3632885247900972,-0.6739464842661125,GP,0.2556561983736758,4.1311681200468237e+21,0.48073111758995424,0.2556561983736758
8,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,9798632448.55057,54053252.180868074,Jackson,-0.39552350594629976,-0.630938600020758,linear,0.07260527668471006,1.0724169087824011e+23,0.9710935420937785,0.07260527668471006
9,0.692,0.09,249.90912153447258,0.65,324.2786133815121,0.029402463076637162,2328242248.833142,89640226.88283807,Selsis,-0.47526996789423986,-0.7355062385384281,linear,0.21681653717274155,1.2778977760613528e+22,0.31142427064517697,0.21681653717274155
