,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,5348288323.2420435,42546868.548450984,Selsis,-0.3718783942809757,-0.6615909531865876,linear,0.056627164093431596,2.033396066976634e+22,0.30871515475691436,0.056627164093431596
1,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,4901642209.659415,22909358.6936929,Jackson,-0.40001286250027,-0.6668183443152846,log,0.2652264088090401,2.665929574025487e+21,0.3369188729338709,0.2652264088090401
2,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,6405369228.979844,45760972.406856984,Selsis,-0.43890486899415765,-0.781345287620106,linear,0.07448818992940957,1.6123662053683633e+22,0.13097719328431912,0.07448818992940957
3,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,8538239620.480305,79855544.2116048,Selsis,-0.4003206053627082,-0.6548121582489452,GP,0.4813716164318111,2.2496004323131933e+20,0.21922119433576603,0.4813716164318111
4,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,6884253261.222008,46089125.26071387,Selsis,-0.2829895767478652,-0.7849723012493952,log,0.32754579700647096,2.3259482131170347e+21,0.08165528699209046,0.32754579700647096
5,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,2796570047.1603518,94754509.73996943,Jackson,-0.29712502938849633,-0.7981881654492706,GP,0.1367957763995667,2.7788680654794926e+21,0.11999677098781902,0.1367957763995667
6,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,2538982056.3774967,32214997.92825596,Jackson,-0.3095317387034482,-0.7204030758007537,log,0.11237444786586784,3.305350137619663e+21,0.22676573604647188,0.11237444786586784
7,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,7929137771.906798,38222863.7782877,Selsis,-0.38634271946344817,-0.736567384944393,linear,0.18414022895225132,2.2050443510116168e+22,0.4351203698665538,0.18414022895225132
8,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,9520648093.486753,31649633.446434252,Jackson,-0.46296082217018225,-0.7986298657608847,GP,0.08829019142047888,1.4932443914060476e+21,0.005882595858648365,0.08829019142047888
9,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,8650452267.94519,77938739.32652949,Jackson,-0.3341602605311895,-0.6922390328070189,linear,0.17058865103319748,5.950188757554954e+22,0.5870430745231604,0.17058865103319748
10,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,1313977645.166521,30406321.50874808,Selsis,-0.4663633777089125,-0.6487852208507854,log,0.27995375793263894,2.975328447761094e+20,0.3333760205495224,0.27995375793263894
11,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,4509702488.843201,10816437.74765188,Selsis,-0.37966261466712564,-0.6022503011735771,GP,0.11875838593130753,3.896717986938152e+20,0.20487333092015547,0.11875838593130753
12,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,2661589027.43881,29412974.344063073,Jackson,-0.43634665716837323,-0.6352156282019726,log,0.3471316961447925,2.2825088342642055e+21,0.8270270300867216,0.3471316961447925
13,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,1725044778.2216218,21526159.14081418,Jackson,-0.31285353718923226,-0.6638302318000129,linear,0.3522353007071435,4.599363900101627e+22,0.9709599465400298,0.3522353007071435
14,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,4269684396.9257674,72445822.1419049,Jackson,-0.3135582488393633,-0.7324025656533449,linear,0.48925336162569416,5.631728902764471e+22,0.9654523653028982,0.48925336162569416
15,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,8977007996.327225,99395770.77288575,Selsis,-0.32834071229952166,-0.6535197802444798,log,0.11823771416001994,1.8017178932356076e+21,0.6060893939721383,0.11823771416001994
16,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,12663106061.287844,29676129.13953985,Selsis,-0.38211791923038313,-0.6518591160132147,log,0.06332180272695864,1.358194196958237e+21,0.4590745213789338,0.06332180272695864
17,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,5476442410.356628,97470867.93016559,Jackson,-0.4098849597795817,-0.6821746418266332,log,0.059808792935847205,2.4387804024347243e+21,0.3664659445969386,0.059808792935847205
18,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,6166042735.41039,89362395.9695827,Selsis,-0.49040902987587587,-0.6896700583483747,linear,0.07979395169292512,1.5271654966385493e+22,0.02444584052514509,0.07979395169292512
19,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,5507107771.906027,70647447.52218293,Jackson,-0.3525431726793786,-0.7170305448336922,linear,0.08322193226630913,4.869550342510914e+22,0.1529060531071771,0.08322193226630913
20,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,2821425843.2382426,94066780.98021385,Jackson,-0.3393805533820164,-0.7905898154036222,linear,0.06081567820073063,4.186069641247053e+22,0.17720172502177,0.06081567820073063
21,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,3885813777.125139,42859127.09795569,Selsis,-0.43769018586073494,-0.7268927434862581,log,0.2981343285327774,5.8165652421750057e+20,0.4316507154336393,0.2981343285327774
22,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,3195577405.082373,13414953.562569302,Selsis,-0.39558730908496703,-0.6930658414196473,log,0.21626921899431287,6.569022942890217e+20,0.555609927351929,0.21626921899431287
23,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,1454366603.9212625,56866779.126019314,Jackson,-0.4674913052775818,-0.799172170546853,log,0.05305837395144285,1.65830304071942e+21,0.17852327338446528,0.05305837395144285
24,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,4098045727.750292,32733158.4766151,Jackson,-0.4885301199541967,-0.7207512938234355,linear,0.20400773535845976,3.5215391744324664e+22,0.1816432331263228,0.20400773535845976
25,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,1869729573.1498656,74134688.25355512,Jackson,-0.4481037429251328,-0.7697359479801937,GP,0.10836723549709423,1.4284327312667897e+21,0.21917648215119545,0.10836723549709423
26,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,9979712951.948328,85864482.94779411,Jackson,-0.2985823196646438,-0.7901960343951975,linear,0.05117858938260761,7.482015856338899e+22,0.36189080588112776,0.05117858938260761
27,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,9626487707.625652,62267442.49314658,Selsis,-0.39824992550284183,-0.7160740992175086,log,0.18598739148697255,9.915534606190581e+20,0.7828089106842371,0.18598739148697255
28,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,4849554620.726919,36492330.95835026,Jackson,-0.4513194568747492,-0.7406945895820327,GP,0.2876423532066262,1.530272112680206e+21,0.26282918597195437,0.2876423532066262
29,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,1274928613.806641,43918254.107216306,Jackson,-0.37903769047659686,-0.634671418565108,log,0.20441440669219682,1.9601029251282158e+21,0.896687231055057,0.20441440669219682
30,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,2962623749.853275,22279466.271709308,Jackson,-0.3111824430058364,-0.6874419484866388,log,0.19973772550134974,3.487677398209491e+21,0.8698157365882222,0.19973772550134974
31,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,3107473394.7030888,18832031.527244154,Selsis,-0.29876380380310785,-0.6504988387470111,GP,0.16946362048937125,1.1923414288990908e+21,0.16399806426269914,0.16946362048937125
32,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,13409460292.43518,80203115.64630896,Jackson,-0.28469912007367915,-0.6695213369261838,GP,0.14654935291336213,3.663835063181443e+21,0.5128059320281858,0.14654935291336213
33,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,10323051582.945635,7596467.4544295715,Selsis,-0.3322189901328022,-0.7278350463584151,log,0.37711345729514084,1.775142654001145e+21,0.3499651715589266,0.37711345729514084
34,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,6600989108.807277,13220134.92084643,Selsis,-0.40355822964570043,-0.7726444763150223,linear,0.3694792397476591,1.9078665827688324e+22,0.9382972428117659,0.3694792397476591
35,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,2517393872.053512,34149091.29570115,Jackson,-0.37773207927450053,-0.7936875711910673,linear,0.13635346407134036,3.6769407159214627e+22,0.6177254067183497,0.13635346407134036
36,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,5786434355.266049,40386421.13784786,Selsis,-0.4159179320805797,-0.6167347354703123,log,0.06571908427467628,1.0935628941005398e+21,0.10407633925687687,0.06571908427467628
37,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,4763828894.713671,33463018.00605086,Jackson,-0.3920531692242993,-0.684559476128491,log,0.4923051807930221,2.642746644798283e+21,0.8931005326933463,0.4923051807930221
38,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,2631975940.123811,77662340.23275411,Jackson,-0.4883485433783284,-0.704685708266331,linear,0.08996613031957386,3.0570637226791573e+22,0.3123758865365831,0.08996613031957386
39,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,1779798470.041316,95399834.51419315,Selsis,-0.3255555597528772,-0.7825884984017206,log,0.05049939427544796,4.929913687511801e+20,0.44673367234623573,0.05049939427544796
40,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,8785288668.511997,43080825.85779118,Selsis,-0.30185089061086784,-0.7380911481863363,log,0.2250566477415913,2.1481635621184261e+21,0.0019028285024239588,0.2250566477415913
41,1.039,0.09,217.07219598509587,0.37,124.71572285685092,0.03897081869922318,8719607538.270754,21295102.14164055,Selsis,-0.4430776023212922,-0.7660761152133584,linear,0.05783712103441526,1.906766756409109e+22,0.922530282896393,0.05783712103441526
