,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.321,0.09,199.08637629343403,0.26178881794148817,163857.92723809805,0.046330271531452596,4941976202.676976,75482596.40501778,Selsis,-0.4997737761909989,-0.7529077935878106,GP,0.1674752356189213,9.017025756642722e+19,0.9246785235973409,0.1674752356189213
1,1.321,0.09,601.6614025883148,21.837028061678833,163857.92723809805,0.005072751938363424,2682825217.778007,80766102.28282064,Selsis,-0.3107148539861449,-0.7209082932345867,log,0.10895165814755828,2.9738359133439786e+23,0.3370779602006614,0.10895165814755828
2,1.321,0.09,1292.936232820037,465.68617988948006,163857.92723809805,0.0010984839524456882,4089816561.12892,63822355.42209311,Selsis,-0.3872888404870568,-0.6978910106925473,linear,0.09769807965218584,9.384785006156577e+23,0.646629299692376,0.09769807965218584
3,1.321,0.09,254.357129880294,0.6975263019092628,163857.92723809805,0.028383117650596066,6561574774.088098,16627838.32969984,Jackson,-0.2951406843238576,-0.6414119972181267,linear,0.11983921515635375,1.7350941272871372e+23,0.9281696338050814,0.11983921515635375
4,1.321,0.09,468.3350272979296,8.016992669200086,163857.92723809805,0.008372104650617348,10170516874.826473,92898052.81965001,Selsis,-0.47441186064301394,-0.6444635584563044,log,0.23660577413289177,4.597828836018849e+23,0.03174655884517186,0.23660577413289177
5,1.321,0.09,165.08712910621563,0.12377638243350482,163857.92723809805,0.0673785248903663,8627885106.099003,57072257.44626407,Selsis,-0.2964432900787347,-0.7267159340543001,linear,0.23448599923430472,3.38404240737278e+20,0.9027703194516924,0.23448599923430472
6,1.321,0.09,328.46985003098735,1.9398447501858098,163857.92723809805,0.01701989610450313,3610968056.99031,14337668.938003533,Selsis,-0.38651547433791117,-0.7356493028209772,GP,0.4539616279643389,8.110070347539965e+22,0.35159798538717457,0.4539616279643389
7,1.321,0.09,1732.7426036697843,1502.1771095896247,163857.92723809805,0.0006116173851163881,5112538878.267615,83749057.53406014,Jackson,-0.4595492217762139,-0.63781004002939,log,0.20862358382071933,1.1094029201985146e+24,0.6227039374082025,0.20862358382071933
8,1.321,0.09,282.3631961931579,1.0592958769574952,163857.92723809805,0.023032005237625407,2702056775.43154,6470729.513278595,Selsis,-0.4726113829924201,-0.7842300979556959,linear,0.21670438568072323,2.8182537650593434e+22,0.18441189445740458,0.21670438568072323
9,1.321,0.09,894.259667542744,106.57111275410128,163857.92723809805,0.0023044866883465452,933015478.32123,42135686.22039836,Jackson,-0.39233627956146094,-0.7461623953022007,log,0.07384731173209937,3.8093823847738745e+23,0.9101135785812572,0.07384731173209937
