,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.326,0.09,115.64325913876019,0.029803427754076604,329.1456287737592,0.13731161765356056,6815402286.555901,82116544.15912607,Selsis,-0.34974308473424554,-0.6440490762581264,GP,0.09336014093462414,1.9990120056343516e+21,0.2163772635460447,0.09336014093462414
1,0.326,0.09,1435.8355303596409,708.2779289992002,329.1456287737592,0.0008907145306211721,1382040330.7829313,67231500.71328549,Selsis,-0.37042551507205246,-0.7520287928936933,linear,0.06260176695138833,6.943435265047187e+24,0.14028574555994977,0.06260176695138833
2,0.326,0.09,1028.512881241373,186.47639552225863,329.1456287737592,0.0017359150108418413,4408358337.716915,4392173.7795941075,Jackson,-0.33523750405524566,-0.6174217982990429,log,0.4559454601293108,1.4119813784866035e+26,0.4903089216775217,0.4559454601293108
3,0.326,0.09,319.0263975340364,1.7262011607984233,329.1456287737592,0.018042415891669158,6634215900.662571,68515553.69055109,Selsis,-0.33442789286824576,-0.7714355620251976,linear,0.24658989316640603,2.9445809950350892e+23,0.11398941617904879,0.24658989316640603
4,0.326,0.09,2185.9272683968807,3804.7642818490995,329.1456287737592,0.00038430542363301266,3255855343.0474005,86280771.25992446,Selsis,-0.35100152774888405,-0.704051080986036,log,0.09837084217861566,1.3603228690603e+26,0.34086437279867143,0.09837084217861566
5,0.326,0.09,1189.5446545579566,333.66290299798857,329.1456287737592,0.00129773623062414,6267276491.365785,27013330.600385975,Selsis,-0.47422415246888167,-0.69433259173703,log,0.4525832981022525,6.69946265430907e+25,0.5814157731251847,0.4525832981022525
6,0.326,0.09,427.9928373920833,5.591533472361132,329.1456287737592,0.010024781766471801,8537745844.419714,30928419.56578864,Selsis,-0.4870784831660051,-0.7215066306353816,linear,0.3929200142876863,1.0628935348941676e+24,0.3055030546641425,0.3929200142876863
7,0.326,0.09,1029.5092777883858,187.20006021592965,329.1456287737592,0.001732556473437283,8427693847.879963,1229544.3793917003,Jackson,-0.3318836723458586,-0.6807413216159592,GP,0.0727750961250705,2.4845234790573097e+25,0.4553831329562218,0.0727750961250705
8,0.326,0.09,162.54339688440334,0.11632210458728635,329.1456287737592,0.06950391466123873,2742566097.284758,11771019.744098958,Jackson,-0.33805218044939533,-0.6798785918400374,GP,0.1660386837174502,2.601259712755065e+22,0.6214799138055143,0.1660386837174502
9,0.326,0.09,406.6464456999746,4.5567252964223135,329.1456287737592,0.011104882500428893,12725112025.487284,57762675.93835207,Jackson,-0.4282239241515961,-0.766372798027187,linear,0.14882640709168826,8.469089282931088e+23,0.8001870669153409,0.14882640709168826
