,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.326,0.09,1588.5126463798308,1061.0787855570281,37014.19598211223,0.0007277237951853162,12853061514.294506,9787122.523262808,Selsis,-0.4511619795951057,-0.7299135972741985,log,0.1190866962797815,1.0448277753473685e+25,0.6949672559530669,0.1190866962797815
1,0.326,0.09,375.71991782303076,3.320792960341874,37014.19598211223,0.013008268476931607,3868590444.5965085,98318128.9296635,Selsis,-0.28425735839112015,-0.6645366368265702,linear,0.19564658397438583,6.205267041526992e+23,0.0009860647241564102,0.19564658397438583
2,0.326,0.09,521.273685314371,12.304051253935063,37014.19598211223,0.006757971031359637,2361855031.2114263,62994844.56835176,Jackson,-0.39396607148288154,-0.6547481802972809,log,0.3499584508849434,4.8978227803138556e+23,0.11308881585427777,0.3499584508849434
3,0.326,0.09,1580.6375628889691,1040.1934599643312,37014.19598211223,0.0007349932186707928,5766070117.882057,3414406.3510149596,Jackson,-0.4503346060445077,-0.7441455764098153,GP,0.39080045046977047,7.124188842160717e+24,0.8767110572524172,0.39080045046977047
4,0.326,0.09,89.74974580319929,0.01081229369224598,37014.19598211223,0.22797198180935763,9720703668.43242,40966313.03572066,Selsis,-0.3120594202749576,-0.7464465904419872,log,0.14142837435380323,5.832737318112767e+20,0.37784582946773426,0.14142837435380323
5,0.326,0.09,1154.3209357595606,295.8633803325782,37014.19598211223,0.001378144588574281,4458465411.468437,11660177.540449912,Selsis,-0.38343849009851866,-0.6411942176480663,log,0.0855730028402765,9.010535358733487e+23,0.09130079501167332,0.0855730028402765
6,0.326,0.09,112.64786364587034,0.026833465465321678,37014.19598211223,0.1447111548900288,6784109992.164049,49309482.68766441,Selsis,-0.2935539579921955,-0.655884395921943,GP,0.08669183311119298,2.092961766053539e+22,0.11324588270020419,0.08669183311119298
7,0.326,0.09,155.72931000765433,0.09800909127127398,37014.19598211223,0.07571940808658147,3723197373.0841246,80073763.03548564,Selsis,-0.2951398422085193,-0.6873789077794562,GP,0.0878409985929629,5.382766756350033e+22,0.197210660266676,0.0878409985929629
8,0.326,0.09,150.85566541395912,0.08630409927575597,37014.19598211223,0.08069092228446008,5215874566.398168,39953818.7988092,Jackson,-0.39750390192526036,-0.7618646575975602,linear,0.05744179333558267,8.930672209140274e+22,0.2889059166006648,0.05744179333558267
9,0.326,0.09,967.5342911234534,146.03279232376883,37014.19598211223,0.001961621427504575,4112023129.803564,76470087.47926392,Jackson,-0.4512471004070501,-0.6868169285474247,GP,0.3249338770508532,7.595124159835212e+23,0.059230125783583776,0.3249338770508532
