,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.815,1.0,1.911,1.332872341452043,1.0,2448768520.5824947,87784996.28132337,Selsis,-0.45933514793729624,-0.7781392157431631,linear,0.3628126729394746,1.8324646565302144e+20,0.7600665626023164,0.3628126729394746
1,0.815,1.0,1.911,1.8661911429121572,1.0,4543270231.814868,89794473.42465556,Jackson,-0.4087731382467908,-0.6811223119256423,linear,0.18895249161510774,700630410807678.5,0.5790223133885891,0.18895249161510774
2,0.815,1.0,1.911,4.0303796879385425,1.0,1354710913.507441,6437797.445497376,Jackson,-0.48524482586521567,-0.7690442045261241,log,0.2513959351658881,212113234344602.3,0.055780758213013426,0.2513959351658881
3,0.815,1.0,1.911,3.033608950834712,1.0,1986297865.2780304,88115786.46305372,Jackson,-0.45209233435505014,-0.7129243229721915,log,0.10905840243792084,298626098314866.5,0.9757705683804341,0.10905840243792084
4,0.815,1.0,1.911,1.7805511594173862,1.0,5167154959.834912,57481118.43713177,Jackson,-0.34867128742150855,-0.7283919581235062,linear,0.16431331107456804,803864908402651.4,0.8397792782710499,0.16431331107456804
5,0.815,1.0,1.911,0.6297263498289568,1.0,7475058104.255085,19918620.775846712,Selsis,-0.42875595200426964,-0.7064842447011905,log,0.1507572942403628,1.337465594428678e+21,0.04523906959958435,0.1507572942403628
6,0.815,1.0,1.911,2.515808973572197,1.0,2628993536.609188,49460853.50708568,Jackson,-0.4139520793637538,-0.6262633710855245,GP,0.051677423739714706,405817644802211.75,0.644866299287835,0.051677423739714706
7,0.815,1.0,1.911,0.9996514034272564,1.0,3328544971.1031632,7723110.969928225,Selsis,-0.3415133135580496,-0.6369440437517462,log,0.1661995932075352,2.1164442034945568e+21,0.7607158908894411,0.1661995932075352
8,0.815,1.0,1.911,4.034028286757953,1.0,1353131783.2171485,23043882.341317788,Jackson,-0.3982650503586661,-0.6962922458821023,GP,0.06224238991295242,209252297072749.34,0.503441429239191,0.06224238991295242
9,0.815,1.0,1.911,1.7461227237554788,1.0,6135974709.744416,17636905.045943815,Jackson,-0.3815018318017921,-0.7172326773747598,GP,0.08120688315892799,962550098423695.5,0.9705987552398578,0.08120688315892799
