,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.815,1.0,1.911,1.7163706974439947,1.0,7147675283.547052,15066828.544162441,Jackson,-0.2822830565411273,-0.649537361703916,GP,0.10418389725339405,2.0914375786577096e+18,0.03447212183268045,0.10418389725339405
1,0.815,1.0,1.911,3.97475102130831,1.0,1379216343.0326107,70416776.00813311,Jackson,-0.3579026334391431,-0.6685007539415103,GP,0.06805137258213446,4.199716254041766e+17,0.16495830598469485,0.06805137258213446
2,0.815,1.0,1.911,4.512132364784349,1.0,845997617.8374213,15850661.1889416,Selsis,-0.3482635124857173,-0.7709039357726707,linear,0.1768807106341633,6.88366031791275e+20,0.4622516286816304,0.1768807106341633
3,0.815,1.0,1.911,6.891761717502815,1.0,706163797.947551,67062366.58456118,Jackson,-0.4132372034954269,-0.6523716452889361,linear,0.09947688388563398,1.7779481606178918e+20,0.2189701167847291,0.09947688388563398
4,0.815,1.0,1.911,1.6978377645241598,1.0,7899891690.00454,95574339.43461153,Jackson,-0.32444663725124334,-0.7102846310900688,linear,0.47668215922226875,2.6139655028080945e+20,0.3628786981623372,0.47668215922226875
5,0.815,1.0,1.911,1.7811070763200854,1.0,5153014230.648298,76998030.56746855,Jackson,-0.3620790364021397,-0.7346113324792546,GP,0.12137991898195533,3.779907166978562e+17,0.9725227131507591,0.12137991898195533
6,0.815,1.0,1.911,1.7691583076500421,1.0,5466929543.044954,87891691.83841833,Jackson,-0.42276133831266616,-0.6465784794444149,GP,0.17729921200821405,2.8798764418567693e+17,0.9286036348988007,0.17729921200821405
7,0.815,1.0,1.911,0.7476133067473208,1.0,4817310760.376851,69099069.42206277,Selsis,-0.4851321524618799,-0.6916815474404578,GP,0.23031169760309123,8.076946491159944e+17,0.32632386262756263,0.23031169760309123
8,0.815,1.0,1.911,1.6798099727892406,1.0,8720893495.42506,67866384.31073354,Jackson,-0.43091077254011173,-0.7654667751379379,GP,0.08284969576014659,2.6554565161556634e+17,0.5789919306112887,0.08284969576014659
9,0.815,1.0,1.911,1.8894408774143134,1.0,4425455425.014448,23094226.276625425,Jackson,-0.42666031354872885,-0.6480779402653974,log,0.48557251145742797,5.191828493817482e+18,0.639145354118647,0.48557251145742797
10,0.815,1.0,1.911,1.1844630717978029,1.0,2771348549.379012,29199010.48582394,Selsis,-0.41279988335966955,-0.6612093829861905,log,0.47008275022015694,2.348771576053598e+19,0.4295385277902164,0.47008275022015694
