,pl_mass,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014628908835672007,1427777987.813399,51352132.94090331,Selsis,-0.48602152162628576,-0.6924154793183387,GP,0.153804067082889,2.5081619377956627e+22,0.29553138386585176,0.153804067082889
1,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.0154732624336248,6114573169.549234,42118211.91231752,Jackson,-0.4742656808683691,-0.7347922974226944,log,0.08368649906847002,2.1024880684379247e+22,0.41706988753555163,0.08368649906847002
2,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.017144783256639384,4790731497.060432,16838818.993304096,Jackson,-0.33662631900424334,-0.6863267631125053,GP,0.19479900092865493,3.4057270973631532e+22,0.28384814342797426,0.19479900092865493
3,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.01724379331452519,4926284680.84936,65221473.828070454,Selsis,-0.4492933781981801,-0.7707189404677335,log,0.1572885948320979,1.5990167407390368e+22,0.5727239240422008,0.1572885948320979
4,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.016195116353267435,3609063671.927625,18717255.150035467,Jackson,-0.32284293183200574,-0.7727677467849559,log,0.19178052700357795,3.0043726557674123e+22,0.7824204866505258,0.19178052700357795
5,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015465755872115674,2733271917.6320667,6567335.797405152,Jackson,-0.3807148863408455,-0.6543104219456833,linear,0.40342148382612386,2.5331075421072146e+22,0.5954389372273347,0.40342148382612386
6,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014807026987895638,1748076139.175906,67864795.53264625,Jackson,-0.45689324832688416,-0.691261381327698,linear,0.4187652789735062,1.4755865530339655e+22,0.34390232015549693,0.4187652789735062
7,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.011249436706214961,9607093530.082167,94190331.16438013,Selsis,-0.3630455518058806,-0.6830575015958591,linear,0.08821518044300015,5.116001511920179e+22,0.23547439457553776,0.08821518044300015
8,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015098419811852148,2211903880.669523,56328356.83896395,Jackson,-0.3604424544160565,-0.6417120583495917,GP,0.05558942402761767,2.7778246857890676e+22,0.33648879629783557,0.05558942402761767
9,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015686848805010766,5965012206.340208,97104989.51937935,Jackson,-0.4300667679953798,-0.6028949958735722,log,0.2703023201803866,3.0081596877088743e+22,0.2625943589164923,0.2703023201803866
10,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.01573149217479782,3102615980.140624,10404405.812030572,Selsis,-0.42534013694618,-0.7953104946543448,log,0.11299008771798898,2.671752006597314e+22,0.6622057881534579,0.11299008771798898
11,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014617293887026721,1408937398.786506,35167411.51043374,Selsis,-0.4214933890592746,-0.6963852297869814,log,0.46094665385812555,2.558065333649148e+22,0.9328440113978093,0.46094665385812555
12,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.013739282188444765,104635663.95965087,75164259.51236884,Jackson,-0.4113500285239616,-0.7607936770408036,linear,0.051620240570099715,1.6894068938057903e+21,0.13107672288080818,0.051620240570099715
13,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014829260501674327,1792495494.5831847,67036742.03091721,Selsis,-0.33597581412361355,-0.6689837395336251,linear,0.05435164256338051,2.853845292641151e+22,0.08090120425223069,0.05435164256338051
14,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.009000005387266285,12215714831.537024,45952219.43087706,Jackson,-0.3975119244407418,-0.6253189266383969,GP,0.05175885159699916,1.4489535643025463e+23,0.8467623025515678,0.05175885159699916
15,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014226200497500247,7116820325.635835,2175626.487626425,Selsis,-0.49145646454515857,-0.7964124916234577,linear,0.45585574172058263,3.326442115355967e+22,0.8567472369834368,0.45585574172058263
16,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014531802076486765,1277284123.3298657,80986254.20636044,Selsis,-0.4619099150733645,-0.7513722203740049,log,0.20676066435061552,1.5710053347565704e+22,0.06658182169721982,0.20676066435061552
17,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014917489602699511,1979442913.8630133,26665492.104252063,Jackson,-0.28243777295222183,-0.696397098200307,GP,0.07358693520447562,4.725248664908565e+22,0.29192197782897056,0.07358693520447562
18,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014059311182403311,598370334.5389919,18910075.334504034,Jackson,-0.407717273447188,-0.7197505628171399,log,0.06063568829659447,1.4666060968671358e+22,0.7509225515422455,0.06063568829659447
19,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.0112897557039435,9570154649.189978,45601751.456884265,Jackson,-0.44676371189198394,-0.6883517269101982,log,0.2425886204067836,5.184144740502123e+22,0.10569230442308664,0.2425886204067836
20,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015911127502529716,3291530805.569348,87820542.73065779,Selsis,-0.3571999028910873,-0.7904063282722967,linear,0.059318402192208075,2.0070805279754015e+22,0.03798863215361015,0.059318402192208075
21,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014059311182403311,557941601.174674,46397176.03817131,Jackson,-0.48002835979814656,-0.6980215186953483,linear,0.1377327771065069,1.1038085318466165e+22,0.7405851238141082,0.1377327771065069
22,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.009259382322596725,11847651117.240358,96583874.74332938,Jackson,-0.36871246522127066,-0.6130374008121144,log,0.17053621440346434,1.2533719179344988e+23,0.3239440074900086,0.17053621440346434
23,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.01187122024969625,9066372288.45155,29914770.40791406,Jackson,-0.4313634670860822,-0.6440312137750457,GP,0.13829713888533757,6.631242892298697e+22,0.1063036310133697,0.13829713888533757
24,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015756040498047935,3127902611.093668,92028635.93400574,Jackson,-0.4254915442189814,-0.6099218843116507,log,0.47084004185263834,2.091874321183067e+22,0.5997895418336553,0.47084004185263834
25,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014609120750740098,1395820153.5596905,33442422.43863239,Selsis,-0.30034946243433824,-0.6420615698308755,log,0.10963889736353634,4.473676075935066e+22,0.9584296952202097,0.10963889736353634
26,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.016483387748950643,3956246384.6659846,99047251.66582689,Jackson,-0.28728033250310037,-0.7158980428806665,GP,0.11358528409399815,3.926632628756268e+22,0.6873639628198918,0.11358528409399815
27,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015293777259746524,2476991122.519413,30338140.10655448,Jackson,-0.36242229868931075,-0.7648651109002228,GP,0.05350823575493404,2.6246492267109962e+22,0.18765664531953896,0.05350823575493404
28,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015264009630465224,2434863673.5109463,88934447.51907302,Jackson,-0.4755064674211365,-0.7387610301449875,linear,0.05212071112674911,1.3311970911568311e+22,0.5702047293505234,0.05212071112674911
29,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.0164921845903792,3967250037.678065,38413216.60837273,Jackson,-0.46481379993098787,-0.7150206040619629,linear,0.2868639658203367,1.6929134409799415e+22,0.10499451558032846,0.2868639658203367
30,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015543889574664958,2857275263.921825,63649632.317792565,Jackson,-0.43953320132857077,-0.6069887621127209,GP,0.2268731920956315,2.5309716466837586e+22,0.04581375302050383,0.2268731920956315
31,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.011728865732270052,9184915443.693045,73846503.73320821,Jackson,-0.4480381563194813,-0.6005595092880166,linear,0.12443008642185388,6.584131028183671e+22,0.3637076651516761,0.12443008642185388
32,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.011314282104546393,9547818117.112806,69124857.76030643,Jackson,-0.35093540017837666,-0.6965422708696092,linear,0.2841471761135574,6.940338853268524e+22,0.6704860033572702,0.2841471761135574
33,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.016602326621622098,4099622656.0092764,30188114.86947777,Selsis,-0.3044252322120353,-0.7289134341991018,log,0.05987895492613721,3.869111558747189e+22,0.5571467766520877,0.05987895492613721
34,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014423077176413291,1126527425.998213,59639868.598436356,Jackson,-0.4534517349243323,-0.7752266237647539,linear,0.20149853592193537,1.2736419961286932e+22,0.43447859566855496,0.20149853592193537
35,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.016401689501981512,3855225930.1563973,33018906.60710161,Selsis,-0.4096852157918804,-0.626672079334263,GP,0.15589264692562255,3.297638848929808e+22,0.9707681920501173,0.15589264692562255
36,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.012521645961144613,8560297316.575793,70195905.01980592,Jackson,-0.4306849102076331,-0.7892832204723665,linear,0.18518835822730637,3.4237765466315202e+22,0.4621309289708173,0.18518835822730637
37,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015378502328239006,2600453420.16148,32957705.84501858,Jackson,-0.31173848411132743,-0.7363304560330727,GP,0.4362961995243535,3.6734330353148878e+22,0.4003140615641714,0.4362961995243535
38,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015549184329725635,2865855977.4281263,62484853.140568756,Jackson,-0.3085991521136214,-0.6452486032023715,GP,0.47914862785291007,3.855069478630211e+22,0.7838015512735009,0.47914862785291007
39,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.01476399268269267,1665024272.8777554,14594155.412587682,Jackson,-0.38248626730628843,-0.618269651268296,GP,0.25059921666899987,2.8984189346914803e+22,0.3850675033581593,0.25059921666899987
40,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014540539059255621,1290188018.813552,4787816.404342997,Jackson,-0.29366756164225244,-0.6223241684466048,log,0.09581058775081551,3.7183551887046045e+22,0.20206042151305703,0.09581058775081551
41,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.01701572481020183,4618501596.403487,62736024.539388835,Selsis,-0.47051014562137533,-0.7353537158236702,GP,0.3903726735346538,1.9306283532319055e+22,0.6799326111846629,0.3903726735346538
42,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.008464394858356252,13050033624.005142,99388688.05609897,Jackson,-0.40859408344285775,-0.62199420660001,log,0.06068947089837457,1.3007684383192298e+23,0.485934091517757,0.06068947089837457
43,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.017079411483835377,4702866751.219775,21518617.413121592,Jackson,-0.2856904855276889,-0.6325311270622413,log,0.303775750675127,4.522758194019283e+22,0.1162483545851597,0.303775750675127
44,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.010996529159357456,9845218483.75462,48752758.63513361,Selsis,-0.28007656557237326,-0.7333237030876251,linear,0.2622966458292732,1.0622815625588995e+23,0.563340963508457,0.2622966458292732
45,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014696903868277702,1542912352.3483727,12789027.810178872,Jackson,-0.3397574073766083,-0.7995159964930372,GP,0.10432532352706149,2.900779583891983e+22,0.060317174894022996,0.10432532352706149
46,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015620010555157137,2982854189.2583036,84466059.64054254,Selsis,-0.2837644213455718,-0.6918973794252974,linear,0.07849620961542553,3.6072403077551496e+22,0.5986648628241803,0.07849620961542553
47,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015067176192047518,2171927890.1340246,3331491.4066219013,Selsis,-0.4504425839111853,-0.6014197186606298,linear,0.05204701004222411,3.4578468266257347e+22,0.27436779063419525,0.05204701004222411
48,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014900432222852646,1941928600.3289154,10703033.384681707,Selsis,-0.3323115251612013,-0.6020413199997424,GP,0.3322369138937374,5.501444819984186e+22,0.7627662379452098,0.3322369138937374
49,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.01414722069856102,7188750989.1391115,80809155.83910151,Selsis,-0.3696616035034883,-0.7840815897776521,log,0.17449500059766088,2.840296839429064e+22,0.5819343290939607,0.17449500059766088
50,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.011020133109921735,9822513895.941664,78656002.89108202,Jackson,-0.2815877217187237,-0.7861594649027043,GP,0.08313623401468749,1.2799857576432995e+23,0.30981123570935354,0.08313623401468749
51,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014555934127219271,1313224183.1806345,89304916.901811,Jackson,-0.4120219924869846,-0.7853375695806984,linear,0.08479107747619183,1.274662722966207e+22,0.8154041775361238,0.08479107747619183
52,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015727581304964787,3098602784.8305597,43873616.706331626,Jackson,-0.3974556115880794,-0.7829598238567499,linear,0.0988156748439311,1.8785750338060465e+22,0.6973975142334782,0.0988156748439311
53,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015616048523169668,2976199210.9542646,48939224.116684414,Jackson,-0.42972907810780797,-0.676479890850708,log,0.20057509849168687,1.8795577698076022e+22,0.8553359143225535,0.20057509849168687
54,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014703899102697605,1555240017.7313955,53232148.934683196,Selsis,-0.280267792966453,-0.7765819109004977,linear,0.07785526805751587,4.381334827051335e+22,0.8149655367273172,0.07785526805751587
55,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.013686844906928227,7631448780.328655,57589071.06737839,Selsis,-0.3082688606158851,-0.6530955055875288,GP,0.09207875492944784,6.730183641343036e+22,0.9999924002544595,0.09207875492944784
56,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.015762465184225773,5913421784.920086,25421210.71223851,Selsis,-0.43683459074442615,-0.780174956732071,GP,0.07229950913677387,3.0939959955555365e+22,0.35191383286384237,0.07229950913677387
57,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014617451527198302,1409191534.5041807,59853956.88379434,Jackson,-0.41093094331741764,-0.6602042627358164,linear,0.42007001211952677,1.6711480414008146e+22,0.1717262430341242,0.42007001211952677
58,9.0,1.06,2328.0480663068884,4895.0,4692.797773554461,0.014912377256703208,1968128423.604933,84818825.25591451,Selsis,-0.3224852407118287,-0.6261812548997789,linear,0.22606947475927489,2.945853678695168e+22,0.03233563582693855,0.22606947475927489
