"Category","Program","Observation","Visit","Target","R.A. 2000","Dec. 2000","Event","Start.Phase","End.Phase","Mode","Subarray","Readout pattern","Groups","Start date","End date","Hours","Status","Prop.Period","Plan Windows","Repeat","PI name"
"GTO","1183","1","1","HD-10647","01:42:29.3147","-53:44:26.99","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","8+8","X","X","2.40","Withdrawn","12","X","X","Gaspar"
"GTO","1183","2","1","HD-10647","01:42:29.3147","-53:44:26.99","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","8+8","X","X","1.88","Withdrawn","12","X","X","Gaspar"
"GTO","1183","3","1","HD-10647-PSF","02:42:33.4666","-50:48:01.06","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","8+8","X","X","1.91","Withdrawn","12","X","X","Gaspar"
"GTO","1183","4","1","HD-107146","12:19:06.5020","+16:32:53.86","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","2.42","Withdrawn","12","X","X","Gaspar"
"GTO","1183","5","1","HD-107146","12:19:06.5020","+16:32:53.86","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.89","Withdrawn","12","X","X","Gaspar"
"GTO","1183","6","1","HD-107146-PSF","12:48:52.4213","+12:05:46.95","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.83","Withdrawn","12","X","X","Gaspar"
"GTO","1183","7","1","HD-181327","19:22:58.9430","-54:32:16.97","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","2.01","Withdrawn","12","X","X","Gaspar"
"GTO","1183","8","1","HD-181327","19:22:58.9430","-54:32:16.97","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.48","Withdrawn","12","X","X","Gaspar"
"GTO","1183","9","1","HD-181327-PSF","19:18:09.7805","-53:23:13.51","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.83","Withdrawn","12","X","X","Gaspar"
"GTO","1183","10","1","HD-61005","07:35:47.4619","-32:12:14.04","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","2.21","Withdrawn","12","X","X","Gaspar"
"GTO","1183","11","1","HD-61005","07:35:47.4619","-32:12:14.04","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.69","Withdrawn","12","X","X","Gaspar"
"GTO","1183","12","1","HD-61005-PSF","07:14:36.7033","-30:39:17.69","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.76","Withdrawn","12","X","X","Gaspar"
"GTO","1183","15","1","HD-32297","05:02:27.4364","+07:27:39.68","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.66","Withdrawn","12","X","X","Gaspar"
"GTO","1183","16","1","HD-32297","05:02:27.4364","+07:27:39.68","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.76","Withdrawn","12","X","X","Gaspar"
"GTO","1183","17","1","HD-32297-PSF","04:55:58.3523","+05:23:56.48","DI","N/A","N/A","NIRCAM.F300M+F444W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.90","Withdrawn","12","X","X","Gaspar"
"GTO","1184","1","1","V-AU-MIC","20:45:09.5324","-31:20:27.24","DI","N/A","N/A","NIRCAM.F444W+F356W","N/A","SHALLOW2+SHALLOW2","10+10","Oct_03_2022_04:37:49","Oct_03_2022_06:41:19","1.94","Archived","12","X","X","Schlieder"
"GTO","1184","2","1","V-AU-MIC","20:45:09.5324","-31:20:27.24","DI","N/A","N/A","NIRCAM.F444W+F356W","N/A","SHALLOW2+SHALLOW2","10+10","Oct_03_2022_08:34:29","Oct_03_2022_10:03:47","1.66","Archived","12","X","X","Schlieder"
"GTO","1184","3","1","HIP17695","03:47:23.3412","-01:58:19.95","DI","N/A","N/A","NIRCAM.F444W+F356W","N/A","MEDIUM8+MEDIUM8","10+10","Oct_03_2022_10:03:51","Oct_03_2022_12:08:15","2.21","Archived","12","X","X","Schlieder"
"GTO","1184","4","1","HIP17695","03:47:23.3412","-01:58:19.95","DI","N/A","N/A","NIRCAM.F444W+F356W","N/A","MEDIUM8+MEDIUM8","10+10","Oct_03_2022_12:08:19","Oct_03_2022_13:36:38","1.65","Archived","12","X","X","Schlieder"
"GTO","1184","5","1","G-7-34","04:17:18.5333","+08:49:22.01","DI","N/A","N/A","NIRCAM.F444W+F356W","N/A","MEDIUM8+MEDIUM8","10+10","Oct_03_2022_13:36:42","Oct_03_2022_15:13:59","1.66","Archived","12","X","X","Schlieder"
"GTO","1184","6","1","G-7-34","04:17:18.5333","+08:49:22.01","DI","N/A","N/A","NIRCAM.F444W+F356W","N/A","MEDIUM8+MEDIUM8","10+10","Oct_03_2022_15:37:34","Oct_03_2022_17:03:04","1.65","Archived","12","X","X","Schlieder"
"GTO","1184","7","1","TYC5899","04:52:24.4147","-16:49:21.93","DI","N/A","N/A","NIRCAM.F444W+F356W","N/A","MEDIUM8+MEDIUM8","10+10","X","X","1.80","Skipped","12","X","Rescheduled_by_WOPR_88570_as_observation_27_visit_1_in_this_program","Schlieder"
